789679,  US,00058,E410B,US 58 EB Exit 410B,Ramp,109,City of Emporia,040,Greensville County,0.13,US 58 I-95-N011B TO AND FROM 95,I-95-N FROM RT 58,1300,G,,,,,,,X,0.1170,F,1.0000,1300,G,2012,,,,,,,,,,,,,,,
789680,  US,00058,W410A,US 58 WB Exit 410A,Ramp,109,City of Emporia,040,Greensville County,0.14,US 58 I-95-S011A TO AND FROM 95,I-95-S FROM RT 58,4400,G,,,,,,,X,0.0819,F,1.0000,4400,G,2012,,,,,,,,,,,,,,,
789681,  US,00058,W410B,US 58 WB Exit 410B,Ramp,109,City of Emporia,040,Greensville County,0.18,US 58,I-95 North,1200,G,,,,,,,X,,,,1200,G,2012,,,,,,,,,,,,,,,
626006,C3US,00058,     ,Bus US 58,Market Dr,109,City of Emporia,109,City of Emporia,0.21,US 58 West Intersection,West Atlantic St,10000,G,97%,0%,1%,0%,1%,0%,C,0.0919,F,0.5493,11000,G,2012,,,,,,,,,,,,,,,
626039,C3US,00058,     ,Bus US 58,West Atlantic St,109,City of Emporia,109,City of Emporia,0.44,US 58 Connector,North Main Street,9700,G,98%,0%,1%,0%,1%,0%,C,0.0856,F,0.5059,10000,G,2012,,,,,,,,,,,,,,,
626011,C3US,00058,     ,Bus US 58,East Atlantic St,109,City of Emporia,109,City of Emporia,0.25,North Main Street,Reese St,3700,G,90%,1%,1%,0%,8%,0%,F,0.0873,F,0.5303,3900,G,2012,,,,,,,,,,,,,,,
626012,C3US,00058,     ,Bus US 58,East Atlantic St,109,City of Emporia,109,City of Emporia,1.20,Reese St,US 58 East Intersection,1700,G,90%,1%,1%,0%,8%,0%,C,0.1004,F,0.6222,1800,G,2012,,,,,,,,,,,,,,,
789250,  IS,00095, 008A,I-95 Exit 008A,Ramp,040,Greensville County,040,Greensville County,0.13,JB-40 FROM RT 95,US 301 Skippers Rd,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
050119,  IS,00095,N    ,I-95 NB, ,040,Greensville County,040,Greensville County,4.13,North Carolina State Line,40-629 Skippers,19000,A,82%,1%,1%,1%,15%,0%,C,0.1456,A,1.0000,16000,A,2012,,38000,A,83%,1%,1%,1%,15%,0%,C,0.1345,A,0.5079,31000,A
050237,  IS,00095,N    ,I-95 NB, ,040,Greensville County,040,Greensville County,4.12,40-629 Skippers,US 301 South of Emporia,19000,A,82%,1%,1%,1%,15%,0%,F,0.1454,A,1.0000,16000,A,2012,,39000,A,83%,1%,1%,1%,15%,0%,F,0.0056,A,0.0000,32000,A
050238,  IS,00095,N    ,I-95 NB, ,040,Greensville County,040,Greensville County,1.70,US 301 South of Emporia,SCL Emporia,20000,A,82%,1%,1%,1%,15%,0%,F,0.1443,A,1.0000,16000,A,2012,,39000,A,83%,1%,1%,1%,15%,0%,F,0.1325,A,0.5079,32000,A
050257,  IS,00095,N    ,I-95 NB, ,109,City of Emporia,040,Greensville County,1.05,SCL Emporia,US 58,20000,A,82%,1%,1%,1%,15%,0%,F,0.1443,A,1.0000,16000,A,2012,,39000,A,83%,1%,1%,1%,15%,0%,F,,,,32000,A
050578,  IS,00095,N    ,I-95 NB, ,109,City of Emporia,040,Greensville County,0.62,US 58,NCL Emporia,17000,A,82%,1%,1%,1%,15%,0%,F,0.1499,A,1.0000,14000,A,2012,,33000,A,86%,1%,1%,1%,12%,0%,F,,,,27000,A
050587,  IS,00095,N    ,I-95 NB, ,040,Greensville County,040,Greensville County,1.37,NCL Emporia,US 301 North of Emporia,17000,A,82%,1%,1%,1%,15%,0%,F,0.1499,A,1.0000,14000,A,2012,,33000,A,86%,1%,1%,1%,12%,0%,F,0.1362,A,0.5805,27000,A
050589,  IS,00095,N    ,I-95 NB, ,040,Greensville County,040,Greensville County,0.52,US 301 North of Emporia,40-614 Otterdam Rd,16000,A,82%,1%,1%,1%,15%,0%,F,0.1536,A,1.0000,13000,A,2012,,32000,A,86%,1%,1%,1%,12%,0%,F,0.1378,A,0.5784,27000,A
050239,  IS,00095,N    ,I-95 NB, ,040,Greensville County,040,Greensville County,3.63,40-614 Otterdam Rd,Sussex County Line,17000,A,82%,1%,1%,1%,15%,0%,F,0.1509,A,1.0000,14000,A,2012,,33000,A,86%,1%,1%,1%,12%,0%,F,0.1368,A,0.5087,28000,A
789257,  IS,00095,N000R,I-95 NB Exit 000R,Skippers Welcome Center,040,Greensville County,040,Greensville County,0.05,I-95 North to Welcome Center,Enter Welcome Center Parking Lot,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
791023,  IS,00095,N000R,I-95 NB Exit 000R,Skippers Welcome Center,040,Greensville County,040,Greensville County,0.04,Exit Welcome Center Parking Lot,RAOA FROM PARKING AREA,1600,A,98%,0%,1%,0%,0%,0%,C,0.1698,A,1.0000,1200,A,2012,,,,,,,,,,,,,,,
797934,  IS,00095,N000R,I-95 NB Exit 000R,Skippers Welcome Center,040,Greensville County,040,Greensville County,0.01,RAOA FROM PARKING AREA,I-95 North,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
789258,  IS,00095,N004A,I-95 NB Exit 004A,Ramp,040,Greensville County,040,Greensville County,0.15,I-95 North,40-629 Moores Ferry Rd,1300,G,,,,,,,X,,,,1300,G,2012,,,,,,,,,,,,,,,
789259,  IS,00095,N008A,I-95 NB Exit 008A,Ramp,040,Greensville County,040,Greensville County,0.18,I-95 North,I-95 South Exit 8A,1100,G,,,,,,,X,,,,1100,G,2012,,,,,,,,,,,,,,,
789260,  IS,00095,N011A,I-95 NB Exit 011A,Ramp,109,City of Emporia,040,Greensville County,0.13,I-95 North,I-95 North Exit 11A Ramp split,3300,G,,,,,,,X,,,,3300,G,2012,,,,,,,,,,,,,,,
797935,  IS,00095,N011A,I-95 NB Exit 011A,Ramp,109,City of Emporia,040,Greensville County,0.04,I-95-N011C TO RT 58 BUS,US 58 FROM RT 95 N,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
789261,  IS,00095,N011B,I-95 NB Exit 011B,Ramp,109,City of Emporia,040,Greensville County,0.12,I-95 North,US 58,1100,G,,,,,,,X,,,,1100,G,2012,,,,,,,,,,,,,,,
789262,  IS,00095,N011C,I-95 NB Exit 011C,Ramp,109,City of Emporia,040,Greensville County,0.05,I-95-N011A TO Bus US 58,FROM RT 95 N,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
789263,  IS,00095,N012A,I-95 NB Exit 012A,Ramp,040,Greensville County,040,Greensville County,0.08,I-95 North,US 301,530,A,,,,,,,X,0.1711,A,1.0000,630,A,2012,,,,,,,,,,,,,,,
789264,  IS,00095,N013A,I-95 NB Exit 013A,Ramp,040,Greensville County,040,Greensville County,0.24,I-95 North,40-614 Otterdam Rd,210,G,,,,,,,X,,,,210,G,2012,,,,,,,,,,,,,,,
150009,  IS,00095,S    ,I-95 SB, ,040,Greensville County,040,Greensville County,4.39,North Carolina State Line,40-629 Skippers,19000,A,83%,1%,1%,1%,15%,0%,C,0.1505,A,1.0000,16000,A,2012,,38000,A,83%,1%,1%,1%,15%,0%,C,0.1345,A,0.5079,31000,A
150008,  IS,00095,S    ,I-95 SB, ,040,Greensville County,040,Greensville County,3.83,40-629 Skippers,US 301 South of Emporia,19000,A,83%,1%,1%,1%,15%,0%,F,0.1475,A,1.0000,16000,A,2012,,39000,A,83%,1%,1%,1%,15%,0%,F,,,,32000,A
150007,  IS,00095,S    ,I-95 SB, ,040,Greensville County,040,Greensville County,1.81,US 301 South of Emporia,SCL Emporia,20000,A,83%,1%,1%,1%,15%,0%,F,0.1466,A,1.0000,16000,A,2012,,39000,A,83%,1%,1%,1%,15%,0%,F,0.1325,A,0.5079,32000,A
150020,  IS,00095,S    ,I-95 SB, ,109,City of Emporia,040,Greensville County,1.24,SCL Emporia,US 58,20000,A,83%,1%,1%,1%,15%,0%,F,0.1466,A,1.0000,16000,A,2012,,39000,A,83%,1%,1%,1%,15%,0%,F,,,,32000,A
150006,  IS,00095,S    ,I-95 SB, ,109,City of Emporia,040,Greensville County,0.35,US 58,NCL Emporia,16000,A,89%,1%,1%,1%,9%,0%,F,0.1469,A,1.0000,13000,A,2012,,33000,A,86%,1%,1%,1%,12%,0%,F,,,,27000,A
150089,  IS,00095,S    ,I-95 SB, ,040,Greensville County,040,Greensville County,1.89,NCL Emporia,40-614 Otterdam Rd,16000,A,89%,1%,1%,1%,9%,0%,F,0.1469,A,1.0000,13000,A,2012,,33000,A,86%,1%,1%,1%,12%,0%,F,0.1362,A,0.5805,27000,A
150005,  IS,00095,S    ,I-95 SB, ,040,Greensville County,040,Greensville County,3.63,40-614 Otterdam Rd,Sussex County Line,17000,A,89%,1%,1%,1%,9%,0%,F,0.1445,A,1.0000,14000,A,2012,,33000,A,86%,1%,1%,1%,12%,0%,F,0.1368,A,0.5087,28000,A
789353,  IS,00095,S004A,I-95 SB Exit 004A,Ramp,040,Greensville County,040,Greensville County,0.14,I-95 South,40-629 Moores Ferry Rd,1500,G,,,,,,,X,,,,1500,G,2012,,,,,,,,,,,,,,,
789354,  IS,00095,S008A,I-95 SB Exit 008A,Ramp from I-95 South to Ramp to US 301,040,Greensville County,040,Greensville County,0.35,I-95 South,Ramp from I-95 North to US 301,1100,G,,,,,,,X,,,,1100,G,2012,,,,,,,,,,,,,,,
789355,  IS,00095,S011A,I-95 SB Exit 011A,Ramp,109,City of Emporia,040,Greensville County,0.13,I-95-S TO RT 58,US 58 US 58-W410A TO AND FROM 95,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
789356,  IS,00095,S011B,I-95 SB Exit 011B,Ramp,109,City of Emporia,040,Greensville County,0.18,I-95 South,US 58 West Atlantic St,1900,G,,,,,,,X,,,,1900,G,2012,,,,,,,,,,,,,,,
789357,  IS,00095,S013A,I-95 SB Exit 013A,Ramp,040,Greensville County,040,Greensville County,0.16,I-95 South,40-614 Otterdam Rd,670,G,,,,,,,X,,,,670,G,2012,,,,,,,,,,,,,,,
050240,  SR,00139,     ,VA 139,Jarratt Ave,244,Town of Jarratt,040,Greensville County,0.76,40-610 CL Jarratt,Sussex County Line,1400,G,91%,1%,1%,1%,6%,0%,F,0.0961,F,0.5479,1400,G,2012,,,,,,,,,,,,,,,
050243,  US,00301,     ,US 301,Skippers Rd,040,Greensville County,040,Greensville County,4.74,North Carolina State Line,40-629 Zion Church Rd; Moores Ferry Rd,1700,G,90%,1%,1%,0%,7%,0%,F,0.0872,F,0.5057,1700,G,2012,,,,,,,,,,,,,,,
050049,  US,00301,     ,US 301,Skippers Rd,040,Greensville County,040,Greensville County,2.80,40-629 Zion Church Rd; Moores Ferry Rd,Urban Boundary,2200,G,90%,1%,1%,0%,7%,0%,C,0.0915,F,0.6436,2200,G,2012,,,,,,,,,,,,,,,
050058,  US,00301,     ,US 301,Skippers Rd,040,Greensville County,040,Greensville County,1.17,Urban Boundary,40-689 Old Halifax Rd; I-95,2200,N,90%,1%,1%,0%,7%,0%,N,0.0915,N,0.6436,2200,N,2012,,,,,,,,,,,,,,,
050242,  US,00301,     ,US 301,Skippers Rd,040,Greensville County,040,Greensville County,0.39,40-689 Old Halifax Rd; I-95,SCL Emporia,5300,G,90%,1%,1%,0%,7%,0%,F,0.0827,F,0.5457,5400,G,2012,,,,,,,,,,,,,,,
626028,  US,00301,     ,US 301,South Main St,109,City of Emporia,109,City of Emporia,0.45,SCL Emporia,Low Ground Rd,5500,G,96%,1%,1%,0%,2%,0%,C,0.0897,F,0.5213,5900,G,2012,,,,,,,,,,,,,,,
626029,  US,00301,     ,US 301,South Main St,109,City of Emporia,109,City of Emporia,0.24,Low Ground Rd,Jefferson St,8700,G,96%,1%,1%,0%,2%,0%,F,0.0890,F,0.5809,9200,G,2012,,,,,,,,,,,,,,,
626030,  US,00301,     ,US 301,South Main St,109,City of Emporia,109,City of Emporia,0.36,Jefferson St,Brunswick Ave,9700,G,96%,1%,1%,0%,2%,0%,F,0.0854,F,0.6243,10000,G,2012,,,,,,,,,,,,,,,
626031,  US,00301,     ,US 301,South Main St,109,City of Emporia,109,City of Emporia,0.49,Brunswick Ave,Valley St,14000,G,97%,1%,1%,0%,1%,0%,C,0.0897,F,0.5588,15000,G,2012,,,,,,,,,,,,,,,
626032,  US,00301,     ,US 301,South Main St,109,City of Emporia,109,City of Emporia,0.20,Valley St,Atlantic Ave,13000,G,97%,1%,1%,0%,1%,0%,F,0.0874,F,0.5249,14000,G,2012,,,,,,,,,,,,,,,
626022,  US,00301,     ,US 301,North Main St,109,City of Emporia,109,City of Emporia,0.74,Atlantic Ave,US 58,8500,G,97%,1%,1%,0%,1%,0%,F,0.0948,F,0.5000,9000,G,2012,,,,,,,,,,,,,,,
626023,  US,00301,     ,US 301,North Main St,109,City of Emporia,109,City of Emporia,0.34,US 58,Halifax St,8800,G,97%,0%,1%,0%,2%,0%,F,0.0991,F,0.6207,9400,G,2012,,,,,,,,,,,,,,,
626024,  US,00301,     ,US 301,North Main St,109,City of Emporia,109,City of Emporia,0.16,Halifax St,NCL Emporia,9300,G,97%,0%,1%,0%,2%,0%,F,0.0990,F,0.6130,9800,G,2012,,,,,,,,,,,,,,,
050241,  US,00301,     ,US 301, ,040,Greensville County,040,Greensville County,1.53,NCL Emporia,40-614 Otterdam Rd,6300,G,97%,0%,1%,0%,2%,0%,C,0.0939,F,0.5692,6400,G,2012,,,,,,,,,,,,,,,
050013,  US,00301,     ,US 301, ,040,Greensville County,040,Greensville County,2.77,40-614 Otterdam Rd,Sussex County Line,4100,G,97%,0%,1%,0%,2%,0%,F,0.0973,F,0.5047,4200,G,2012,,,,,,,,,,,,,,,
789690,  US,00301, 008A,US 301 Exit 008A,Ramp,040,Greensville County,040,Greensville County,0.23,US 301; 40-689 FROM RT 301 TO RT 95,I-95-N FROM RT 301,1900,G,,,,,,,X,0.0945,F,1.0000,1900,G,2012,,,,,,,,,,,,,,,
789691,  US,00301, 008B,US 301 Exit 008B,Ramp,040,Greensville County,040,Greensville County,0.53,JB-40 FROM RT 301,I-95-S FROM RT 301,1000,G,,,,,,,X,0.0988,F,1.0000,1000,G,2012,,,,,,,,,,,,,,,
780376,  FR,00128,     ,FR 128,Holly Huck Trail,040,Greensville County,040,Greensville County,3.89,40-631,40-629 Moores Ferry Rd,270,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
780377,  FR,00129,     ,FR 129,Ivory Lane,040,Greensville County,040,Greensville County,1.60,Dead End,40-639 Rock Bridge Rd,7,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
780378,  FR,00130,     ,FR 130,Ashbin Rd,040,Greensville County,040,Greensville County,1.69,Dead End,Dead End,320,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
780379,  FR,00131,     ,FR 131,Clover Leaf Dr,109,City of Emporia,040,Greensville County,1.06,US 58; Bus US 58,Dead End,210,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
780380,  FR,00132,     ,FR 132,Belfield Rd,040,Greensville County,040,Greensville County,0.36,Dead End,40-610,620,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
780381,  FR,00133,     ,FR 133, ,040,Greensville County,040,Greensville County,0.43,40-616,US 301,190,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
780881,  FR,00963,     ,FR 963, ,109,City of Emporia,040,Greensville County,0.04,Bus US 58,Dead End,0,R,,,,,,,X,,,,,,02/28/2011,,,,,,,,,,,,,,,
780882,  FR,00964,     ,FR 964, ,109,City of Emporia,040,Greensville County,0.07,US 58; Bus US 58,Dead End,7,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
780883,  FR,00965,     ,FR 965, ,109,City of Emporia,040,Greensville County,0.31,Reese St,Dead End,3,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
742584,  40,00600,     ,40-600,Bartley Rd,040,Greensville County,040,Greensville County,1.50,Brunswick County Line,"40-627 N, Brink Rd",440,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742585,  40,00600,     ,40-600,Beef Rd,040,Greensville County,040,Greensville County,3.40,"40-627 S, Brink Rd",North Carolina State Line,840,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742586,  40,00601,     ,40-601,Hell Island Rd,040,Greensville County,040,Greensville County,3.00,Brunswick County Line,40-627 Brink Rd,130,R,,,,,,,X,,,,,,03/11/2011,,,,,,,,,,,,,,,
742587,  40,00602,     ,40-602,Quarrell Rd,040,Greensville County,040,Greensville County,1.38,Brunswick County Line,40-603,10,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742588,  40,00603,     ,40-603, ,040,Greensville County,040,Greensville County,0.30,North Carolina State Line,"40-631 N, Spring Church Rd",1500,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
300085,  40,00603,     ,40-603,Gaston Rd,040,Greensville County,040,Greensville County,1.50,"40-631 N, Spring Church Rd","40-633 S, Pine Log Rd",470,G,83%,1%,1%,1%,14%,0%,C,0.1077,F,0.5102,480,G,2012,,,,,,,,,,,,,,,
742589,  40,00603,     ,40-603,Gaston Rd,040,Greensville County,040,Greensville County,3.20,"40-633 N, Pine Log Rd","40-627 E, Brink Rd",90,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742590,  40,00603,     ,40-603,Macedonia Rd,040,Greensville County,040,Greensville County,2.59,"40-627 W, Brink Rd",Brunswick County Line,1000,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742591,  40,00604,     ,40-604, ,040,Greensville County,040,Greensville County,5.27,40-603,Brunswick County Line,90,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742592,  40,00605,     ,40-605,Roger Rd,040,Greensville County,040,Greensville County,2.70,Brunswick County Line,40-607 EAST,80,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742593,  40,00605,     ,40-605, ,040,Greensville County,040,Greensville County,0.70,40-607 WEST,US 58 Pleasant Shade Dr,100,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
783395,  40,00605,     ,40-605,Chapmans Ford Rd,040,Greensville County,040,Greensville County,2.20,US 58 Pleasant Shade Dr,40-606 EAST,120,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742594,  40,00605,     ,40-605, ,040,Greensville County,040,Greensville County,4.20,40-606 WEST,40-608 EAST,340,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742595,  40,00605,     ,40-605, ,040,Greensville County,040,Greensville County,0.45,40-608 WEST,Dead End,5,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742596,  40,00606,     ,40-606,Grassy Pond Rd,040,Greensville County,040,Greensville County,5.32,Brunswick County Line,40-619 Purdy Rd,450,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742597,  40,00607,     ,40-607,Westward Rd,040,Greensville County,040,Greensville County,0.60,Brunswick County Line,US 58 W Gap,110,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742598,  40,00607,     ,40-607,Brunswick Rd,040,Greensville County,040,Greensville County,2.30,40-606 Gap,40-605 WEST,280,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742599,  40,00607,     ,40-607, ,040,Greensville County,040,Greensville County,3.70,40-605 WEST,"US 58 E, Pleasant Shade Dr",120,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742600,  40,00608,     ,40-608, ,040,Greensville County,040,Greensville County,4.50,Brunswick County Line,40-619 Purdy Rd,550,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742601,  40,00608,     ,40-608, ,040,Greensville County,040,Greensville County,5.28,40-619 Purdy Rd,40-680,670,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
300086,  40,00608,     ,40-608,Wyatts Mill Rd,040,Greensville County,040,Greensville County,1.47,40-680,40-610,1300,G,94%,1%,1%,1%,4%,0%,C,0.1635,F,0.6620,1300,G,2012,,,,,,,,,,,,,,,
742602,  40,00609,     ,40-609, ,040,Greensville County,040,Greensville County,1.72,US 301,Sussex County Line,160,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
300087,  40,00610,     ,40-610,Slagles Lake Rd,040,Greensville County,040,Greensville County,0.10,US 301,40-9179,2300,G,96%,2%,2%,0%,1%,0%,F,0.1585,F,0.5389,2300,G,2012,,,,,,,,,,,,,,,
300088,  40,00610,     ,40-610,Slagles Lake Rd,040,Greensville County,040,Greensville County,2.22,40-9179,40-617 Water Wheel Rd,1000,G,96%,2%,2%,0%,1%,0%,F,0.0982,F,0.5220,1100,G,2012,,,,,,,,,,,,,,,
300089,  40,00610,     ,40-610,Slagles Lake Rd,040,Greensville County,040,Greensville County,6.92,40-617 Water Wheel Rd,40-608 Wyatts Mill Rd,760,G,96%,2%,2%,0%,1%,0%,C,0.1039,F,0.5632,780,G,2012,,,,,,,,,,,,,,,
300090,  40,00610,     ,40-610,Allen Rd,040,Greensville County,040,Greensville County,0.45,40-608 Wyatts Mill Rd,WCL Jarratt,1900,G,96%,2%,2%,0%,1%,0%,F,0.1127,F,0.5749,1900,G,2012,,,,,,,,,,,,,,,
303764,  40,00610,     ,40-610,Allen Rd,244,Town of Jarratt,040,Greensville County,0.29,WCL Jarratt,40-1101 Grigg Ave,1900,N,96%,2%,2%,0%,1%,0%,N,0.1127,N,0.5749,1900,N,2012,,,,,,,,,,,,,,,
300091,  40,00611,     ,40-611,Dry Bread Rd,040,Greensville County,040,Greensville County,1.91,Brunswick County Line,"40-633 W, Independence Church Rd",1200,G,96%,1%,0%,1%,1%,0%,F,0.0923,F,0.7611,1300,G,2012,,,,,,,,,,,,,,,
300092,  40,00611,     ,40-611,Dry Bread Rd,040,Greensville County,040,Greensville County,2.84,40-633 West,40-658,1500,G,96%,1%,0%,1%,1%,0%,C,0.0885,F,0.7692,1600,G,2012,,,,,,,,,,,,,,,
300093,  40,00611,     ,40-611,Dry Bread Rd,040,Greensville County,040,Greensville County,1.79,40-658,40-635,2000,G,96%,1%,0%,1%,1%,0%,F,0.0903,F,0.7219,2000,G,2012,,,,,,,,,,,,,,,
300094,  40,00611,     ,40-611,Dry Bread Rd,040,Greensville County,040,Greensville County,0.92,40-635,WCL Emporia,2500,G,96%,1%,0%,1%,1%,0%,F,0.0896,F,0.6736,2600,G,2012,,,,,,,,,,,,,,,
300095,  40,00611,     ,40-611,Brick Yard Rd,040,Greensville County,040,Greensville County,1.05,ECL Emporia,40-654,600,G,97%,2%,0%,0%,0%,0%,F,0.0918,F,0.5614,610,G,2012,,,,,,,,,,,,,,,
300096,  40,00611,     ,40-611,Brick Yard Rd,040,Greensville County,040,Greensville County,0.99,40-654,40-623,310,G,97%,2%,0%,0%,0%,0%,C,0.1131,F,0.5946,320,G,2012,,,,,,,,,,,,,,,
300097,  40,00611,     ,40-611,Brick Yard Rd,040,Greensville County,040,Greensville County,1.74,40-623,Sussex County Line,370,G,97%,2%,0%,0%,0%,0%,F,0.1120,F,0.6000,380,G,2012,,,,,,,,,,,,,,,
742603,  40,00612,     ,40-612, ,040,Greensville County,040,Greensville County,2.40,40-619 Purdy Rd,40-651,210,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742604,  40,00613,     ,40-613,Whitehouse Rd,040,Greensville County,040,Greensville County,3.20,40-605,"40-619 N, Purdy Rd",90,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742605,  40,00613,     ,40-613, ,040,Greensville County,040,Greensville County,1.70,"40-619 S, Purdy Rd",40-610 Slagles Lake Rd,410,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
