ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,(Wide),ReportID:,2230,DataYear:,2010,Prepared,10/1/2011
,,Jurisdiction,,Class,,Class,,,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,VMT,(Miles),Length,Length,DVMT,VMT,(Miles),Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,01,Motorcycles,              ,,,,,,,,,,,,,2,766,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,766,0.00%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,02,Passenger Cars,              ,,,,,,,,,,,,,353,785,0.53%,0.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,785,0.16%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,,,,,,,101,513,0.15%,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,513,0.05%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,04,Busses,              ,,,,,,,,,,,,,3,678,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,678,0.00%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,,,,,,,4,744,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,744,0.00%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,06,Three Axle Single Unit Trucks,              ,,,,,,,,,,,,,2,565,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,565,0.00%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,07,Four or More Axle Single Unit Trucks,              ,,,,,,,,,,,,,200,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0.00%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,08,Four Axle or Fewer Single Trailers,              ,,,,,,,,,,,,,2,765,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,765,0.00%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,09,Five Axle Single Trailers,              ,,,,,,,,,,,,,102,056,0.15%,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,056,0.05%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,10,Six or More Axle Single Trailers,              ,,,,,,,,,,,,,787,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,0.00%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,11,Five Axle or Fewer Multi-Trailers,              ,,,,,,,,,,,,,6,672,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,672,0.00%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,12,Six Axle Multi-Trailers,              ,,,,,,,,,,,,,1,529,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,529,0.00%,,
1,Bristol District,010,Bland County,1,Rural Principal Arterial - Interstate,13,Seven or More Axle Multi-Trailers,              ,,,,,,,,,,,,,4,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.00%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,01,Motorcycles,              ,,,,,,,28,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.00%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,02,Passenger Cars,              ,,,,,,,21,271,0.03%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,271,0.01%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,8,587,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,587,0.00%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,04,Busses,              ,,,,,,,254,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,0.00%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,325,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,0.00%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,06,Three Axle Single Unit Trucks,              ,,,,,,,162,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,0.00%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,07,Four or More Axle Single Unit Trucks,              ,,,,,,,13,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.00%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,08,Four Axle or Fewer Single Trailers,              ,,,,,,,183,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,0.00%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,09,Five Axle Single Trailers,              ,,,,,,,250,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,0.00%,,
1,Bristol District,010,Bland County,6,Rural Minor Arterial,10,Six or More Axle Single Trailers,              ,,,,,,,11,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.00%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,01,Motorcycles,              ,0,0.00%,0.00%,,,,252,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,0.00%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,02,Passenger Cars,              ,7,675,0.02%,0.00%,,,,24,786,0.04%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,461,0.01%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,2,873,0.01%,0.00%,,,,10,006,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,878,0.01%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,04,Busses,              ,68,0.00%,0.00%,,,,291,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,0.00%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,291,0.00%,0.00%,,,,314,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,0.00%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,06,Three Axle Single Unit Trucks,              ,95,0.00%,0.00%,,,,368,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,0.00%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,07,Four or More Axle Single Unit Trucks,              ,43,0.00%,0.00%,,,,40,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.00%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,08,Four Axle or Fewer Single Trailers,              ,34,0.00%,0.00%,,,,141,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,0.00%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,09,Five Axle Single Trailers,              ,205,0.00%,0.00%,,,,303,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,0.00%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,10,Six or More Axle Single Trailers,              ,0,0.00%,0.00%,,,,7,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.00%,,
1,Bristol District,010,Bland County,7,Rural Major Collector,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,10,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,01,Motorcycles,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,02,Passenger Cars,              ,55,086,0.14%,0.02%,,,,594,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,680,0.02%,,
1,Bristol District,010,Bland County,9,Rural Local System,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,1,0.00%,0.00%,,,,2,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,04,Busses,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,05,"Two Axle, 6 Tire Single Unit Trucks",              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,06,Three Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,07,Four or More Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,08,Four Axle or Fewer Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,09,Five Axle Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,10,Six or More Axle Single Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County,9,Rural Local System,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,,
1,Bristol District,010,Bland County Total:,,,,,,66,370,0.16%,0.03%,,,,68,195,0.10%,0.03%,,,,583,064,0.88%,0.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,630,0.32%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,01,Motorcycles,              ,0,0.00%,0.00%,,,,912,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,02,Passenger Cars,              ,4,099,0.01%,0.00%,,,,187,215,0.27%,0.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,313,0.08%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,0,0.00%,0.00%,,,,61,716,0.09%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,716,0.03%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,04,Busses,              ,0,0.00%,0.00%,,,,927,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,05,"Two Axle, 6 Tire Single Unit Trucks",              ,0,0.00%,0.00%,,,,1,752,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,752,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,06,Three Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,2,121,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,121,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,07,Four or More Axle Single Unit Trucks,              ,0,0.00%,0.00%,,,,777,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,08,Four Axle or Fewer Single Trailers,              ,0,0.00%,0.00%,,,,679,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,09,Five Axle Single Trailers,              ,0,0.00%,0.00%,,,,3,700,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,700,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,10,Six or More Axle Single Trailers,              ,0,0.00%,0.00%,,,,501,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,11,Five Axle or Fewer Multi-Trailers,              ,0,0.00%,0.00%,,,,18,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,12,Six Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,4,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.00%,,
1,Bristol District,013,Buchanan County,2,Rural Principal Arterial - Other,13,Seven or More Axle Multi-Trailers,              ,0,0.00%,0.00%,,,,1,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.00%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,01,Motorcycles,              ,,,,,,,382,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,0.00%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,02,Passenger Cars,              ,,,,,,,36,523,0.05%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,523,0.02%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,,,,,,,15,261,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,261,0.01%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,04,Busses,              ,,,,,,,456,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0.00%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,05,"Two Axle, 6 Tire Single Unit Trucks",              ,,,,,,,792,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,0.00%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,06,Three Axle Single Unit Trucks,              ,,,,,,,802,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,0.00%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,07,Four or More Axle Single Unit Trucks,              ,,,,,,,215,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,0.00%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,08,Four Axle or Fewer Single Trailers,              ,,,,,,,131,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,0.00%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,09,Five Axle Single Trailers,              ,,,,,,,490,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,0.00%,,
1,Bristol District,013,Buchanan County,6,Rural Minor Arterial,10,Six or More Axle Single Trailers,              ,,,,,,,117,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,0.00%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,01,Motorcycles,              ,343,0.00%,0.00%,,,,37,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,0.00%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,02,Passenger Cars,              ,80,095,0.20%,0.04%,,,,34,292,0.05%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,388,0.05%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,39,667,0.10%,0.02%,,,,12,064,0.02%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,731,0.02%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,04,Busses,              ,927,0.00%,0.00%,,,,343,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,269,0.00%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,1,654,0.00%,0.00%,,,,716,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,370,0.00%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,06,Three Axle Single Unit Trucks,              ,3,496,0.01%,0.00%,,,,424,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,921,0.00%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,07,Four or More Axle Single Unit Trucks,              ,974,0.00%,0.00%,,,,77,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,051,0.00%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,08,Four Axle or Fewer Single Trailers,              ,299,0.00%,0.00%,,,,143,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,0.00%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,09,Five Axle Single Trailers,              ,840,0.00%,0.00%,,,,190,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,030,0.00%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,10,Six or More Axle Single Trailers,              ,4,131,0.01%,0.00%,,,,672,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,803,0.00%,,
1,Bristol District,013,Buchanan County,7,Rural Major Collector,13,Seven or More Axle Multi-Trailers,              ,22,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,01,Motorcycles,              ,38,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,02,Passenger Cars,              ,2,414,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,414,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,1,689,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,689,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,04,Busses,              ,32,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,05,"Two Axle, 6 Tire Single Unit Trucks",              ,72,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,06,Three Axle Single Unit Trucks,              ,124,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,07,Four or More Axle Single Unit Trucks,              ,8,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,08,Four Axle or Fewer Single Trailers,              ,8,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,09,Five Axle Single Trailers,              ,50,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0.00%,,
1,Bristol District,013,Buchanan County,8,Rural Minor Collector,10,Six or More Axle Single Trailers,              ,55,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.00%,,
1,Bristol District,013,Buchanan County,9,Rural Local System,01,Motorcycles,              ,7,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.00%,,
1,Bristol District,013,Buchanan County,9,Rural Local System,02,Passenger Cars,              ,140,094,0.35%,0.06%,,,,96,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,189,0.06%,,
1,Bristol District,013,Buchanan County,9,Rural Local System,03,"Two Axle, 4 Tire Single Unit Vehicles",              ,672,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,0.00%,,
1,Bristol District,013,Buchanan County,9,Rural Local System,04,Busses,              ,3,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.00%,,
1,Bristol District,013,Buchanan County,9,Rural Local System,05,"Two Axle, 6 Tire Single Unit Trucks",              ,39,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.00%,,
1,Bristol District,013,Buchanan County,9,Rural Local System,06,Three Axle Single Unit Trucks,              ,32,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.00%,,
1,Bristol District,013,Buchanan County,9,Rural Local System,07,Four or More Axle Single Unit Trucks,              ,3,0.00%,0.00%,,,,0,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.00%,,
