1,Bristol District,092,Tazewell County,12,Urban Principal Arterial - Other Freeways or Expressways,,,              ,,,,,,,43,903,0.06%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,903,0.02%,,
1,Bristol District,092,Tazewell County,14,Urban Principal Arterial - Other,,,              ,,,,,,,163,990,0.24%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,990,0.07%,,
1,Bristol District,092,Tazewell County,16,Urban Minor Arterial,,,              ,,,,,,,11,088,0.02%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,088,0.00%,,
1,Bristol District,092,Tazewell County,17,Urban Collector,,,              ,3,741,0.01%,0.00%,,,,8,734,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,475,0.01%,,
1,Bristol District,092,Tazewell County,19,Urban Local System,,,              ,8,210,0.02%,0.00%,,,,550,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,760,0.00%,,
1,Bristol District,092,Tazewell County Total:,,,,,,207,445,0.51%,0.09%,,,,768,726,1.12%,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,171,0.43%,,
1,Bristol District,095,Washington County,1,Rural Principal Arterial - Interstate,,,              ,,,,,,,,,,,,,749,442,1.13%,0.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,442,0.33%,,
1,Bristol District,095,Washington County,2,Rural Principal Arterial - Other,,,              ,,,,,,,149,613,0.22%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,613,0.07%,,
1,Bristol District,095,Washington County,6,Rural Minor Arterial,,,              ,,,,,,,86,048,0.13%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,048,0.04%,,
1,Bristol District,095,Washington County,7,Rural Major Collector,,,              ,88,693,0.22%,0.04%,,,,111,111,0.16%,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,804,0.09%,,
1,Bristol District,095,Washington County,8,Rural Minor Collector,,,              ,20,433,0.05%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,433,0.01%,,
1,Bristol District,095,Washington County,9,Rural Local System,,,              ,194,404,0.48%,0.09%,,,,2,229,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,633,0.09%,,
1,Bristol District,095,Washington County,11,Urban Principal Arterial - Interstate,,,              ,,,,,,,,,,,,,599,919,0.90%,0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,919,0.27%,,
1,Bristol District,095,Washington County,14,Urban Principal Arterial - Other,,,              ,,,,,,,29,863,0.04%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,863,0.01%,,
1,Bristol District,095,Washington County,16,Urban Minor Arterial,,,              ,11,417,0.03%,0.01%,,,,76,755,0.11%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,171,0.04%,,
1,Bristol District,095,Washington County,17,Urban Collector,,,              ,44,281,0.11%,0.02%,,,,583,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,863,0.02%,,
1,Bristol District,095,Washington County,19,Urban Local System,,,              ,45,020,0.11%,0.02%,,,,25,922,0.04%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,942,0.03%,,
1,Bristol District,095,Washington County Total:,,,,,,404,248,1.00%,0.18%,,,,482,123,0.70%,0.21%,,,,1,349,361,2.03%,0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,235,732,0.99%,,
1,Bristol District,097,Wise County,2,Rural Principal Arterial - Other,,,              ,,,,,,,463,996,0.67%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,996,0.21%,,
1,Bristol District,097,Wise County,6,Rural Minor Arterial,,,              ,,,,,,,35,771,0.05%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,771,0.02%,,
1,Bristol District,097,Wise County,7,Rural Major Collector,,,              ,87,228,0.22%,0.04%,,,,152,718,0.22%,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,945,0.11%,,
1,Bristol District,097,Wise County,8,Rural Minor Collector,,,              ,14,745,0.04%,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,745,0.01%,,
1,Bristol District,097,Wise County,9,Rural Local System,,,              ,154,552,0.38%,0.07%,,,,4,049,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,600,0.07%,,
1,Bristol District,097,Wise County,12,Urban Principal Arterial - Other Freeways or Expressways,,,              ,,,,,,,83,341,0.12%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,341,0.04%,,
1,Bristol District,097,Wise County,14,Urban Principal Arterial - Other,,,              ,,,,,,,57,664,0.08%,0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,664,0.03%,,
1,Bristol District,097,Wise County,16,Urban Minor Arterial,,,              ,12,073,0.03%,0.01%,,,,36,663,0.05%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,736,0.02%,,
1,Bristol District,097,Wise County,17,Urban Collector,,,              ,11,869,0.03%,0.01%,,,,5,510,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,379,0.01%,,
1,Bristol District,097,Wise County,19,Urban Local System,,,              ,5,397,0.01%,0.00%,,,,4,275,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,672,0.00%,,
1,Bristol District,097,Wise County Total:,,,,,,285,863,0.71%,0.13%,,,,843,987,1.23%,0.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,129,850,0.50%,,
1,Bristol District,098,Wythe County,1,Rural Principal Arterial - Interstate,,,              ,,,,,,,,,,,,,1,272,265,1.91%,0.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,272,265,0.57%,,
1,Bristol District,098,Wythe County,6,Rural Minor Arterial,,,              ,,,,,,,47,008,0.07%,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,008,0.02%,,
1,Bristol District,098,Wythe County,7,Rural Major Collector,,,              ,59,687,0.15%,0.03%,,,,114,503,0.17%,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,190,0.08%,,
1,Bristol District,098,Wythe County,8,Rural Minor Collector,,,              ,2,858,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,858,0.00%,,
1,Bristol District,098,Wythe County,9,Rural Local System,,,              ,97,133,0.24%,0.04%,,,,86,494,0.13%,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,627,0.08%,,
1,Bristol District,098,Wythe County,11,Urban Principal Arterial - Interstate,,,              ,,,,,,,,,,,,,215,603,0.32%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,603,0.10%,,
1,Bristol District,098,Wythe County,14,Urban Principal Arterial - Other,,,              ,,,,,,,4,118,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,118,0.00%,,
1,Bristol District,098,Wythe County,16,Urban Minor Arterial,,,              ,,,,,,,2,065,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,065,0.00%,,
1,Bristol District,098,Wythe County,17,Urban Collector,,,              ,,,,,,,1,202,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,202,0.00%,,
1,Bristol District,098,Wythe County,19,Urban Local System,,,              ,2,137,0.01%,0.00%,,,,5,359,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,495,0.00%,,
1,Bristol District,098,Wythe County Total:,,,,,,161,815,0.40%,0.07%,,,,260,749,0.38%,0.12%,,,,1,487,868,2.24%,0.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,910,431,0.85%,,
1,Bristol District,140,Town of Abingdon,14,Urban Principal Arterial - Other,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,435,0.20%,0.02%,,,,,,,,,,,,,,,,43,435,0.02%,,
1,Bristol District,140,Town of Abingdon,16,Urban Minor Arterial,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,797,0.34%,0.03%,,,,,,,,,,,,,,,,74,797,0.03%,,
1,Bristol District,140,Town of Abingdon,17,Urban Collector,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,17,514,0.09%,0.01%,,,,7,603,0.03%,0.00%,,,,,,,,,,,,,,,,25,117,0.01%,,
1,Bristol District,140,Town of Abingdon,19,Urban Local System,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,27,692,0.14%,0.01%,,,,,,,,,,,,,,,,,,,,,,27,692,0.01%,,
1,Bristol District,140,Town of Abingdon Total:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,206,0.23%,0.02%,,,,125,835,0.57%,0.06%,,,,,,,,,,,,,,,,171,041,0.08%,,
1,Bristol District,101,Town of Big Stone Gap,16,Urban Minor Arterial,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,16,929,0.09%,0.01%,,,,28,094,0.13%,0.01%,,,,,,,,,,,,,,,,45,024,0.02%,,
1,Bristol District,101,Town of Big Stone Gap,17,Urban Collector,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,2,445,0.01%,0.00%,,,,,,,,,,,,,,,,,,,,,,2,445,0.00%,,
1,Bristol District,101,Town of Big Stone Gap,19,Urban Local System,,,              ,,,,,,,,,,,,,,,,,,,,,,,,,15,342,0.08%,0.01%,,,,,,,,,,,,,,,,,,,,,,15,342,0.01%,,
1,Bristol District,101,Town of Big Stone Gap Total:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,715,0.18%,0.02%,,,,28,094,0.13%,0.01%,,,,,,,,,,,,,,,,62,810,0.03%,,
