632021,  SR,00055,     ,"US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.25,US 522 & US 340,6th St,12000,F,97%,1%,1%,1%,1%,0%,F,0.0901,F,0.0000,14000,F,2008,,,,,,,,,,,,,,,
632020,  SR,00055,     ,"US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.57,6th St,E Main St,17000,F,97%,1%,1%,1%,1%,0%,C,0.0859,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
632024,  SR,00055,     ,"US 340, VA 55",South Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.40,E Main St,US 340,14000,F,96%,1%,1%,1%,1%,0%,C,0.0873,F,0.0000,15000,F,2008,,,,,,,,,,,,,,,
632028,  SR,00055,     ,VA 55,South  St,112,Town of Front Royal,112,Town of Front Royal,0.54,"US 340, S Royal Ave","US 522, S Commerce Ave",14000,F,98%,1%,1%,0%,0%,0%,C,,,,15000,F,2008,,,,,,,,,,,,,,,
632016,  SR,00055,     ,VA 55,John Marshall Hwy,112,Town of Front Royal,112,Town of Front Royal,1.72,"US 522, S Commerce Ave",ECL Front Royal,14000,F,98%,1%,1%,0%,1%,0%,C,0.0870,F,0.0000,16000,F,2008,,,,,,,,,,,,,,,
080512,  SR,00055,     ,VA 55,John Marshall Hwy,093,Warren County,093,Warren County,2.98,ECL Front Royal,SR 79 Apple Mountain Rd,10000,F,98%,0%,1%,0%,1%,0%,C,0.0926,F,0.0000,11000,F,2008,,,,,,,,,,,,,,,
080511,  SR,00055,     ,VA 55,John Marshall Hwy,093,Warren County,093,Warren County,1.35,SR 79 Apple Mountain Rd,Fauquier County Line,4100,F,98%,0%,1%,0%,1%,0%,F,0.1051,F,0.5856,4300,F,2008,,,,,,,,,,,,,,,
080193,  IS,00066,E    ,I-66 EB,Ramp From I-81 N Exit 300 to I-66 E at Exit 1,093,Warren County,093,Warren County,0.25,I-81 N,I-66 E,8600,F,82%,1%,1%,1%,15%,1%,F,,,,8100,F,2008,,17000,F,83%,1%,1%,1%,15%,1%,F,,,,16000,F
080192,  IS,00066,E    ,I-66 EB, ,093,Warren County,093,Warren County,6.36,I-81,"US 340, US 522 Winchester Rd",15000,F,82%,1%,1%,1%,15%,1%,F,,,,14000,F,2008,,28000,F,83%,1%,1%,1%,15%,1%,F,,,,26000,F
080190,  IS,00066,E    ,I-66 EB, ,093,Warren County,093,Warren County,6.49,"US 340, US 522 Winchester Rd",SR 79,14000,A,82%,1%,1%,1%,15%,1%,C,0.1244,A,1.0000,13000,A,2008,,28000,A,83%,1%,1%,1%,15%,1%,C,0.1042,A,0.0000,27000,A
080188,  IS,00066,E    ,I-66 EB, ,093,Warren County,093,Warren County,1.56,SR 79,Fauquier County Line,18000,G,82%,1%,1%,1%,15%,1%,F,0.0994,F,1.0000,17000,G,2008,,34000,G,84%,1%,1%,1%,14%,1%,F,,,,33000,G
190154,  IS,00066,W    ,I-66 WB,Ramp From I-66 W Exit 1 to I-81 S at Exit 300,034,Frederick County,093,Warren County,0.42,I-81 S,Warren County Line,8000,F,83%,1%,1%,1%,14%,1%,F,,,,7400,F,2008,,17000,F,83%,1%,1%,1%,15%,1%,F,,,,16000,F
190052,  IS,00066,W    ,I-66 WB, ,093,Warren County,093,Warren County,6.62,I-81,"US 340, US 522 Winchester Rd",14000,F,83%,1%,1%,1%,14%,1%,F,,,,13000,F,2008,,28000,F,83%,1%,1%,1%,15%,1%,F,,,,26000,F
190051,  IS,00066,W    ,I-66 WB, ,093,Warren County,093,Warren County,6.55,"US 340, US 522 Winchester Rd",SR 79,14000,A,83%,1%,1%,1%,14%,1%,C,0.1208,A,1.0000,13000,A,2008,,28000,A,83%,1%,1%,1%,15%,1%,C,0.1042,A,0.0000,27000,A
890050,  IS,00066,W    ,I-66 WB, ,093,Warren County,093,Warren County,1.20,SR 79,Fauquier County Line,17000,A,86%,1%,1%,0%,12%,0%,C,0.1279,A,1.0000,16000,A,2008,,34000,G,84%,1%,1%,1%,14%,1%,F,,,,33000,G
080515,  SR,00079,     ,VA 79,Apple Mountain Rd,093,Warren County,093,Warren County,0.23,SR 55 West of Linden,I-66,12000,F,97%,1%,1%,0%,1%,0%,C,0.0845,F,0.0000,12000,F,2008,,,,,,,,,,,,,,,
980503,  IS,00081,N    ,I-81 NB, ,093,Warren County,034,Frederick County,1.29,Shenandoah County Line,"I-66, Frederick County Line",25000,F,74%,1%,1%,1%,22%,2%,F,,,,25000,F,2008,,50000,F,75%,1%,1%,1%,21%,2%,F,,,,49000,F
880010,  IS,00081,S    ,I-81 SB, ,093,Warren County,034,Frederick County,1.15,Shenandoah County Line,Frederick County Line,25000,F,76%,1%,1%,1%,20%,2%,F,,,,25000,F,2008,,50000,F,75%,1%,1%,1%,21%,2%,F,0.0000,?,0.0000,49000,F
080110,  US,00340,     ,US 340,Stonewall Jackson Hwy,093,Warren County,093,Warren County,2.46,Page County Line,"93-613 N, Bentonville Browntown Rd",4400,F,95%,1%,1%,1%,2%,0%,C,0.0894,F,0.0000,4700,F,2008,,,,,,,,,,,,,,,
080516,  US,00340,     ,US 340,Stonewall Jackson Hwy,093,Warren County,093,Warren County,5.30,"93-613 N, Bentonville Browntown Rd",93-607 Rocky Lane,6400,F,95%,1%,1%,1%,2%,0%,F,0.0879,F,0.6917,6700,F,2008,,,,,,,,,,,,,,,
080553,  US,00340,     ,US 340,Stonewall Jackson Hwy,093,Warren County,093,Warren County,2.78,93-607 Rocky Lane,93-619 Rivermont Dr,7800,F,95%,1%,1%,1%,2%,0%,F,0.0893,F,0.0000,8200,F,2008,,,,,,,,,,,,,,,
080557,  US,00340,     ,US 340,Stonewall Jackson Hwy,093,Warren County,093,Warren County,0.83,93-619 Rivermont Dr,SCL Front Royal,12000,F,95%,1%,1%,1%,2%,0%,F,0.0879,N,0.6917,13000,F,2008,,,,,,,,,,,,,,,
632023,  US,00340,     ,US 340,South Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.31,SCL Front Royal,SR 55 South St,15000,F,95%,1%,1%,1%,2%,0%,F,0.0902,F,0.0000,16000,F,2008,,,,,,,,,,,,,,,
632024,  US,00340,     ,"US 340, VA 55",South Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.40,SR 55 South St,E Main St,14000,F,96%,1%,1%,1%,1%,0%,C,0.0873,F,0.0000,15000,F,2008,,,,,,,,,,,,,,,
632020,  US,00340,     ,"US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.57,E Main St,6th St,17000,F,97%,1%,1%,1%,1%,0%,C,0.0859,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
632021,  US,00340,     ,"US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.25,6th St,"US 522, 8th St",12000,F,97%,1%,1%,1%,1%,0%,F,0.0901,F,0.0000,14000,F,2008,,,,,,,,,,,,,,,
632022,  US,00340,     ,"US 522, US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.35,"US 522, 8th St",14th St,24000,F,96%,1%,1%,1%,1%,0%,C,,,,25000,F,2008,,,,,,,,,,,,,,,
632001,  US,00340,     ,"US 522, US 340, VA 55",14th St,112,Town of Front Royal,112,Town of Front Royal,0.24,North Royal Ave,Shenandoah Ave,22000,F,96%,1%,1%,1%,1%,0%,F,,,,23000,F,2008,,,,,,,,,,,,,,,
632025,  US,00340,     ,"US 522, US 340, VA 55",Shenandoah Ave,112,Town of Front Royal,112,Town of Front Royal,0.34,14th St,CL Front Royal,27000,F,96%,1%,1%,1%,1%,0%,F,,,,28000,F,2008,,,,,,,,,,,,,,,
632034,  US,00340,     ,"US 522, US 340, VA 55",Shenandoah Ave,093,Warren County,093,Warren County,0.45,CL Front Royal,SR 55 West,27000,N,96%,1%,1%,1%,1%,0%,N,,,,28000,N,2008,,,,,,,,,,,,,,,
632026,  US,00340,     ,"US 522, US 340",Shenandoah Ave,093,Warren County,093,Warren County,0.22,SR 55 West,Old NCL Front Royal,27000,F,96%,0%,1%,1%,1%,0%,F,0.0856,F,0.0000,29000,F,2008,,,,,,,,,,,,,,,
080524,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.83,Old NCL Front Royal,I-66,27000,F,96%,0%,1%,1%,1%,0%,C,0.0842,F,0.0000,28000,F,2008,,,,,,,,,,,,,,,
080523,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,1.28,I-66,93-627 Reliance Rd,22000,F,85%,1%,1%,2%,10%,0%,C,0.0793,F,0.0000,24000,F,2008,,,,,,,,,,,,,,,
080559,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,2.81,93-627 Reliance Rd,93-802,17000,F,84%,1%,1%,2%,12%,0%,C,0.0840,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080522,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.30,93-802,Frederick County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080521,  US,00340,     ,"US 522, US 340",Winchester Rd,034,Frederick County,093,Warren County,0.53,Warren County Line,Warren County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080520,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.39,Frederick County Line,Frederick County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080519,  US,00340,     ,"US 522, US 340",Winchester Rd,034,Frederick County,093,Warren County,0.30,Warren County Line,Warren County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080518,  US,00340,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.16,Frederick County Line,Clarke County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080517,  US,00340,     ,"US 522, US 340",Stonewall Jackson Hwy,021,Clarke County,093,Warren County,1.79,Warren County Line,US 522 Double Toll Gate,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080525,  US,00522,     ,US 522, ,093,Warren County,093,Warren County,3.77,Rappahannock County Line,SCL Front Royal,7800,F,96%,0%,1%,2%,1%,0%,C,0.0988,F,0.0000,8100,F,2008,,,,,,,,,,,,,,,
632005,  US,00522,     ,US 522,Chester Gap Rd,112,Town of Front Royal,112,Town of Front Royal,0.60,SCL Front Royal,Criser Rd,7700,F,97%,0%,1%,1%,1%,0%,C,0.0931,F,0.0000,8100,F,2008,,,,,,,,,,,,,,,
632006,  US,00522,     ,US 522,Chester Gap Rd,112,Town of Front Royal,112,Town of Front Royal,0.35,Criser Rd,SR 55 South St,11000,F,97%,0%,1%,1%,1%,0%,F,,,,12000,F,2008,,,,,,,,,,,,,,,
632007,  US,00522,     ,US 522,Commerce Ave,112,Town of Front Royal,112,Town of Front Royal,0.47,SR 55 South St,Main St,22000,F,98%,1%,1%,0%,1%,0%,C,0.0914,F,0.0000,23000,F,2008,,,,,,,,,,,,,,,
632008,  US,00522,     ,US 522,Commerce Ave,112,Town of Front Royal,112,Town of Front Royal,0.74,Main St,Happy Creek Rd,15000,F,97%,1%,1%,0%,1%,0%,C,0.0822,F,0.0000,16000,F,2008,,,,,,,,,,,,,,,
632009,  US,00522,     ,US 522,Commerce Ave,112,Town of Front Royal,112,Town of Front Royal,0.35,Happy Creek Rd,US 340 North Royal Ave,14000,F,97%,1%,1%,0%,1%,0%,F,0.0902,F,0.0000,14000,F,2008,,,,,,,,,,,,,,,
632022,  US,00522,     ,"US 522, US 340, VA 55",North Royal Ave,112,Town of Front Royal,112,Town of Front Royal,0.35,Commerce Ave,14th St,24000,F,96%,1%,1%,1%,1%,0%,C,,,,25000,F,2008,,,,,,,,,,,,,,,
632001,  US,00522,     ,"US 522, US 340, VA 55",14th St,112,Town of Front Royal,112,Town of Front Royal,0.24,North Royal Ave,Shenandoah Ave,22000,F,96%,1%,1%,1%,1%,0%,F,,,,23000,F,2008,,,,,,,,,,,,,,,
632025,  US,00522,     ,"US 522, US 340, VA 55",Shenandoah Ave,112,Town of Front Royal,112,Town of Front Royal,0.34,14th St,NCL Front Royal,27000,F,96%,1%,1%,1%,1%,0%,F,,,,28000,F,2008,,,,,,,,,,,,,,,
632034,  US,00522,     ,"US 522, US 340, VA 55",Shenandoah Ave,093,Warren County,093,Warren County,0.45,NCL Front Royal,"SR 55 W, Strasburg Rd",27000,N,96%,1%,1%,1%,1%,0%,N,,,,28000,N,2008,,,,,,,,,,,,,,,
632026,  US,00522,     ,"US 522, US 340",Shenandoah Ave,093,Warren County,093,Warren County,0.22,"SR 55 W, Strasburg Rd",Old NCL Front Royal,27000,F,96%,0%,1%,1%,1%,0%,F,0.0856,F,0.0000,29000,F,2008,,,,,,,,,,,,,,,
080524,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.83,Old NCL Front Royal,I-66,27000,F,96%,0%,1%,1%,1%,0%,C,0.0842,F,0.0000,28000,F,2008,,,,,,,,,,,,,,,
080523,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,1.28,I-66,93-627 Reliance Rd,22000,F,85%,1%,1%,2%,10%,0%,C,0.0793,F,0.0000,24000,F,2008,,,,,,,,,,,,,,,
080559,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,2.81,93-627 Reliance Rd,93-802 Zion Church Road,17000,F,84%,1%,1%,2%,12%,0%,C,0.0840,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080522,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.30,93-802 Zion Church Road,Frederick County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080521,  US,00522,     ,"US 522, US 340",Winchester Rd,034,Frederick County,093,Warren County,0.53,Warren County Line,Warren County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080520,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.39,Frederick County Line,Frederick County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080519,  US,00522,     ,"US 522, US 340",Winchester Rd,034,Frederick County,093,Warren County,0.30,Warren County Line,Warren County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080518,  US,00522,     ,"US 522, US 340",Winchester Rd,093,Warren County,093,Warren County,0.16,Frederick County Line,Clarke County Line,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
080517,  US,00522,     ,"US 522, US 340",Stonewall Jackson Hwy,021,Clarke County,093,Warren County,1.79,Warren County Line,US 340; SR 277 Double Toll Gate,17000,F,84%,1%,1%,2%,12%,0%,C,0.0820,F,0.0000,18000,F,2008,,,,,,,,,,,,,,,
780463,  FR,00225,     ,FR 225, ,093,Warren County,093,Warren County,0.71,Dead End,93-609 Ritenour Hollow Rd,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
780507,  FR,00283,     ,FR 283, ,093,Warren County,093,Warren County,0.41,Dead End,Fauquier County Line,60,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
780509,  FR,00285,     ,FR 285, ,093,Warren County,093,Warren County,0.24,Dead End,93-647 Dismal Hollow Rd,80,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
780674,  FR,00730,     ,FR 730,Townsen Dr,093,Warren County,093,Warren County,0.26,Dead End,US 522 Winchester Rd,4400,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
780675,  FR,00731,     ,FR 731,Paterson Dr,093,Warren County,093,Warren County,0.26,93-655 Country Club Rd,Dead End,4100,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
780798,  FR,00870,     ,FR 870, ,093,Warren County,093,Warren County,0.08,SR 79; Ramp to I-66; Ramp From I-66,Dead End,0,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
776289,  93,00600,     ,93-600,Hickerson Hollow Rd,093,Warren County,093,Warren County,1.00,Dead End,93-604 Harmony Hollow Rd,30,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
776290,  93,00601,     ,93-601,Pomeroy Rd,093,Warren County,093,Warren County,1.00,Dead End,93-604 Harmony Hollow Rd,60,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
776291,  93,00602,     ,93-602, ,093,Warren County,093,Warren County,0.25,93-604 Harmony Hollow Rd,0.25 ME 93-604 Harmony Hollow Rd,200,R,,,,,,,X,,,,,,01/24/2006,,,,,,,,,,,,,,,
776292,  93,00602,     ,93-602, ,093,Warren County,093,Warren County,0.45,0.25 ME 93-604 Harmony Hollow Rd,Dead End,30,R,,,,,,,X,,,,,,01/24/2006,,,,,,,,,,,,,,,
776293,  93,00603,     ,93-603, ,093,Warren County,093,Warren County,2.90,93-647 Dismal Hollow Rd,93-643,820,G,95%,1%,3%,1%,0%,0%,C,,,,820,G,2008,,,,,,,,,,,,,,,
303711,  93,00603,     ,93-603,Howellsville Rd,093,Warren County,093,Warren County,2.30,93-643,93-638 Blue Mtn Rd,2200,F,98%,0%,1%,1%,0%,0%,C,0.0967,F,0.5240,2300,F,2008,,,,,,,,,,,,,,,
776294,  93,00604,     ,93-604,Harmony Hollow Rd,093,Warren County,093,Warren County,0.90,Dead End,93-600 Hickerson Hollow Rd,80,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
776295,  93,00604,     ,93-604,Harmony Hollow Rd,093,Warren County,093,Warren County,0.82,93-600 Hickerson Hollow Rd,93-602,160,R,,,,,,,X,,,,,,01/24/2006,,,,,,,,,,,,,,,
303712,  93,00604,     ,93-604,Harmony Hollow Rd,093,Warren County,093,Warren County,0.34,93-602 Moore Rd,93-671 Harmony Orchard Rd,530,F,96%,1%,2%,1%,0%,0%,F,0.1137,F,0.7947,550,F,2008,,,,,,,,,,,,,,,
303713,  93,00604,     ,93-604,Harmony Hollow Rd,093,Warren County,093,Warren County,1.59,93-671 Harmony Orchard Rd,US 522,780,F,96%,1%,2%,1%,0%,0%,C,0.0986,F,0.6154,820,F,2008,,,,,,,,,,,,,,,
776296,  93,00605,     ,93-605,Poor House Rd,093,Warren County,093,Warren County,1.70,US 340 Stonewall Jackson Hwy,93-649 Browntown Rd,250,R,,,,,,,X,,,,,,08/05/2008,,,,,,,,,,,,,,,
776297,  93,00606,     ,93-606,Shenandoah Shores Rd,093,Warren County,093,Warren County,1.72,NCL Front Royal,1.72 MN of NCL,3300,G,,,,,,,X,,,,3300,G,2008,,,,,,,,,,,,,,,
776298,  93,00606,     ,93-606,Shenandoah Shores Rd,093,Warren County,093,Warren County,0.51,1.72 MN of NCL,2.23 MN of NCL,2200,R,,,,,,,X,,,,,,07/30/2008,,,,,,,,,,,,,,,
776299,  93,00606,     ,93-606,Shenandoah Shores Rd,093,Warren County,093,Warren County,0.25,2.23 MN of NCL,Dead End,110,R,,,,,,,X,,,,,,01/24/2006,,,,,,,,,,,,,,,
776300,  93,00607,     ,93-607,Rocky Lane,093,Warren County,093,Warren County,0.60,US 340 Stonewall Jackson Hwy,0.60 ME US 340,320,R,,,,,,,X,,,,,,08/05/2008,,,,,,,,,,,,,,,
776301,  93,00607,     ,93-607,Rocky Lane,093,Warren County,093,Warren County,1.00,0.60 ME US 340,93-649 Browntown Rd,150,R,,,,,,,X,,,,,,08/05/2008,,,,,,,,,,,,,,,
776302,  93,00608,     ,93-608,Wilson Burke Rd,093,Warren County,093,Warren County,0.45,93-613,93-619 Mtn Rd,590,R,,,,,,,X,,,,,,08/07/2008,,,,,,,,,,,,,,,
776303,  93,00609,     ,93-609,Ritenour Hollow Rd,093,Warren County,093,Warren County,0.40,93-637 Guard Hill Rd,FR-225,400,R,,,,,,,X,,,,,,12/27/2005,,,,,,,,,,,,,,,
776304,  93,00609,     ,93-609,Ritenour Hollow Rd,093,Warren County,093,Warren County,0.77,FR-225,0.77 ME FR-225,710,R,,,,,,,X,,,,,,08/12/2008,,,,,,,,,,,,,,,
776305,  93,00609,     ,93-609,Ritenour Hollow Rd,093,Warren County,093,Warren County,0.27,0.77 ME FR-225,93-736 Molly Campbell Lane,360,R,,,,,,,X,,,,,,12/27/2005,,,,,,,,,,,,,,,
776306,  93,00609,     ,93-609,Ritenour Hollow Rd,093,Warren County,093,Warren County,0.10,93-736 Molly Campbell Lane,93-627 Reliance Rd,800,R,,,,,,,X,,,,,,08/12/2008,,,,,,,,,,,,,,,
776307,  93,00610,     ,93-610,Bucks Mill Rd,093,Warren County,093,Warren County,0.20,SR 55; 93-678,93-616,460,R,,,,,,,X,,,,,,08/12/2008,,,,,,,,,,,,,,,
776308,  93,00610,     ,93-610,Bucks Mill Rd,093,Warren County,093,Warren County,2.15,93-616,2.15 ME 93-616,160,R,,,,,,,X,,,,,,08/12/2008,,,,,,,,,,,,,,,
776309,  93,00610,     ,93-610,Bucks Mill Rd,093,Warren County,093,Warren County,0.05,2.15 ME 93-616,93-626,70,R,,,,,,,X,,,,,,12/21/2005,,,,,,,,,,,,,,,
776310,  93,00611,     ,93-611,Long Meadow Rd,093,Warren County,093,Warren County,2.60,"93-635 W, Bowmans Mill Rd","93-635 E, Bowmans Mill Rd",80,R,,,,,,,X,,,,,,08/14/2008,,,,,,,,,,,,,,,
776311,  93,00611,     ,93-611,Long Meadow Rd,093,Warren County,093,Warren County,0.10,"93-635 E, Bowmans Mill Rd",93-612; 93-840,180,R,,,,,,,X,,,,,,08/14/2008,,,,,,,,,,,,,,,
776312,  93,00611,     ,93-611,Long Meadow Rd,093,Warren County,093,Warren County,3.38,93-612; 93-840,93-637 River Rd,290,R,,,,,,,X,,,,,,08/14/2008,,,,,,,,,,,,,,,
776313,  93,00612,     ,93-612,Gafia Lodge Rd,093,Warren County,093,Warren County,1.20,93-611; 93-840,1.20 ME 93-611,230,R,,,,,,,X,,,,,,12/27/2005,,,,,,,,,,,,,,,
776314,  93,00612,     ,93-612,Gafia Lodge Rd,093,Warren County,093,Warren County,1.00,1.20 ME 93-611,93-842,70,R,,,,,,,X,,,,,,08/12/2008,,,,,,,,,,,,,,,
776315,  93,00612,     ,93-612,Gafia Lodge Rd,093,Warren County,093,Warren County,0.90,93-842,93-626,40,R,,,,,,,X,,,,,,08/12/2008,,,,,,,,,,,,,,,
303714,  93,00613,     ,93-613,Bentonville Browntown Rd,093,Warren County,093,Warren County,3.06,93-631; 93-649,93-738 Jennings Lane,410,F,95%,0%,1%,3%,1%,0%,F,0.1017,F,0.5778,430,F,2008,,,,,,,,,,,,,,,
303715,  93,00613,     ,93-613,Bentonville Browntown Rd,093,Warren County,093,Warren County,2.26,93-738 Jennings Lane,93-672 Qual Hollow Rd,1000,F,95%,0%,1%,3%,1%,0%,C,0.0905,F,0.5049,1100,F,2008,,,,,,,,,,,,,,,
303716,  93,00613,     ,93-613,Bentonville Browntown Rd,093,Warren County,093,Warren County,0.31,93-672 Qual Hollow Rd,"US 340 E, Stonewall Jackson Hwy",1200,F,95%,0%,1%,3%,1%,0%,F,0.1029,F,0.6448,1300,F,2008,,,,,,,,,,,,,,,
