060364,C4US,00017,     ,"Bus US 17, VA 33",Gloucester Rd,059,Middlesex County,059,Middlesex County,0.80,US 17 George Washington Mem Hwy South of Saluda,"SR 33 Puller Hwy, Saluda",6700,G,94%,1%,1%,2%,3%,0%,C,0.0834,F,0.5095,6900,G,2008,,,,,,,,,,,,,,,
060266,C4US,00017,     ,Bus US 17,School Rd,059,Middlesex County,059,Middlesex County,0.83,SR 33 Puller Hwy,US 17 George Washington Mem Hwy West of Saluda,3300,G,94%,1%,1%,2%,3%,0%,F,0.1056,F,0.6045,3400,G,2008,,,,,,,,,,,,,,,
060383,  SR,00033,     ,"US 17, VA 33",Tidewater Trail,059,Middlesex County,059,Middlesex County,0.81,Gloucester County Line,US 17 South of Saluda,12000,G,98%,0%,1%,1%,1%,0%,F,0.0813,F,0.5237,12000,G,2008,,,,,,,,,,,,,,,
060364,  SR,00033,     ,"Bus US 17, VA 33",Gloucester Rd,059,Middlesex County,059,Middlesex County,0.80,US 17 South of Saluda,Bus US 17 Saluda,6700,G,94%,1%,1%,2%,3%,0%,C,0.0834,F,0.5095,6900,G,2008,,,,,,,,,,,,,,,
060271,  SR,00033,     ,VA 33,General Puller Hwy,059,Middlesex County,059,Middlesex County,1.78,"Bus US 17 Gloucester Rd, Saluda",SR 227 Urbanna Rd,9000,G,94%,1%,1%,1%,2%,0%,C,0.0862,F,0.5404,9200,G,2008,,,,,,,,,,,,,,,
060270,  SR,00033,     ,VA 33,General Puller Hwy,059,Middlesex County,059,Middlesex County,2.93,SR 227 Urbanna Rd,59-619 Healys Rd,9300,G,94%,1%,1%,1%,2%,0%,F,0.0816,F,0.5538,9500,G,2008,,,,,,,,,,,,,,,
060269,  SR,00033,     ,VA 33,General Puller Hwy,059,Middlesex County,059,Middlesex County,2.18,59-619 Healys Rd,SR 3 Greys Point Rd,9200,G,94%,1%,1%,1%,2%,0%,F,0.0804,F,0.5100,9400,G,2008,,,,,,,,,,,,,,,
160067,  SR,00033,     ,"VA 3, VA 33",General Puller Hwy,059,Middlesex County,059,Middlesex County,3.45,SR 3 Harmony Village,SR 3 Near Hartfield,5700,G,94%,1%,2%,2%,1%,0%,C,0.0853,F,0.6324,5800,G,2008,,,,,,,,,,,,,,,
060268,  SR,00033,     ,VA 33,General Puller Hwy,059,Middlesex County,059,Middlesex County,2.15,SR 3 Greys Point Rd,59-628 Mill Creek Rd,4500,G,97%,0%,1%,0%,1%,0%,F,0.0927,F,0.5428,4600,G,2008,,,,,,,,,,,,,,,
060090,  SR,00033,     ,VA 33,General Puller Hwy,059,Middlesex County,059,Middlesex County,4.26,59-628 Mill Creek Rd,59-636 Timberneck Rd,5600,G,97%,0%,1%,0%,1%,0%,C,0.0909,F,0.5108,5800,G,2008,,,,,,,,,,,,,,,
060267,  SR,00033,     ,VA 33,General Puller Hwy,059,Middlesex County,059,Middlesex County,2.00,59-636 Timberneck Rd,Stingray Point,1200,G,97%,0%,1%,0%,1%,0%,F,0.0865,F,0.5175,1200,G,2008,,,,,,,,,,,,,,,
060272,  SR,00227,     ,VA 227,Urbanna Rd,059,Middlesex County,059,Middlesex County,2.35,SR 33 Cooks Corner,ECL Urbanna,3700,G,97%,1%,1%,0%,1%,0%,C,0.0979,F,0.5650,3800,G,2008,,,,,,,,,,,,,,,
060275,  SR,00227,     ,VA 227, ,316,Town of Urbanna,059,Middlesex County,0.63,ECL Urbanna,WCL Urbanna,3700,N,97%,1%,1%,0%,1%,0%,N,0.0979,N,0.5650,3800,N,2008,,,,,,,,,,,,,,,
780859,  FR,00940,     ,FR 940, ,059,Middlesex County,059,Middlesex County,0.07,Dead End,US 17; Bus US 17,90,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
780860,  FR,00941,     ,FR 941, ,059,Middlesex County,059,Middlesex County,0.06,Dead End,US 17; Bus US 17,20,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
780864,  FR,00945,     ,FR 945,Diesel Dr,059,Middlesex County,059,Middlesex County,0.06,US 17 Gloucester Rd,Dead End,90,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753597,  59,00600,     ,59-600,Butylo Rd,059,Middlesex County,059,Middlesex County,0.20,Dead End,Essex County Line,49,R,,,,,,,X,,,,,,05/04/2006,,,,,,,,,,,,,,,
753598,  59,00601,     ,59-601,McKans Rd,059,Middlesex County,059,Middlesex County,1.50,US 17 Tidewater Trail,Dead End,70,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
405400,  59,00602,     ,59-602,Wares Bridge Rd; Dragon Rd,059,Middlesex County,059,Middlesex County,2.81,King & Queen County Line,"US 17 N, Tidewater Trail",270,G,96%,1%,1%,1%,1%,0%,F,0.1187,F,0.6250,280,G,2008,,,,,,,,,,,,,,,
405401,  59,00602,     ,59-602,Old Virginia St,059,Middlesex County,059,Middlesex County,2.78,"US 17 S, Tidewater Trail",59-637,1300,G,96%,1%,1%,1%,1%,0%,F,0.0933,F,0.5736,1300,G,2008,,,,,,,,,,,,,,,
405402,  59,00602,     ,59-602,Old Virginia St,059,Middlesex County,059,Middlesex County,2.75,59-637,WCL Urbanna,2200,G,96%,1%,1%,1%,1%,0%,C,0.1008,F,0.6000,2300,G,2008,,,,,,,,,,,,,,,
405403,  59,00603,     ,59-603,Farley Park Rd,059,Middlesex County,059,Middlesex County,1.30,King & Queen County Line,59-612 Edgehill Rd,420,G,97%,1%,1%,1%,1%,0%,F,0.1257,F,0.5189,420,G,2008,,,,,,,,,,,,,,,
405404,  59,00603,     ,59-603,Farley Park Rd,059,Middlesex County,059,Middlesex County,1.97,59-612 Edgehill Rd,US 17 Tidewater Trail,330,G,97%,1%,1%,1%,1%,0%,F,0.1142,F,0.5000,340,G,2008,,,,,,,,,,,,,,,
405405,  59,00603,     ,59-603,Warner Rd,059,Middlesex County,059,Middlesex County,2.33,US 17 Tidewater Trail,59-602 Old Virginia Street,460,G,97%,1%,1%,1%,1%,0%,C,0.1068,F,0.5000,470,G,2008,,,,,,,,,,,,,,,
753599,  59,00604,     ,59-604,Bay Port Rd,059,Middlesex County,059,Middlesex County,0.75,Dead End,"59-605 N, Canoe House Rd",100,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753600,  59,00604,     ,59-604,Nesting Rd,059,Middlesex County,059,Middlesex County,1.00,"59-605 S, Canoe House Rd",59-648 Montague Island Rd,270,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753601,  59,00604,     ,59-604,Nesting Rd,059,Middlesex County,059,Middlesex County,2.05,59-648 Montague Island Rd,Dead End,70,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753602,  59,00605,     ,59-605,Canoe House Rd,059,Middlesex County,059,Middlesex County,2.22,US 17 Tidewater Trail,"59-604 S, Nesting Rd",480,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753603,  59,00605,     ,59-605,Canoe House Rd,059,Middlesex County,059,Middlesex County,0.50,"59-604 S, Nesting Rd","59-604 N, Bay Port Rd",170,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753604,  59,00605,     ,59-605,Canoe House Rd,059,Middlesex County,059,Middlesex County,0.80,"59-604 N, Bay Port Rd",Dead End,20,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753605,  59,00606,     ,59-606, ,059,Middlesex County,059,Middlesex County,3.29,"US 17 S, Tidewater Trail",59-666 Croxtons Rd,120,R,,,,,,,X,,,,,,05/08/2003,,,,,,,,,,,,,,,
753606,  59,00606,     ,59-606, ,059,Middlesex County,059,Middlesex County,1.23,59-666 Croxtons Rd,"US 17 N, Tidewater Trail",50,R,,,,,,,X,,,,,,05/08/2003,,,,,,,,,,,,,,,
753607,  59,00607,     ,59-607,Dragon Run,059,Middlesex County,059,Middlesex County,1.53,59-602 Wares Bridge Road,59-606,110,R,,,,,,,X,,,,,,05/04/2006,,,,,,,,,,,,,,,
753608,  59,00608,     ,59-608,Millstone Landing Rd,059,Middlesex County,059,Middlesex County,0.80,59-640 Waterview Road,Dead End,170,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753609,  59,00609,     ,59-609,Gayles Rd,059,Middlesex County,059,Middlesex County,1.84,59-610 Burchs Mill Rd,59-1030 Cedar Rd,280,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753610,  59,00610,     ,59-610,Burchs Mill Rd,059,Middlesex County,059,Middlesex County,0.60,59-602 Old Virginia Street,59-609 Gayles Rd,620,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753611,  59,00610,     ,59-610,Burchs Mill Rd,059,Middlesex County,059,Middlesex County,2.30,59-609 Gayles Rd,59-640 Waterview Road,330,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753612,  59,00611,     ,59-611,H & H Lane,059,Middlesex County,059,Middlesex County,0.30,Dead End,US 17 Tidewater Trail,20,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753613,  59,00612,     ,59-612,Edgehill Rd,059,Middlesex County,059,Middlesex County,2.60,59-603 Farley Park Road,59-602 Wares Bridge Road,250,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753614,  59,00613,     ,59-613,Moss Swamp Rd,059,Middlesex County,059,Middlesex County,0.40,59-603 Farley Park Road,US 17 Tidewater Trail,100,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753615,  59,00614,     ,59-614, ,059,Middlesex County,059,Middlesex County,0.80,"US 17 S, Tidewater Trail",59-618 Oakes Landing Rd,70,R,,,,,,,X,,,,,,05/08/2003,,,,,,,,,,,,,,,
753616,  59,00614,     ,59-614, ,059,Middlesex County,059,Middlesex County,0.50,59-618 Oakes Landing Rd,"US 17 N, Tidewater Trail",70,R,,,,,,,X,,,,,,05/08/2003,,,,,,,,,,,,,,,
753617,  59,00615,     ,59-615,Braxton Corr Rd,059,Middlesex County,059,Middlesex County,0.55,Dead End,US 17 Tidewater Trail,80,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753618,  59,00615,     ,59-615, ,059,Middlesex County,059,Middlesex County,1.80,US 17 Tidewater Trail,59-616 Town Bridge Road,140,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
405406,  59,00615,     ,59-615,Town Bridge Rd,059,Middlesex County,059,Middlesex County,0.99,59-616 Town Bridge Road,"59-602 W, Old Virginia Street",1400,G,96%,1%,2%,0%,1%,0%,C,0.1106,F,0.5455,1400,G,2008,,,,,,,,,,,,,,,
753619,  59,00615,     ,59-615,Lord Mott Rd,059,Middlesex County,059,Middlesex County,1.00,"59-602 E, Old Virginia Street",Dead End,470,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
405407,  59,00616,     ,59-616,Town Bridge Rd,059,Middlesex County,059,Middlesex County,1.42,59-615 Town Bridge Road; Zion Branch Rd,US 17 Tidewater Trail,1300,G,96%,1%,2%,0%,1%,0%,C,0.1085,F,0.5600,1300,G,2008,,,,,,,,,,,,,,,
753620,  59,00617,     ,59-617,Watson Landing,059,Middlesex County,059,Middlesex County,0.17,Bus US 17,59-698 Legion Rd,210,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753621,  59,00617,     ,59-617,Waatson Landing,059,Middlesex County,059,Middlesex County,0.53,59-698 Legion Rd,Dead End,40,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753622,  59,00618,     ,59-618,Oakes Landing Rd,059,Middlesex County,059,Middlesex County,4.22,59-614,"US 17 S, Tidewater Trail",90,R,,,,,,,X,,,,,,05/08/2003,,,,,,,,,,,,,,,
753623,  59,00618,     ,59-618,Oakes Landing Rd,059,Middlesex County,059,Middlesex County,0.08,"US 17 N, Tidewater Trail","Bus US 17 , SR 33",210,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753624,  59,00618,     ,59-618,Oakes Landing Rd,059,Middlesex County,059,Middlesex County,0.05,Bus US 17; SR 33,59-674 Bowden St,1300,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753625,  59,00618,     ,59-618,Oakes Landing Rd,059,Middlesex County,059,Middlesex County,1.35,59-674 Bowden St,Dead End,360,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753626,  59,00619,     ,59-619,Healys Rd,059,Middlesex County,059,Middlesex County,0.50,59-629 Stormont Road,59-620,340,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753627,  59,00619,     ,59-619,Healys Rd,059,Middlesex County,059,Middlesex County,1.04,59-620,59-668 Bunkers Lane,370,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753628,  59,00619,     ,59-619,Healys Rd,059,Middlesex County,059,Middlesex County,0.36,59-668 Bunkers Lane,"SR 33 E, Puller Hwy",470,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753629,  59,00619,     ,59-619,Burhans Wharf Rd,059,Middlesex County,059,Middlesex County,0.60,"SR 33 W, Puller Hwy",59-669 Brandon Point Rd,150,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753630,  59,00619,     ,59-619,Burhans Wharf Rd,059,Middlesex County,059,Middlesex County,0.20,59-669 Brandon Point Rd,Dead End,20,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753631,  59,00620,     ,59-620, ,059,Middlesex County,059,Middlesex County,1.20,59-619 Healys Rd,SR 33 Puller Hwy,260,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753632,  59,00620,     ,59-620, ,059,Middlesex County,059,Middlesex County,0.61,SR 33 Puller Hwy,Dead End,130,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753633,  59,00621,     ,59-621, ,059,Middlesex County,059,Middlesex County,0.74,SR 3 Greys Point Rd,Dead End,240,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
405408,  59,00622,     ,59-622,Dirt Bridge Rd,059,Middlesex County,059,Middlesex County,0.77,59-623 Regent Road,SR 3 Greys Point Rd,3500,G,97%,0%,1%,1%,1%,0%,C,0.1005,F,0.6469,3600,G,2008,,,,,,,,,,,,,,,
405409,  59,00623,     ,59-623,Regent Rd,059,Middlesex County,059,Middlesex County,0.49,59-624 Regent Road,59-622 Dirt Bridge Road,3600,G,98%,0%,1%,1%,1%,0%,C,0.0986,F,0.6292,3700,G,2008,,,,,,,,,,,,,,,
753634,  59,00623,     ,59-623, ,059,Middlesex County,059,Middlesex County,0.80,59-622 Dirt Bridge Road,59-661,460,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753635,  59,00623,     ,59-623, ,059,Middlesex County,059,Middlesex County,0.10,59-661,59-704 Regent Point Rd,170,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753636,  59,00623,     ,59-623, ,059,Middlesex County,059,Middlesex County,0.10,59-704 Regent Point Rd,Dead End,49,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
405410,  59,00624,     ,59-624,Regent Rd,059,Middlesex County,059,Middlesex County,1.30,59-626 Wake Rd,59-623 Regent Road,3600,G,97%,1%,1%,1%,1%,0%,C,0.0992,F,0.5822,3700,G,2008,,,,,,,,,,,,,,,
753637,  59,00624,     ,59-624, ,059,Middlesex County,059,Middlesex County,1.20,59-623 Regent Road,SR 3 Greys Point Rd,470,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753638,  59,00625,     ,59-625,Bobs Hole Rd,059,Middlesex County,059,Middlesex County,1.40,SR 3 Puller Hwy,59-624 Regent Road,530,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
405411,  59,00625,     ,59-625,Barricks Mill Rd,059,Middlesex County,059,Middlesex County,3.00,59-624 Regent Road,59-628 Mill Creek Rd,580,G,94%,1%,4%,0%,0%,0%,C,0.1012,F,0.5902,590,G,2008,,,,,,,,,,,,,,,
405412,  59,00626,     ,59-626,Regent Rd; Wake Rd,059,Middlesex County,059,Middlesex County,0.43,SR 3 Puller Hwy,59-624 Regent Road,4200,G,97%,1%,1%,0%,1%,0%,C,0.0983,F,0.5167,4300,G,2008,,,,,,,,,,,,,,,
753639,  59,00626,     ,59-626,Wake Rd,059,Middlesex County,059,Middlesex County,1.10,59-624 Regent Road,"59-625 W, Barricks Mill Rd",740,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753640,  59,00626,     ,59-626,Carlton Rd,059,Middlesex County,059,Middlesex County,1.30,"59-625 E, Barricks Mill Rd",Dead End,420,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753641,  59,00627,     ,59-627,Mill Wharf Rd,059,Middlesex County,059,Middlesex County,1.10,59-625 Barricks Mill Road,Dead End,150,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
405413,  59,00628,     ,59-628,Mill Creek Rd,059,Middlesex County,059,Middlesex County,1.00,SR 33 Puller Hwy,59-625 Barricks Mill Road,1200,G,97%,1%,2%,1%,0%,0%,C,0.1010,F,0.5748,1200,G,2008,,,,,,,,,,,,,,,
753642,  59,00628,     ,59-628,Mill Creek Rd,059,Middlesex County,059,Middlesex County,0.45,59-625 Barricks Mill Road,59-702 Bushy Park Rd,1400,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753643,  59,00628,     ,59-628,Mill Creek Rd,059,Middlesex County,059,Middlesex County,0.85,59-702 Bushy Park Rd,Dead End,240,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
405414,  59,00629,     ,59-629,Stormont Rd,059,Middlesex County,059,Middlesex County,2.50,59-707 Grafton Church Rd,59-619 Healys Rd,1300,G,95%,0%,1%,2%,2%,0%,F,0.0946,F,0.6284,1300,G,2008,,,,,,,,,,,,,,,
405415,  59,00629,     ,59-629,Stormont Rd,059,Middlesex County,059,Middlesex County,4.14,59-619 Healys Rd,SR 33 Puller Hwy,400,G,95%,0%,1%,2%,2%,0%,C,0.1065,F,0.5909,410,G,2008,,,,,,,,,,,,,,,
753644,  59,00630,     ,59-630,Stampers Bay Rd,059,Middlesex County,059,Middlesex County,0.70,Dead End,SR 3 Twiggs Ferry Rd,180,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
405416,  59,00630,     ,59-630,Stampers Bay Rd,059,Middlesex County,059,Middlesex County,1.00,SR 3 Twiggs Ferry Rd,SR 33 Puller Hwy,1600,G,99%,0%,0%,0%,0%,0%,C,0.0883,F,0.5063,1600,G,2008,,,,,,,,,,,,,,,
753645,  59,00631,     ,59-631,North End Rd,059,Middlesex County,059,Middlesex County,0.77,SR 33 Puller Hwy,59-716,870,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753646,  59,00631,     ,59-631,North End Rd,059,Middlesex County,059,Middlesex County,0.04,59-716,59-712 Robins Point Ave,550,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753647,  59,00631,     ,59-631,North End Rd,059,Middlesex County,059,Middlesex County,0.59,59-712 Robins Point Ave,59-709,130,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753648,  59,00632,     ,59-632, ,059,Middlesex County,059,Middlesex County,0.90,Dead End,59-633,240,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753649,  59,00633,     ,59-633, ,059,Middlesex County,059,Middlesex County,0.62,Dead End,59-632,320,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753650,  59,00633,     ,59-633, ,059,Middlesex County,059,Middlesex County,0.80,59-632,SR 33 Puller Hwy,540,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753651,  59,00634,     ,59-634,Marsh Pungo Rd,059,Middlesex County,059,Middlesex County,1.00,SR 33 Puller Hwy,Dead End,350,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753652,  59,00635,     ,59-635,Mink Field Rd,059,Middlesex County,059,Middlesex County,0.80,Dead End,59-602 Wares Bridge Road,60,R,,,,,,,X,,,,,,05/04/2006,,,,,,,,,,,,,,,
405417,  59,00636,     ,59-636,Timberneck Rd,059,Middlesex County,059,Middlesex County,1.26,SR 33 Puller Hwy,Dead End,740,G,97%,0%,2%,0%,0%,0%,C,0.1067,F,0.5513,750,G,2008,,,,,,,,,,,,,,,
753653,  59,00637,     ,59-637, ,059,Middlesex County,059,Middlesex County,1.25,59-602 Old Virginia Street,59-656 Burch Rd,560,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753654,  59,00637,     ,59-637, ,059,Middlesex County,059,Middlesex County,0.10,59-656 Burch Rd,Dead End,60,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753655,  59,00638,     ,59-638,Christchurch Dr,059,Middlesex County,059,Middlesex County,0.30,"SR 33 W, Puller Hwy","SR 33 E, Puller Hwy",50,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753656,  59,00639,     ,59-639, ,059,Middlesex County,059,Middlesex County,0.30,SR 33 Puller Hwy,59-713,600,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753657,  59,00639,     ,59-639, ,059,Middlesex County,059,Middlesex County,0.39,59-713,Dead End,200,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
405418,  59,00640,     ,59-640,Waterview Rd,059,Middlesex County,059,Middlesex County,2.30,US 17 Tidewater Trail,59-679 Rocks Dr,850,G,95%,1%,1%,1%,3%,0%,C,0.1198,F,0.5283,870,G,2008,,,,,,,,,,,,,,,
405419,  59,00640,     ,59-640,Waterview Rd,059,Middlesex County,059,Middlesex County,2.45,59-679 Rocks Dr,59-651 Smokey Point Rd,540,G,95%,1%,1%,1%,3%,0%,F,0.1141,F,0.6212,550,G,2008,,,,,,,,,,,,,,,
753658,  59,00640,     ,59-640, ,059,Middlesex County,059,Middlesex County,0.20,59-651 Smokey Point Rd,59-682 Parrotts Creek Lane,280,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753659,  59,00640,     ,59-640, ,059,Middlesex County,059,Middlesex County,0.35,59-682 Parrotts Creek Lane,Dead End,20,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753660,  59,00641,     ,59-641, ,059,Middlesex County,059,Middlesex County,0.80,Dead End,"59-629 E, Stormont Road",130,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753661,  59,00641,     ,59-641, ,059,Middlesex County,059,Middlesex County,0.44,"59-629 W, Stormont Road",SR 33; SR 227,380,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753662,  59,00642,     ,59-642,Briery Swamp Rd,059,Middlesex County,059,Middlesex County,0.02,US 17 Tidewater Trail,59-606,210,R,,,,,,,X,,,,,,05/04/2006,,,,,,,,,,,,,,,
753663,  59,00643,     ,59-643, ,059,Middlesex County,059,Middlesex County,0.41,SR 33 Puller Hwy,59-722,280,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753664,  59,00643,     ,59-643, ,059,Middlesex County,059,Middlesex County,0.40,59-722,Dead End,49,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753665,  59,00644,     ,59-644,Sibleys Landing Rd,059,Middlesex County,059,Middlesex County,1.00,Dead End,59-629 Stormont Road,90,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753666,  59,00645,     ,59-645, ,059,Middlesex County,059,Middlesex County,1.57,SR 3 Greys Point Rd,Dead End,240,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753667,  59,00646,     ,59-646,Long Point Lane,059,Middlesex County,059,Middlesex County,0.04,SR 3 Greys Point Rd,59-663; 59-699,640,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
