672331,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,0.88,SR 262 Woodrow Wilson Pkwy,NCL Staunton,17000,G,97%,0%,1%,1%,1%,0%,F,0.0909,F,0.5650,18000,G,2008,,,,,,,,,,,,,,,
672333,C1US,00011,     ,"US 250, Bus US 11",Johnson St,132,City of Staunton,132,City of Staunton,0.18,US 11; Coalter St,New St,11000,G,98%,0%,1%,0%,0%,0%,F,0.0795,F,0.6417,12000,G,2008,,,,,,,,,,,,,,,
672233,C1US,00011,     ,"US 250 Par, Bus US 11",New St,132,City of Staunton,132,City of Staunton,0.17,Johnson St,Frederick St,1600,G,98%,1%,1%,0%,0%,0%,F,0.1143,F,1.0000,1700,G,2008,,7000,G,98%,0%,1%,0%,0%,0%,F,0.0862,F,0.7359,7600,G
672221,C1US,00011,     ,"US 250 Par, Bus US 11",New St,132,City of Staunton,132,City of Staunton,0.36,Frederick St,Churchville Ave,1200,G,98%,1%,1%,0%,0%,0%,C,0.0961,F,1.0000,1300,G,2008,,7100,G,98%,0%,1%,0%,0%,0%,C,0.0920,F,0.5030,7700,G
672225,C1US,00011,     ,"US 250, Bus US 11",Augusta St,132,City of Staunton,132,City of Staunton,0.02,Churchville Ave,Sunnyside St,9300,N,98%,1%,1%,1%,0%,0%,N,0.0847,N,0.6012,10000,N,2008,,,,,,,,,,,,,,,
672212,C1US,00011,     ,Bus US 11,Augusta St,132,City of Staunton,132,City of Staunton,0.41,Churchville Ave,Edgewood Rd,8400,G,98%,0%,1%,0%,0%,0%,F,0.0944,F,0.5046,9100,G,2008,,,,,,,,,,,,,,,
672332,C1US,00011,     ,Bus US 11,Augusta St,132,City of Staunton,132,City of Staunton,0.28,Edgewood Rd,Lambert St,10000,G,98%,0%,1%,0%,0%,0%,F,0.0921,F,0.5063,11000,G,2008,,,,,,,,,,,,,,,
672208,C1US,00011,     ,Bus US 11,Augusta St,132,City of Staunton,132,City of Staunton,1.14,Lambert St,Coalter St,5600,G,98%,0%,1%,0%,0%,0%,C,0.0956,F,0.5018,6100,G,2008,,,,,,,,,,,,,,,
672209,C1US,00011,     ,Bus US 11,Augusta St,132,City of Staunton,132,City of Staunton,0.71,Coalter St,US 11 Commerce Rd,7600,G,98%,0%,1%,0%,0%,0%,F,0.0970,F,0.5515,8300,G,2008,,,,,,,,,,,,,,,
080596,  US,00250,     ,US 250,Churchville Ave,132,City of Staunton,132,City of Staunton,0.04,WCL Staunton,SR 262 Woodrow Wilson Pkwy,7400,N,97%,1%,1%,1%,1%,0%,N,0.0909,N,0.6986,7800,N,2008,,,,,,,,,,,,,,,
672224,  US,00250,     ,US 250,Churchville Ave,132,City of Staunton,132,City of Staunton,0.79,SR 262 Woodrow Wilson Pkwy,Englewood Dr Near Hevener St,5000,G,97%,1%,1%,0%,0%,0%,F,0.0940,F,0.5523,5500,G,2008,,,,,,,,,,,,,,,
672201,  US,00250,     ,US 250,Churchville Ave,132,City of Staunton,132,City of Staunton,0.40,Englewood Dr Near Hevener St,Grubert Ave,8500,G,97%,1%,1%,0%,0%,0%,C,0.0917,F,0.5516,9200,G,2008,,,,,,,,,,,,,,,
672203,  US,00250,     ,US 250,Churchville Ave,132,City of Staunton,132,City of Staunton,0.99,Grubert Ave,Thornrose Ave,9100,G,97%,1%,1%,0%,0%,0%,F,0.0883,F,0.5233,9900,G,2008,,,,,,,,,,,,,,,
672213,  US,00250,     ,US 250,Churchville Ave,132,City of Staunton,132,City of Staunton,0.32,Thornrose Ave,Augusta St,9300,G,98%,1%,1%,1%,0%,0%,C,0.0847,F,0.6012,10000,G,2008,,,,,,,,,,,,,,,
672225,  US,00250,     ,"US 250, Bus US 11",Augusta St,132,City of Staunton,132,City of Staunton,0.02,Churchville Ave,US 250 Par New St; Sunnyside St,9300,N,98%,1%,1%,1%,0%,0%,N,0.0847,N,0.6012,10000,N,2008,,,,,,,,,,,,,,,
672220,  US,00250,     ,"US 250, Bus US 11",Augusta St,132,City of Staunton,132,City of Staunton,0.43,US 250 Par; Sunnyside St,SR 254 Beverly St,5800,G,98%,0%,1%,0%,0%,0%,C,0.0933,F,0.6022,6300,G,2008,,7100,G,98%,0%,1%,0%,0%,0%,C,0.0920,F,0.5030,7700,G
672232,  US,00250,     ,"US 250, Bus US 11",Augusta St,132,City of Staunton,132,City of Staunton,0.07,SR 254 Beverly St,Johnson St,5400,G,98%,0%,1%,0%,0%,0%,F,0.0842,F,0.6265,5900,G,2008,,7000,G,98%,0%,1%,0%,0%,0%,F,0.0862,F,0.7359,7600,G
672235,  US,00250,     ,US 250,Johnson St,132,City of Staunton,132,City of Staunton,0.06,Augusta St,"US 250 Par, New St",5400,N,98%,0%,1%,0%,0%,0%,N,0.0842,N,0.6265,5900,N,2008,,,,,,,,,,,,,,,
672333,  US,00250,     ,"US 250, Bus US 11",Johnson St,132,City of Staunton,132,City of Staunton,0.18,1US 250 P New St,"US 11, SR 254",11000,G,98%,0%,1%,0%,0%,0%,F,0.0795,F,0.6417,12000,G,2008,,,,,,,,,,,,,,,
672237,  US,00250,     ,"US 11, US 250",Greenville Ave,132,City of Staunton,132,City of Staunton,0.07,"US 11, SR 254 NEW ST",US 11 GREENVILLE AVE,17000,G,98%,0%,1%,0%,0%,0%,F,0.0837,F,0.5309,18000,G,2008,,,,,,,,,,,,,,,
672236,  US,00250,     ,US 250,Richmond Rd,132,City of Staunton,132,City of Staunton,0.75,US 11 Greenville Ave,Statler Blvd,11000,G,96%,0%,1%,1%,1%,0%,F,0.0850,F,0.5120,12000,G,2008,,,,,,,,,,,,,,,
672256,  US,00250,     ,US 250,Richmond Rd,132,City of Staunton,132,City of Staunton,0.96,Statler Blvd,Frontier Dr,24000,G,96%,0%,1%,1%,1%,0%,F,0.0862,F,0.5144,26000,G,2008,,,,,,,,,,,,,,,
672257,  US,00250,     ,US 250,Richmond Rd,132,City of Staunton,132,City of Staunton,0.44,Frontier Rd,ECL Staunton,27000,G,96%,0%,1%,1%,1%,0%,C,0.0860,F,0.5162,29000,G,2008,,,,,,,,,,,,,,,
672221, 1US,00250,P    ,"US 250 Par, Bus US 11",New St,132,City of Staunton,132,City of Staunton,0.36,Churchville Ave,Frederick St,1200,G,98%,1%,1%,0%,0%,0%,C,0.0961,F,1.0000,1300,G,2008,,7100,G,98%,0%,1%,0%,0%,0%,C,0.0920,F,0.5030,7700,G
672233, 1US,00250,P    ,"US 250 Par, Bus US 11",New St,132,City of Staunton,132,City of Staunton,0.17,Frederick St,Johnson St,1600,G,98%,1%,1%,0%,0%,0%,F,0.1143,F,1.0000,1700,G,2008,,7000,G,98%,0%,1%,0%,0%,0%,F,0.0862,F,0.7359,7600,G
672254,  SR,00252,     ,VA 252,Middlebrook Ave,132,City of Staunton,132,City of Staunton,1.08,SCL Staunton,Bridge St,3400,G,97%,0%,1%,1%,1%,0%,C,0.1135,F,0.6124,3600,G,2008,,,,,,,,,,,,,,,
672242,  SR,00252,     ,VA 252,Middlebrook Ave,132,City of Staunton,132,City of Staunton,0.60,Bridge St,Lewis Street,3200,G,97%,0%,1%,1%,1%,0%,F,0.1050,F,0.5796,3500,G,2008,,,,,,,,,,,,,,,
672229,  SR,00252,     ,"VA 254, VA 252",Beverly St,132,City of Staunton,132,City of Staunton,0.11,Lewis St,US 250 Augusta St; Johnson St,3800,G,98%,0%,1%,0%,0%,0%,F,0.0860,F,1.0000,4200,G,2008,,8600,G,98%,0%,1%,0%,0%,0%,F,0.0894,F,0.5990,9300,G
672215,  SR,00254,     ,VA 254,Beverly St,132,City of Staunton,132,City of Staunton,0.97,SR 262,Grubert St,8700,G,98%,0%,1%,0%,0%,0%,C,0.0938,F,0.5419,9400,G,2008,,,,,,,,,,,,,,,
672216,  SR,00254,     ,VA 254,Beverly St,132,City of Staunton,132,City of Staunton,0.69,Grubert St,Thornrose Ave,9600,G,98%,0%,1%,0%,0%,0%,F,0.0919,F,0.5653,10000,G,2008,,,,,,,,,,,,,,,
672217,  SR,00254,     ,VA 254,Beverly St,132,City of Staunton,132,City of Staunton,0.25,Thornrose Ave,Frederick St,7600,G,98%,0%,1%,0%,0%,0%,F,0.0855,F,0.6302,8300,G,2008,,,,,,,,,,,,,,,
672226,  SR,00254,     ,VA 254,Beverly St,132,City of Staunton,132,City of Staunton,0.25,Frederick St,SR 254 P Jefferson St,6400,G,98%,0%,1%,0%,0%,0%,F,0.0833,F,0.6737,6900,G,2008,,,,,,,,,,,,,,,
672228,  SR,00254,     ,VA 254,Beverly St,132,City of Staunton,132,City of Staunton,0.23,SR 254 P Jefferson St,Lewis St,4000,G,98%,0%,1%,0%,0%,0%,F,0.0937,F,1.0000,4300,G,2008,,7400,G,98%,0%,1%,0%,0%,0%,F,0.0922,F,0.5841,8000,G
672229,  SR,00254,     ,"VA 254, VA 252",Beverly St,132,City of Staunton,132,City of Staunton,0.11,Lewis St,US 250 Augusta St,3800,G,98%,0%,1%,0%,0%,0%,F,0.0860,F,1.0000,4200,G,2008,,8600,G,98%,0%,1%,0%,0%,0%,F,0.0894,F,0.5990,9300,G
672230,  SR,00254,     ,VA 254,Beverly St,132,City of Staunton,132,City of Staunton,0.06,US 250 Augusta St,New St,3800,N,98%,0%,1%,0%,0%,0%,N,0.0860,N,1.0000,4200,N,2008,,7300,N,98%,0%,1%,0%,0%,0%,N,,,,7900,N
672223,  SR,00254,     ,VA 254,Beverly St,132,City of Staunton,132,City of Staunton,0.16,New St,Coalter St,3000,G,98%,0%,1%,0%,0%,0%,F,0.0898,F,1.0000,3200,G,2008,,6400,G,98%,0%,1%,0%,0%,0%,F,,,,7000,G
672234,  SR,00254,     ,VA 254,Coalter St,132,City of Staunton,132,City of Staunton,0.16,"SR 254 P, Frederick St","US 11, US 250 Commerce St",6600,G,98%,0%,1%,0%,0%,0%,F,0.0974,F,0.6444,7100,G,2008,,,,,,,,,,,,,,,
672238,  SR,00254,     ,"US 11, VA 254",Commerce Rd,132,City of Staunton,132,City of Staunton,0.68,US 11 US 250 Commerce St,US 11 Commerce Rd,2900,G,97%,1%,1%,1%,1%,0%,C,0.0927,F,0.5839,3100,G,2008,,,,,,,,,,,,,,,
672259,  SR,00254,     ,VA 254,New Hope Rd,132,City of Staunton,132,City of Staunton,2.45,US 11 Commerce Rd,ECL Staunton,1200,G,99%,0%,1%,0%,0%,0%,C,0.1228,F,0.5287,1300,G,2008,,,,,,,,,,,,,,,
672340, 1SR,00254,P    ,VA 254 Par,Jefferson St,132,City of Staunton,132,City of Staunton,0.07,SR 254 Beverly St,W Frederick St,1800,G,97%,0%,2%,0%,0%,0%,C,0.1228,F,0.8664,1900,G,2008,,,,,,,,,,,,,,,
672339, 1SR,00254,P    ,VA 254 Par,Frederick St,132,City of Staunton,132,City of Staunton,0.28,Jefferson St,Central St,3400,G,98%,0%,1%,0%,0%,0%,C,0.1173,F,1.0000,3700,G,2008,,7400,G,98%,0%,1%,0%,0%,0%,F,0.0922,F,0.5841,8000,G
672334, 1SR,00254,P    ,"VA 254 Par, VA 252",Frederick St,132,City of Staunton,132,City of Staunton,0.11,Central St,"US 250, Bus US 11 Par, Augusta Ave",4700,G,98%,0%,1%,0%,0%,0%,F,0.1048,F,1.0000,5100,G,2008,,8600,G,98%,0%,1%,0%,0%,0%,F,0.0894,F,0.5990,9300,G
672245, 1SR,00254,P    ,VA 254 Par,Frederick St,132,City of Staunton,132,City of Staunton,0.17,"US 250, Bus US 11 Par, Augusta Ave",Coalter St,3400,G,98%,0%,1%,0%,0%,0%,F,0.0930,F,1.0000,3700,G,2008,,6400,G,98%,0%,1%,0%,0%,0%,F,,,,7000,G
672246, 1SR,00254,P    ,VA 254 Par,Coalter St,132,City of Staunton,132,City of Staunton,0.07,E Frederick St,"SR 254, E Beverly St",6200,G,98%,0%,1%,0%,0%,0%,F,0.0990,F,0.7665,6700,G,2008,,,,,,,,,,,,,,,
672247,  SR,00261,     ,VA 261,Statler Blvd,132,City of Staunton,132,City of Staunton,0.84,Old Greenville Rd,Richmond Rd,10000,G,98%,0%,1%,1%,0%,0%,C,0.0966,F,0.5386,11000,G,2008,,,,,,,,,,,,,,,
672327,  SR,00261,     ,VA 261,Statler Blvd,132,City of Staunton,132,City of Staunton,0.78,Richmond Rd,New Hope Rd,14000,G,97%,0%,1%,1%,1%,0%,C,0.0898,F,0.5293,16000,G,2008,,,,,,,,,,,,,,,
672328,  SR,00261,     ,VA 261,Statler Blvd,132,City of Staunton,132,City of Staunton,0.14,New Hope Rd,Commerce Rd,15000,G,97%,0%,1%,1%,1%,0%,F,0.0908,F,0.5125,16000,G,2008,,,,,,,,,,,,,,,
672300,  SR,00261,     ,VA 261,Statler Blvd,132,City of Staunton,132,City of Staunton,0.25,Commerce Rd,Beverly St,12000,G,97%,0%,1%,1%,1%,0%,F,0.0910,F,0.5487,13000,G,2008,,,,,,,,,,,,,,,
672301,  SR,00261,     ,VA 261,Statler Blvd,132,City of Staunton,132,City of Staunton,0.20,Beverly St,Coalter St,11000,G,97%,0%,1%,1%,1%,0%,F,0.0900,F,0.5602,12000,G,2008,,,,,,,,,,,,,,,
080641,  SR,00262,     ,VA 262, ,132,City of Staunton,007,Augusta County,0.58,WCL Staunton,US 250 Churchville Ave,6900,G,95%,1%,1%,2%,2%,0%,F,0.0992,F,0.5557,7500,G,2008,,,,,,,,,,,,,,,
080637,  SR,00262,     ,VA 262, ,132,City of Staunton,007,Augusta County,2.22,US 250 Churchville Ave,07-613 Spring Hill Rd,8700,G,95%,0%,1%,2%,1%,0%,C,0.0945,F,0.6895,9500,G,2008,,,,,,,,,,,,,,,
672351,  SR,00262,     ,VA 262, ,132,City of Staunton,007,Augusta County,1.74,07-613 Spring Hill Rd,US 11 Commerce Rd,11000,G,96%,0%,1%,1%,1%,0%,C,0.0947,F,0.7024,11000,G,2008,,,,,,,,,,,,,,,
672329,  SR,00262,     ,VA 262,Woodrow Wilson Pkwy,132,City of Staunton,007,Augusta County,1.34,US 11 Commerce Rd,ECL Staunton,13000,G,96%,0%,1%,1%,1%,0%,F,0.1011,F,0.5152,14000,G,2008,,,,,,,,,,,,,,,
788180,  FR,01058,     ,FR 1058,Seth Dr,132,City of Staunton,007,Augusta County,0.07,Dead End,Connector to SR 252,90,R,,,,,,,X,,,,,,06/21/2007,,,,,,,,,,,,,,,
795456,  FR,01058,     ,FR 1058,Seth Dr,132,City of Staunton,007,Augusta County,0.19,Connector to SR 252,Dead End,90,N,,,,,,,X,,,,0,N,06/21/2007,,,,,,,,,,,,,,,
672338, 132,00001,     ,132-1,Englewood Dr,132,City of Staunton,132,City of Staunton,0.34,Churchville Ave,Schutterlee Mill Rd,2600,G,97%,1%,1%,0%,0%,0%,C,0.1254,F,0.5172,2800,G,2008,,,,,,,,,,,,,,,
672241, 132,04900,     ,132-4900,Hampton St,132,City of Staunton,132,City of Staunton,0.28,Middlebrook Ave,Greenville Ave,8000,G,98%,1%,1%,0%,0%,0%,F,0.0835,F,0.5037,8600,G,2008,,,,,,,,,,,,,,,
672335, 132,04901,     ,132-4901,Barterbrook Rd,132,City of Staunton,132,City of Staunton,0.17,SCL Staunton,Greenville Ave,2900,G,98%,1%,1%,0%,0%,0%,C,0.0975,F,0.5729,3100,G,2008,,,,,,,,,,,,,,,
672262, 132,04902,     ,132-4902,Buttermilk Spring Rd,132,City of Staunton,132,City of Staunton,1.00,WCL Staunton,Pierce St,390,G,98%,1%,1%,0%,0%,0%,C,0.1266,F,0.5833,420,G,2008,,,,,,,,,,,,,,,
781783, 132,04902,     ,132-4902,Straith St,132,City of Staunton,132,City of Staunton,0.30,Pierce St,SR 254 Beverly St,1100,G,98%,1%,1%,0%,0%,0%,F,0.1081,F,0.5316,1100,G,2008,,,,,,,,,,,,,,,
672222, 132,04903,     ,132-4903,Coalter St,132,City of Staunton,132,City of Staunton,0.54,Frederick St,Edgewood Rd,4300,G,98%,0%,1%,0%,0%,0%,F,0.0920,F,0.5646,4700,G,2008,,,,,,,,,,,,,,,
672210, 132,04903,     ,132-4903,Coalter St,132,City of Staunton,132,City of Staunton,1.31,Edgewood Rd,Augusta St,3600,G,98%,0%,1%,0%,0%,0%,C,0.0984,F,0.5129,3900,G,2008,,,,,,,,,,,,,,,
672218, 132,04905,     ,132-4905,Lewis St,132,City of Staunton,132,City of Staunton,0.48,Beverly St,Churchville Ave,3700,G,98%,1%,1%,0%,0%,0%,C,0.0981,F,0.6423,4000,G,2008,,,,,,,,,,,,,,,
672243, 132,04909,     ,132-4909,Bridge St,132,City of Staunton,132,City of Staunton,0.19,Middlebrook Ave,Stuart St,6600,G,97%,1%,1%,1%,0%,0%,C,0.0932,F,0.5430,7100,G,2008,,,,,,,,,,,,,,,
781784, 132,04909,     ,132-4909,Green St; Fayette St,132,City of Staunton,132,City of Staunton,0.27,Stuart St,SR 254 W Beverly St,2400,G,97%,1%,1%,1%,0%,0%,F,0.0930,F,0.5373,2600,G,2008,,,,,,,,,,,,,,,
672219, 132,04913,     ,132-4913,N Central St,132,City of Staunton,132,City of Staunton,0.38,Beverly St,Churchville Ave,4300,G,98%,1%,1%,0%,0%,0%,C,0.0952,F,0.6344,4700,G,2008,,,,,,,,,,,,,,,
672349, 132,04915,     ,132-4915,Thornrose Ave,132,City of Staunton,132,City of Staunton,0.31,Beverly St,Circle Ave,2000,G,98%,1%,1%,0%,0%,0%,C,0.0973,F,0.5545,2200,G,2008,,,,,,,,,,,,,,,
672783, 132,04915,     ,132-4915,Thornrose Ave,132,City of Staunton,132,City of Staunton,0.42,Circle Ave,Churchville Ave,4800,G,98%,1%,1%,0%,0%,0%,F,0.0997,F,0.5154,5300,G,2008,,,,,,,,,,,,,,,
672202, 132,04919,     ,132-4919,Grubert Ave,132,City of Staunton,132,City of Staunton,0.99,Beverly St,Churchville Ave,5400,G,97%,1%,1%,0%,0%,0%,C,0.0930,F,0.5174,5900,G,2008,,,,,,,,,,,,,,,
672250, 132,04921,     ,132-4921,Morris Mill Rd,132,City of Staunton,132,City of Staunton,0.88,WCL Staunton,Beverly St,2600,G,99%,0%,0%,0%,0%,0%,C,0.0948,F,0.6328,2900,G,2008,,,,,,,,,,,,,,,
672207, 132,04925,     ,132-4925,Lambert St,132,City of Staunton,132,City of Staunton,0.44,Augusta St,Donaghe St,7400,G,99%,1%,0%,0%,0%,0%,C,0.0957,F,0.7337,8100,G,2008,,,,,,,,,,,,,,,
672204, 132,04927,     ,132-4927,Spring Hill Rd,132,City of Staunton,132,City of Staunton,0.76,Churchville Ave,Donaghe St,3200,G,99%,0%,1%,0%,0%,0%,F,0.1034,F,0.5038,3400,G,2008,,,,,,,,,,,,,,,
672345, 132,04927,     ,132-4927,Springhill Rd,132,City of Staunton,132,City of Staunton,1.45,Donaghe St,NCL Staunton,3100,G,99%,0%,1%,0%,0%,0%,C,0.1016,F,0.6012,3400,G,2008,,,,,,,,,,,,,,,
672341, 132,04929,     ,132-4929,Mt View Dr,132,City of Staunton,132,City of Staunton,0.39,Commerce Rd,Coalter St,570,G,99%,1%,0%,0%,0%,0%,C,0.1166,F,0.5652,620,G,2008,,,,,,,,,,,,,,,
672782, 132,04931,     ,132-4931,Shutterlee Mill Rd,132,City of Staunton,132,City of Staunton,0.95,Englewood Dr,NCL Staunton,1600,G,99%,0%,1%,0%,0%,0%,C,0.0996,F,0.5588,1800,G,2008,,,,,,,,,,,,,,,
672343, 132,04932,     ,132-4932,Pierce St,132,City of Staunton,132,City of Staunton,0.20,Straith St,Hays Ave,1100,G,99%,0%,1%,0%,0%,0%,C,0.1015,F,0.5714,1200,G,2008,,,,,,,,,,,,,,,
672342, 132,04933,     ,132-4933,Peck St,132,City of Staunton,132,City of Staunton,0.17,Montgomery Ave,Austin Ave,4000,G,99%,0%,1%,0%,0%,0%,F,0.1045,F,0.5894,4300,G,2008,,,,,,,,,,,,,,,
781787, 132,04933,     ,132-4933,Chysler St/Hays Ave,132,City of Staunton,132,City of Staunton,0.36,Austin Ave,SR 254 Beverly St,3800,G,99%,0%,1%,0%,0%,0%,F,0.1064,F,0.6024,4100,G,2008,,,,,,,,,,,,,,,
672336, 132,04935,     ,132-4935,Stuart St,132,City of Staunton,132,City of Staunton,0.57,Montgomery Ave,Bridge St,5200,G,99%,0%,1%,0%,0%,0%,F,0.1035,F,0.6126,5600,G,2008,,,,,,,,,,,,,,,
672227, 132,04937,     ,132-4937,Johnson St,132,City of Staunton,132,City of Staunton,0.23,Jefferson St,Lewis St,2300,G,99%,0%,0%,0%,0%,0%,C,0.1004,F,0.7468,2500,G,2008,,,,,,,,,,,,,,,
672231, 132,04937,     ,132-4937,Johnson St,132,City of Staunton,132,City of Staunton,0.11,Lewis St,Augusta St,5800,G,98%,0%,1%,0%,0%,0%,C,0.0925,F,0.5694,6300,G,2008,,,,,,,,,,,,,,,
672344, 132,04938,     ,132-4938,Prospect St,132,City of Staunton,132,City of Staunton,0.53,Augusta St,N Coalter St,910,G,99%,0%,1%,0%,0%,0%,C,0.1119,F,0.5300,990,G,2008,,,,,,,,,,,,,,,
672206, 132,04940,     ,132-4940,Donaghe St,132,City of Staunton,132,City of Staunton,0.37,Churchville Ave,Lambert St,4800,G,99%,0%,1%,0%,0%,0%,F,0.1035,F,0.6024,5200,G,2008,,,,,,,,,,,,,,,
672205, 132,04940,     ,132-4940,Donaghe St,132,City of Staunton,132,City of Staunton,0.47,Lambert St,Spring Hill Rd,2800,G,99%,0%,1%,0%,0%,0%,C,0.1070,F,0.5828,3000,G,2008,,,,,,,,,,,,,,,
672330, 132,04942,     ,132-4942,Old Greenville Rd,132,City of Staunton,132,City of Staunton,0.47,SCL Staunton,US 11 Greenville Ave,2800,G,,,,,,,X,0.1093,F,0.5552,3000,G,2008,,,,,,,,,,,,,,,
672255, 132,04944,     ,132-4944,Frontier Dr,132,City of Staunton,132,City of Staunton,1.00,SCL Staunton,Richmond Rd,9500,G,99%,0%,1%,0%,0%,0%,C,0.0878,F,0.5458,10000,G,2008,,,,,,,,,,,,,,,
572004, 132,00000,     ,132-0,Archer St,132,City of Staunton,132,City of Staunton,0.00,Tuxedo St,Devon Rd,1000,G,,,,,,,X,0.1265,F,0.0000,1100,G,2008,,,,,,,,,,,,,,,
572008, 132,00000,     ,132-0,Berry St,132,City of Staunton,132,City of Staunton,0.00,Gypsy Ave,Parkview Ave,80,G,,,,,,,X,0.2129,F,0.5455,80,G,2008,,,,,,,,,,,,,,,
572011, 132,00000,     ,132-0,Blue Ridge Dr,132,City of Staunton,132,City of Staunton,0.00,East Beverly St,1st Lammermoor Dr Intersection,260,G,,,,,,,X,0.1371,F,0.0000,280,G,2008,,,,,,,,,,,,,,,
572005, 132,00000,     ,132-0,College Circle,132,City of Staunton,132,City of Staunton,0.00,US 11 Augusta St,Oak Lane,1100,G,,,,,,,X,0.1003,F,0.6549,1200,G,2008,,,,,,,,,,,,,,,
572010, 132,00000,     ,132-0,Frasier Ln,132,City of Staunton,132,City of Staunton,0.00,Sproul Lane,College Circle,110,G,,,,,,,X,0.1300,F,0.5862,120,G,2008,,,,,,,,,,,,,,,
572009, 132,00000,     ,132-0,Peyton St,132,City of Staunton,132,City of Staunton,0.00,West Beverly St,Second St,330,G,,,,,,,X,0.1364,F,0.5376,350,G,2008,,,,,,,,,,,,,,,
572006, 132,00000,     ,132-0,Rockway St,132,City of Staunton,132,City of Staunton,0.00,Lambert St,Donaghe St,60,G,,,,,,,X,0.1368,F,0.6250,60,G,2008,,,,,,,,,,,,,,,
572007, 132,00000,     ,132-0,Spruce St,132,City of Staunton,132,City of Staunton,0.00,Lyle Avenue,Spring Hill Rd,790,G,,,,,,,X,0.1083,F,0.0000,790,G,2008,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
