110068,  US,00052,     ,"US 52, VA 42",South Scenic Hwy,010,Bland County,010,Bland County,0.91,I-77 West of Bland C.H.,SR 42 Bland C.H.,4700,G,96%,1%,2%,0%,1%,0%,F,0.0966,F,0.5010,4800,G,2008,,,,,,,,,,,,,,,
010194,  US,00052,     ,US 52,North Scenic Hwy,010,Bland County,010,Bland County,4.58,SR 42 Bland C.H.,10-615 S Angels Pass,1100,G,96%,1%,2%,0%,1%,0%,F,0.1045,F,0.5226,1100,G,2008,,,,,,,,,,,,,,,
010041,  US,00052,     ,US 52,North Scenic Hwy,010,Bland County,010,Bland County,2.05,10-615 S Angles Pass,10-666 Indian Village Trail,1700,G,96%,1%,2%,0%,1%,0%,C,0.1071,F,0.6458,1700,G,2008,,,,,,,,,,,,,,,
010039,  US,00052,     ,US 52,North Scenic Hwy,010,Bland County,010,Bland County,6.14,10-666 Indian Village Trail,SR 61 Clear Fork Creek Hwy,410,G,96%,1%,1%,1%,1%,0%,C,0.1174,F,0.5400,430,G,2008,,,,,,,,,,,,,,,
010042,  US,00052,     ,"US 52, VA 61", ,010,Bland County,010,Bland County,0.06,SR 61 Wolf Creek Hwy,I-77 West of Rocky Gap,410,N,96%,1%,1%,1%,1%,0%,N,0.1174,N,0.5400,430,N,2008,,,,,,,,,,,,,,,
010047,  US,00052,     ,"US 52, VA 61",Clear Fork Creek Hwy,010,Bland County,010,Bland County,0.40,I-77 West of Rocky Gap,SR 61 N Rocky Gap,2600,G,96%,1%,1%,1%,1%,0%,C,0.1188,F,0.5048,2600,G,2008,,,,,,,,,,,,,,,
010038,  US,00052,     ,US 52,North Scenic Hwy,010,Bland County,010,Bland County,2.19,SR 61 Wolf Creek Hwy,I-77,940,G,95%,1%,1%,2%,2%,0%,C,0.1135,F,0.5943,970,G,2008,,,,,,,,,,,,,,,
010533,  US,00052,     ,"I-77 NB, US 52", ,010,Bland County,010,Bland County,0.70,US 11,I-77,13000,G,77%,1%,1%,1%,20%,2%,F,0.0794,F,1.0000,11000,G,2008,,27000,G,78%,1%,1%,1%,19%,1%,F,0.0758,F,0.5395,23000,G
010049,  SR,00061,     ,VA 61,Clear Fork Creek Hwy,010,Bland County,010,Bland County,10.53,Tazewell County Line,US 52 West of Rocky Gap,540,G,98%,0%,1%,1%,1%,0%,F,0.1004,F,0.5273,560,G,2008,,,,,,,,,,,,,,,
010047,  SR,00061,     ,"US 52, VA 61",Clear Fork Creek Hwy,010,Bland County,010,Bland County,0.40,US 52 West of Rocky Gap,I-77 West of Rocky Gap,2600,G,96%,1%,1%,1%,1%,0%,C,0.1188,F,0.5048,2600,G,2008,,,,,,,,,,,,,,,
010042,  SR,00061,     ,"US 52, VA 61", ,010,Bland County,010,Bland County,0.06,I-77 West of Rocky Gap,US 52 Rocky Gap,410,N,96%,1%,1%,1%,1%,0%,N,0.1174,N,0.5400,430,N,2008,,,,,,,,,,,,,,,
010045,  SR,00061,     ,VA 61,Wolf Creek Hwy,010,Bland County,010,Bland County,7.42,US 52 N Scenic Hwy,Giles County Line,400,G,94%,1%,1%,2%,2%,0%,C,0.1049,F,0.5116,410,G,2008,,,,,,,,,,,,,,,
910442,  IS,00077,N    ,I-77 NB, ,010,Bland County,010,Bland County,0.69,Wythe County Line,10-717,13000,G,77%,1%,1%,1%,20%,2%,F,0.0801,F,1.0000,11000,G,2008,,26000,G,78%,1%,1%,1%,19%,1%,F,,,,23000,G
010198,  IS,00077,N    ,I-77 NB, ,010,Bland County,010,Bland County,5.45,10-717,"US 52, SR 42",13000,G,77%,1%,1%,1%,20%,2%,F,0.0808,F,1.0000,11000,G,2008,,26000,G,78%,1%,1%,1%,19%,1%,F,0.0766,F,0.5393,22000,G
010200,  IS,00077,N    ,I-77 NB, ,010,Bland County,010,Bland County,6.11,"US 52, SR 42",10-666,12000,G,77%,1%,1%,1%,20%,2%,F,0.1063,F,1.0000,11000,G,2008,,25000,G,78%,1%,1%,1%,19%,1%,F,,,,22000,G
010201,  IS,00077,N    ,I-77 NB, ,010,Bland County,010,Bland County,3.94,10-666,10-606,12000,G,77%,1%,1%,1%,20%,2%,F,0.0812,F,1.0000,11000,G,2008,,23000,G,78%,1%,1%,1%,19%,1%,F,0.0774,F,0.5594,20000,G
010477,  IS,00077,N    ,I-77 NB, ,010,Bland County,010,Bland County,1.97,10-606,"US 52, SR 61",14000,G,77%,1%,1%,1%,20%,2%,F,0.0860,F,1.0000,13000,G,2008,,27000,G,78%,1%,1%,1%,19%,1%,F,,,,24000,G
010148,  IS,00077,N    ,I-77 NB, ,010,Bland County,010,Bland County,2.33,"US 52, SR 61",US 52,13000,A,77%,1%,1%,1%,20%,2%,C,0.1553,A,1.0000,11000,A,2008,,26000,F,78%,1%,1%,1%,19%,1%,C,0.1229,B,0.0000,23000,F
010533,  IS,00077,N    ,"I-77 NB, US 52", ,010,Bland County,010,Bland County,0.70,US 52,West Virginia State Line,13000,G,77%,1%,1%,1%,20%,2%,F,0.0794,F,1.0000,11000,G,2008,,27000,G,78%,1%,1%,1%,19%,1%,F,0.0758,F,0.5395,23000,G
010545,  IS,00077,N    ,I-77 NB, ,WV ,West Virginia,010,Bland County,0.50,West Virginia State Line,"End of Tunnel, West Virginia",13000,G,77%,1%,1%,1%,20%,2%,F,0.0794,F,1.0000,11000,G,2008,,27000,G,78%,1%,1%,1%,19%,1%,F,,,,23000,G
810040,  IS,00077,S    ,I-77 SB, ,010,Bland County,010,Bland County,0.87,Wythe County Line,10-717,13000,G,79%,1%,1%,0%,18%,1%,F,0.0870,F,1.0000,12000,G,2008,,26000,G,78%,1%,1%,1%,19%,1%,F,,,,23000,G
110039,  IS,00077,S    ,I-77 SB, ,010,Bland County,010,Bland County,5.70,10-717,"US 52, SR 42",13000,G,79%,1%,1%,0%,18%,1%,F,0.0886,F,1.0000,12000,G,2008,,26000,G,78%,1%,1%,1%,19%,1%,F,0.0766,F,0.5393,22000,G
110038,  IS,00077,S    ,I-77 SB, ,010,Bland County,010,Bland County,6.05,"US 52, SR 42",10-666,13000,G,79%,1%,1%,0%,18%,1%,F,0.0913,F,1.0000,11000,G,2008,,25000,G,78%,1%,1%,1%,19%,1%,F,,,,22000,G
110037,  IS,00077,S    ,I-77 SB, ,010,Bland County,010,Bland County,3.87,10-666,10-606,11000,G,79%,1%,1%,0%,18%,1%,F,0.0934,F,1.0000,9600,G,2008,,23000,G,78%,1%,1%,1%,19%,1%,F,0.0774,F,0.5594,20000,G
110036,  IS,00077,S    ,I-77 SB, ,010,Bland County,010,Bland County,2.12,10-606,SR 61,13000,G,79%,1%,1%,0%,18%,1%,F,0.0908,F,1.0000,12000,G,2008,,27000,G,78%,1%,1%,1%,19%,1%,F,,,,24000,G
110035,  IS,00077,S    ,I-77 SB, ,010,Bland County,010,Bland County,1.79,SR 61,US 52; SR 598,13000,F,79%,1%,1%,0%,18%,1%,C,0.1210,B,1.0000,12000,F,2008,,26000,F,78%,1%,1%,1%,19%,1%,C,0.1229,B,0.0000,23000,F
110034,  IS,00077,S    ,"I-77 SB, US 52", ,010,Bland County,010,Bland County,0.79,SR 598,West Virginia State Line,14000,G,79%,1%,1%,0%,18%,1%,F,0.0911,F,1.0000,12000,G,2008,,27000,G,78%,1%,1%,1%,19%,1%,F,0.0758,F,0.5395,23000,G
110046,  IS,00077,S    ,I-77 SB, ,WV ,West Virginia,010,Bland County,0.50,West Virginia State Line,"End of Tunnel, West Virginia",14000,G,79%,1%,1%,0%,18%,1%,F,0.0911,F,1.0000,12000,G,2008,,27000,G,78%,1%,1%,1%,19%,1%,F,,,,23000,G
789822,  IS,00077,S061R,I-77 SB Exit 061R,Rocky Gap Welcome Center,010,Bland County,010,Bland County,0.12,Exit Welcome Center Parking Lot,I-77 South from Welcome Center,1100,A,71%,1%,1%,1%,25%,1%,C,0.1546,A,1.0000,1000,A,2008,,,,,,,,,,,,,,,
010202,  SR,00098,     ,VA 98,Main St,010,Bland County,010,Bland County,0.50,US 52 S Scenic Hwy Bland CH,10-605 South of Bland CH,240,G,98%,2%,0%,0%,0%,0%,C,0.1410,F,0.5313,250,G,2008,,,,,,,,,,,,,,,
010051,  SR,00598,     ,VA 598,E River Mountain Rd,010,Bland County,010,Bland County,4.16,I-77 North,West Virginia State Line,130,G,94%,3%,0%,3%,0%,0%,C,0.1453,F,0.5600,140,G,2008,,,,,,,,,,,,,,,
780266,  FR,00001,     ,FR 1,Sugar Bottom Dr,010,Bland County,010,Bland County,0.96,Dead End,10-617,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
780267,  FR,00002,     ,FR 2, ,010,Bland County,010,Bland County,0.17,10-616,Dead End,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
780268,  FR,00003,     ,FR 3,Arrowhead Dr,010,Bland County,010,Bland County,0.24,Dead End,10-666,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
791098,  FR,00003,     ,FR 3, ,010,Bland County,010,Bland County,0.29,10-666,Dead End,1200,M,,,,,,,X,,,,,,2008,,,,,,,,,,,,,,,
780307,  FR,00048,     ,FR 48,Crab Orchard Dr,010,Bland County,010,Bland County,0.45,US 52,Dead End,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
706645,  10,00600,     ,10-600, ,010,Bland County,010,Bland County,2.60,Wythe County Line,10-601,60,R,,,,,,,X,,,,,,04/25/2006,,,,,,,,,,,,,,,
706646,  10,00601,     ,10-601, ,010,Bland County,010,Bland County,11.40,10-603; 10-617,Pulaski County Line,290,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706647,  10,00602,     ,10-602,Spur Branch Rd,010,Bland County,010,Bland County,1.25,Dead End,1.25 ME of Dead End,80,R,,,,,,,X,,,,,,04/25/2006,,,,,,,,,,,,,,,
706648,  10,00602,     ,10-602,Spur Branch Rd,010,Bland County,010,Bland County,0.80,1.25 ME of Dead End,10-668 Long Spur School Rd,100,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706649,  10,00602,     ,10-602, ,010,Bland County,010,Bland County,0.35,10-668 Long Spur School Rd,10-632 Parcell Dr,90,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706650,  10,00602,     ,10-602, ,010,Bland County,010,Bland County,0.40,10-632 Parcell Dr,0.40 ME 10-632,100,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706651,  10,00602,     ,10-602, ,010,Bland County,010,Bland County,0.80,0.40 ME 10-632,10-601,100,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706652,  10,00603,     ,10-603, ,010,Bland County,010,Bland County,1.60,Wythe County Line,10-601; 10-717,30,R,,,,,,,X,,,,,,04/25/2006,,,,,,,,,,,,,,,
706653,  10,00604,     ,10-604, ,010,Bland County,010,Bland County,3.45,"SR 42, E Bluegrass Trail",10-651 Rock Wall Dr,280,R,,,,,,,X,,,,,,10/07/2003,,,,,,,,,,,,,,,
706654,  10,00604,     ,10-604, ,010,Bland County,010,Bland County,1.52,10-651 Rock Wall Dr,1.52 ME 10-651,130,R,,,,,,,X,,,,,,10/07/2003,,,,,,,,,,,,,,,
706655,  10,00604,     ,10-604, ,010,Bland County,010,Bland County,2.10,1.50 ME 10-651,10-608,70,R,,,,,,,X,,,,,,10/07/2003,,,,,,,,,,,,,,,
706656,  10,00604,     ,10-604, ,010,Bland County,010,Bland County,0.40,10-608,0.40 ME 10-608,60,R,,,,,,,X,,,,,,10/07/2003,,,,,,,,,,,,,,,
706657,  10,00604,     ,10-604, ,010,Bland County,010,Bland County,0.50,0.40 ME 10-608,Dead End,60,R,,,,,,,X,,,,,,10/07/2003,,,,,,,,,,,,,,,
706658,  10,00605,     ,10-605, ,010,Bland County,010,Bland County,0.30,Dead End,0.30 MW Dead End,70,R,,,,,,,X,,,,,,04/11/2006,,,,,,,,,,,,,,,
706659,  10,00605,     ,10-605, ,010,Bland County,010,Bland County,0.59,0.30 MW Dead End,0.89 MW Dead End,100,R,,,,,,,X,,,,,,04/11/2006,,,,,,,,,,,,,,,
706660,  10,00605,     ,10-605, ,010,Bland County,010,Bland County,0.21,0.89 MW Dead End,1.10 MW Dead End,130,R,,,,,,,X,,,,,,04/11/2006,,,,,,,,,,,,,,,
706661,  10,00605,     ,10-605, ,010,Bland County,010,Bland County,0.50,1.10 MW Dead End,SR 98,220,R,,,,,,,X,,,,,,04/11/2006,,,,,,,,,,,,,,,
402631,  10,00606,     ,10-606, ,010,Bland County,010,Bland County,0.06,US 52,I-77,320,G,94%,1%,3%,1%,1%,0%,C,0.1297,F,0.5366,330,G,2008,,,,,,,,,,,,,,,
402632,  10,00606,     ,10-606,Wilderness Rd,010,Bland County,010,Bland County,5.03,I-77,10-608 W Wesendenck Rd,1200,G,92%,0%,1%,2%,5%,0%,F,0.1029,F,0.5584,1200,G,2008,,,,,,,,,,,,,,,
402633,  10,00606,     ,10-606,Wilderness Rd,010,Bland County,010,Bland County,4.49,10-608 W Wesendonck Rd,10-608 MID Price Ridge Rd,920,G,92%,0%,1%,2%,5%,0%,F,0.1022,F,0.5604,940,G,2008,,,,,,,,,,,,,,,
402634,  10,00606,     ,10-606,Wilderness Rd,010,Bland County,010,Bland County,3.94,10-608 MID Price Ridge Rd,SR 42 E Bluegrass Hwy,930,G,92%,0%,1%,2%,5%,0%,C,0.1239,F,0.5610,960,G,2008,,,,,,,,,,,,,,,
706662,  10,00607,     ,10-607, ,010,Bland County,010,Bland County,1.89,10-608,1.89 ME 10-608,50,R,,,,,,,X,,,,,,04/25/2006,,,,,,,,,,,,,,,
706663,  10,00607,     ,10-607,Burtons Pond Rd,010,Bland County,010,Bland County,0.71,1.89 ME 10-608,10-606,80,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706664,  10,00608,     ,10-608, ,010,Bland County,010,Bland County,0.60,"SR 42 W, E Bluegrass Trail",10-604,200,R,,,,,,,X,,,,,,10/07/2003,,,,,,,,,,,,,,,
706665,  10,00608,     ,10-608, ,010,Bland County,010,Bland County,1.10,10-604,1.10 ME 10-604,80,R,,,,,,,X,,,,,,10/07/2003,,,,,,,,,,,,,,,
706666,  10,00608,     ,10-608,Skydusky Rd,010,Bland County,010,Bland County,1.90,1.10 ME 10-604,Jefferson Forest Bndy,100,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706667,  10,00608,     ,10-608,Skydusky Rd,010,Bland County,010,Bland County,1.40,Jefferson Forest Bndy,10-639,20,R,,,,,,,X,,,,,,09/12/2006,,,,,,,,,,,,,,,
706668,  10,00608,     ,10-608, ,010,Bland County,010,Bland County,0.60,10-639,"SR 42 E, E Bluegrass Trail",110,R,,,,,,,X,,,,,,10/07/2003,,,,,,,,,,,,,,,
706669,  10,00608,     ,10-608, ,010,Bland County,010,Bland County,3.40,"SR 42 E, E Bluegrass Trail",10-606 EAST,360,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706670,  10,00608,     ,10-608, ,010,Bland County,010,Bland County,2.44,10-606 WEST,10-677 No Business Creek Rd,180,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706671,  10,00608,     ,10-608,Wesendonick Rd,010,Bland County,010,Bland County,0.90,10-677 No Business Creek Rd,10-609 Dinky Track Rd,70,R,,,,,,,X,,,,,,09/25/2006,,,,,,,,,,,,,,,
706672,  10,00608,     ,10-608, ,010,Bland County,010,Bland County,2.28,10-609 Dinky Track Rd,"10-606 N, Wilderness Rd",220,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706673,  10,00609,     ,10-609,Dinky Track Rd,010,Bland County,010,Bland County,1.80,10-608 Wesendonick Rd,10-677 No Business Creek Rd,50,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706674,  10,00610,     ,10-610, ,010,Bland County,010,Bland County,1.10,Smyth County Line,10-742 Shady Grove Rd,50,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706675,  10,00610,     ,10-610, ,010,Bland County,010,Bland County,0.80,10-742 Shady Grove Rd,SR 42,70,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706676,  10,00611,     ,10-611, ,010,Bland County,010,Bland County,0.10,"SR 42, E Bluegrass Trail",0.10 MN SR 42,80,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706677,  10,00611,     ,10-611, ,010,Bland County,010,Bland County,0.50,0.10 MN SR 42,0.60 MN SR 42,80,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706678,  10,00611,     ,10-611, ,010,Bland County,010,Bland County,1.53,0.60 MN SR 42,10-612,70,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706679,  10,00612,     ,10-612,Kimberling Rd,010,Bland County,010,Bland County,0.56,US 52,0.56 ME US 52,100,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706680,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,4.22,0.56 ME US 52,4.78 ME US 52,110,R,,,,,,,X,,,,,,09/15/2006,,,,,,,,,,,,,,,
706681,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,0.89,4.78 ME US 52,5.67 ME US 52,90,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706682,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,0.75,5.67 ME US 52,10-627 Dalton Hollow Rd,100,R,,,,,,,X,,,,,,10/12/2003,,,,,,,,,,,,,,,
706683,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,1.55,10-627 Dalton Hollow Rd,10-611,90,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706684,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,2.90,10-611,10-631 Pinch Creek Rd,100,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706685,  10,00612,     ,10-612, ,010,Bland County,010,Bland County,0.81,10-631 Pinch Creek Rd,10-606,330,R,,,,,,,X,,,,,,10/02/2003,,,,,,,,,,,,,,,
706686,  10,00613,     ,10-613,Dry Fork Rd,010,Bland County,010,Bland County,0.37,Dead End,0.37 ME Dead End,70,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706687,  10,00613,     ,10-613,Dry Fork Rd,010,Bland County,010,Bland County,0.60,0.37 ME Dead End,0.97 ME Dead End,130,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706688,  10,00613,     ,10-613,Dry Fork Rd,010,Bland County,010,Bland County,0.20,0.97 ME Dead End,1.17 ME Dead End,210,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706689,  10,00613,     ,10-613,Dry Fork Rd,010,Bland County,010,Bland County,4.71,1.17 ME Dead End,10-663 Dangerfield Dr,530,R,,,,,,,X,,,,,,08/29/2006,,,,,,,,,,,,,,,
706690,  10,00613,     ,10-613, ,010,Bland County,010,Bland County,0.50,10-663 Dangerfield Dr,US 52,800,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706691,  10,00613,     ,10-613, ,010,Bland County,010,Bland County,6.16,US 52,Dead End,680,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706692,  10,00614,     ,10-614, ,010,Bland County,010,Bland County,12.70,Tazewell County Line,US 52,1400,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706693,  10,00615,     ,10-615, ,010,Bland County,010,Bland County,1.20,US 52 SOUTH,10-620,420,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706694,  10,00615,     ,10-615,Suiter Rd,010,Bland County,010,Bland County,2.95,10-620,2.95 MN 10-620,70,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706695,  10,00615,     ,10-615,Suiter Rd,010,Bland County,010,Bland County,0.25,2.95 MN 10-620,10-618,70,R,,,,,,,X,,,,,,08/22/2006,,,,,,,,,,,,,,,
706696,  10,00615,     ,10-615, ,010,Bland County,010,Bland County,4.37,10-618,10-649 Pep St,1100,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706697,  10,00615,     ,10-615, ,010,Bland County,010,Bland County,0.32,10-649 Pep St,US 52 NORTH,1300,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706698,  10,00615,     ,10-615, ,010,Bland County,010,Bland County,0.59,US 52 NORTH,Dead End,440,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706699,  10,00616,     ,10-616,Sandy Hollow Rd,010,Bland County,010,Bland County,0.30,10-617,FR-2,50,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706700,  10,00617,     ,10-617, ,010,Bland County,010,Bland County,3.80,US 52 SOUTH,10-619 Green Hill Rd,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706701,  10,00617,     ,10-617, ,010,Bland County,010,Bland County,1.97,10-619 Green Hill Rd,10-616 Sandy Hollow Rd,180,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706702,  10,00617,     ,10-617, ,010,Bland County,010,Bland County,1.00,10-616 Sandy Hollow Rd,US 52 NORTH,400,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706703,  10,00618,     ,10-618, ,010,Bland County,010,Bland County,1.20,10-615 Suiter Rd,Dead End,120,R,,,,,,,X,,,,,,09/30/2003,,,,,,,,,,,,,,,
706704,  10,00619,     ,10-619,Green Hill Rd,010,Bland County,010,Bland County,0.40,10-617,Dead End,46,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706705,  10,00620,     ,10-620, ,010,Bland County,010,Bland County,1.80,Dead End,10-615 Suiter Rd,160,R,,,,,,,X,,,,,,04/18/2006,,,,,,,,,,,,,,,
706706,  10,00621,     ,10-621, ,010,Bland County,010,Bland County,3.00,SR 42,US 52,230,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706707,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,1.00,SR 42 SOUTH,1.00 ME SR 42,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706708,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.30,1.00 ME SR 42,10-626 WEST,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706709,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,1.40,10-626 WEST,10-626 EAST,70,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706710,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.30,10-626 EAST,0.30 ME 10-626,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706711,  10,00622,     ,10-622,Birch Grove Rd,010,Bland County,010,Bland County,0.40,0.30 ME 10-626,Jefferson Forest Bndy,40,R,,,,,,,X,,,,,,09/19/2006,,,,,,,,,,,,,,,
706712,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.40,Jefferson Forest Bndy,"10-625 W, Mountain Glen Dr",60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706713,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.53,"10-625 W, Mountain Glen Dr",10-625 EAST,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706714,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,0.70,10-625 EAST,10-624 Ravens Cliff Rd,70,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
706715,  10,00622,     ,10-622, ,010,Bland County,010,Bland County,2.30,10-624 Ravens Cliff Rd,10-623,60,R,,,,,,,X,,,,,,10/10/2003,,,,,,,,,,,,,,,
