080391,  US,00250,     ,US 250, ,045,Highland County,045,Highland County,5.34,45-640,WCL Monterey,450,G,86%,1%,3%,5%,5%,0%,F,0.1167,F,0.5310,470,G,2008,,,,,,,,,,,,,,,
080428,  US,00250,     ,US 250, ,262,Town of Monterey,045,Highland County,0.40,WCL Monterey,US 220 Monterey,450,N,86%,1%,3%,5%,5%,0%,N,0.1167,N,0.5310,470,N,2008,,,,,,,,,,,,,,,
080223,  US,00250,     ,US 250, ,262,Town of Monterey,045,Highland County,0.18,US 220 Monterey,ECL Monterey,1300,N,86%,1%,3%,5%,5%,0%,N,0.0909,N,0.5603,1300,N,2008,,,,,,,,,,,,,,,
080222,  US,00250,     ,US 250, ,045,Highland County,045,Highland County,9.56,ECL Monterey,E 45-678 McDowell,1300,G,86%,1%,3%,5%,5%,0%,C,0.0909,F,0.5603,1300,G,2008,,,,,,,,,,,,,,,
080220,  US,00250,     ,US 250, ,045,Highland County,045,Highland County,8.95,E 45-678 McDowell,Augusta County Line,1200,G,86%,1%,3%,5%,5%,0%,F,0.0923,F,0.5609,1200,G,2008,,,,,,,,,,,,,,,
785026,  08,00694,     ,08-694,Little Valley,045,Highland County,008,Bath County,0.10,Highland County Line,45-607,80,N,,,,,,,X,,,,0,N,09/19/2006,,,,,,,,,,,,,,,
401869,  45,00600,     ,45-600, ,045,Highland County,045,Highland County,2.89,Bath County Line,SR 84 SOUTH,160,G,96%,0%,1%,0%,4%,0%,C,0.1400,F,0.8095,170,G,2008,,,,,,,,,,,,,,,
746414,  45,00600,     ,45-600, ,045,Highland County,045,Highland County,2.50,SR 84 NORTH,2.50 MN SR 84 N,130,R,,,,,,,X,,,,,,08/25/2003,,,,,,,,,,,,,,,
746415,  45,00600,     ,45-600, ,045,Highland County,045,Highland County,4.69,2.50 MN SR 84 N,7.19 MN SR 84 N,70,R,,,,,,,X,,,,,,08/25/2003,,,,,,,,,,,,,,,
746416,  45,00600,     ,45-600, ,045,Highland County,045,Highland County,1.75,7.19 MN SR 84 N,8.94 MN SR 84 N,10,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746417,  45,00600,     ,45-600, ,045,Highland County,045,Highland County,3.35,8.94 MN SR 84 N,US 250 Highland Tpke,30,R,,,,,,,X,,,,,,06/30/2003,,,,,,,,,,,,,,,
746418,  45,00601,     ,45-601, ,045,Highland County,045,Highland County,1.60,Dead End,US 250 Highland Tpke,4,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746419,  45,00602,     ,45-602, ,045,Highland County,045,Highland County,0.20,Dead End,SR 84,10,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746420,  45,00603,     ,45-603, ,045,Highland County,045,Highland County,0.60,45-600,45-604,30,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746421,  45,00604,     ,45-604, ,045,Highland County,045,Highland County,1.20,Dead End,45-603,30,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746422,  45,00604,     ,45-604, ,045,Highland County,045,Highland County,3.40,45-603,SR 84,46,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746424,  45,00605,     ,45-605, ,045,Highland County,045,Highland County,1.00,US 220,Dead End,40,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746425,  45,00606,     ,45-606, ,045,Highland County,045,Highland County,1.25,US 220,1.25 MN US 220,40,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746426,  45,00606,     ,45-606, ,045,Highland County,045,Highland County,1.35,1.25 MN US 220,45-607,10,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746427,  45,00607,     ,45-607, ,045,Highland County,045,Highland County,1.60,US 220 SOUTH,08-694 Little Valley,170,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746428,  45,00607,     ,45-607, ,045,Highland County,045,Highland County,7.47,08-694 Little Valley,45-606 EAST,110,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746429,  45,00607,     ,45-607, ,045,Highland County,045,Highland County,0.30,45-606 EAST,45-606 WEST,90,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746430,  45,00607,     ,45-607, ,045,Highland County,045,Highland County,1.80,45-606 WEST,US 220 NORTH,110,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746431,  45,00608,     ,45-608, ,045,Highland County,045,Highland County,0.70,US 220,Dead End,20,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
401870,  45,00609,     ,45-609,Burnsville Rd,045,Highland County,045,Highland County,3.24,Bath County Line,45-678,110,G,96%,2%,0%,1%,0%,0%,C,0.1565,F,0.5000,110,G,2008,,,,,,,,,,,,,,,
746432,  45,00610,     ,45-610, ,045,Highland County,045,Highland County,0.07,45-609 Burnsville Rd,0.07 MN 45-609 Burnsville Rd,10,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746433,  45,00610,     ,45-610, ,045,Highland County,045,Highland County,0.76,0.07 MN 45-609 Burnsville Rd,45-678,20,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746434,  45,00611,     ,45-611, ,045,Highland County,045,Highland County,0.60,US 220,Dead End,60,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746435,  45,00612,     ,45-612, ,045,Highland County,045,Highland County,5.20,45-678,45-614,20,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746436,  45,00613,     ,45-613, ,045,Highland County,045,Highland County,1.10,45-614,Dead End,4,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746437,  45,00614,     ,45-614, ,045,Highland County,045,Highland County,3.86,Bath County Line,GW Natl For Bndy,60,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746438,  45,00614,     ,45-614, ,045,Highland County,045,Highland County,0.12,GW Natl For Bndy,0.12 ME of Bndy,30,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746439,  45,00614,     ,45-614, ,045,Highland County,045,Highland County,0.34,0.12 ME of Bndy,0.46 ME of Bndy,30,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746440,  45,00614,     ,45-614, ,045,Highland County,045,Highland County,0.82,0.46 ME of Bndy,45-613,30,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746441,  45,00614,     ,45-614, ,045,Highland County,045,Highland County,2.60,45-613,45-612,40,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746442,  45,00614,     ,45-614, ,045,Highland County,045,Highland County,1.34,45-612,45-616,50,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746443,  45,00614,     ,45-614, ,045,Highland County,045,Highland County,3.06,45-616,US 250,60,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746444,  45,00614,     ,45-614, ,045,Highland County,045,Highland County,6.14,US 250,45-619,110,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746445,  45,00614,     ,45-614, ,045,Highland County,045,Highland County,2.44,45-619,West Virginia State Line,100,R,,,,,,,X,,,,,,06/30/2003,,,,,,,,,,,,,,,
746446,  45,00615,     ,45-615, ,045,Highland County,045,Highland County,4.60,US 250,45-678,40,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746447,  45,00616,     ,45-616, ,045,Highland County,045,Highland County,4.22,45-614,US 250 SOUTH,120,R,,,,,,,X,,,,,,06/18/2003,,,,,,,,,,,,,,,
746448,  45,00616,     ,45-616, ,045,Highland County,045,Highland County,2.60,US 250 NORTH,Dead End,20,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746449,  45,00617,     ,45-617, ,045,Highland County,045,Highland County,2.19,45-624,45-618,20,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746450,  45,00617,     ,45-617, ,045,Highland County,045,Highland County,5.48,45-618,"45-654 N, Johnston Rd",110,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746451,  45,00617,     ,45-617, ,045,Highland County,045,Highland County,2.20,"45-654 S, Johnston Rd",Dead End,10,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746452,  45,00618,     ,45-618, ,045,Highland County,045,Highland County,0.80,45-614,Dead End; Gap,10,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746453,  45,00618,     ,45-618, ,045,Highland County,045,Highland County,2.70,Dead End; Gap,"45-654 N, Johnston Rd",80,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746454,  45,00618,     ,45-618, ,045,Highland County,045,Highland County,0.80,"45-654 S, Johnston Rd",45-617,120,R,,,,,,,X,,,,,,06/18/2003,,,,,,,,,,,,,,,
746455,  45,00619,     ,45-619, ,045,Highland County,045,Highland County,0.69,45-654 Johnston Rd,0.69 ME 45-654,90,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746456,  45,00619,     ,45-619, ,045,Highland County,045,Highland County,1.21,0.69 ME 45-654,45-648,70,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746457,  45,00619,     ,45-619, ,045,Highland County,045,Highland County,2.01,45-648,45-614,40,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746458,  45,00620,     ,45-620, ,045,Highland County,045,Highland County,1.70,45-654 Johnston Rd,West Virginia State Line,30,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746459,  45,00620,     ,45-620, ,045,Highland County,045,Highland County,1.80,West Virginia State Line,45-614 NORTH,10,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746460,  45,00620,     ,45-620, ,045,Highland County,045,Highland County,2.77,45-614 SOUTH,West Virginia State Line,20,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746461,  45,00621,     ,45-621, ,045,Highland County,045,Highland County,1.18,Dead End,45-636,300,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746462,  45,00622,     ,45-622, ,045,Highland County,045,Highland County,0.60,45-654 Johnston Rd,45-623,70,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746463,  45,00622,     ,45-622, ,045,Highland County,045,Highland County,1.50,45-623,West Virginia State Line,40,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746464,  45,00623,     ,45-623, ,045,Highland County,045,Highland County,0.90,Dead End,45-622,20,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746465,  45,00624,     ,45-624, ,045,Highland County,045,Highland County,0.10,45-629,45-628,40,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746466,  45,00624,     ,45-624, ,045,Highland County,045,Highland County,6.00,45-628,45-617,20,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746467,  45,00624,     ,45-624, ,045,Highland County,045,Highland County,1.60,45-617,45-654 Johnston Rd,60,R,,,,,,,X,,,,,,06/18/2003,,,,,,,,,,,,,,,
746468,  45,00625,     ,45-625, ,045,Highland County,045,Highland County,0.10,Dead End,US 220,50,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746469,  45,00625,     ,45-625, ,045,Highland County,045,Highland County,1.90,US 220,West Virginia State Line,100,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746470,  45,00626,     ,45-626, ,045,Highland County,045,Highland County,1.60,Dead End,US 220,20,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746471,  45,00627,     ,45-627, ,045,Highland County,045,Highland County,0.30,Dead End,US 220,20,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746472,  45,00628,     ,45-628, ,045,Highland County,045,Highland County,0.80,Dead End,45-624,20,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746473,  45,00629,     ,45-629, ,045,Highland County,045,Highland County,4.18,US 250,US 220,350,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746474,  45,00630,     ,45-630, ,045,Highland County,045,Highland County,0.52,Dead End,45-629,30,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746475,  45,00631,     ,45-631, ,045,Highland County,045,Highland County,2.00,US 250,45-629,90,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746476,  45,00632,     ,45-632, ,045,Highland County,045,Highland County,1.97,US 220 SOUTH,US 220 NORTH,80,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746477,  45,00633,     ,45-633, ,045,Highland County,045,Highland County,0.80,Dead End,45-634,47,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746478,  45,00634,     ,45-634, ,045,Highland County,045,Highland County,1.20,US 220,Dead End,90,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746479,  45,00635,     ,45-635, ,045,Highland County,045,Highland County,1.00,US 220,Dead End,170,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746480,  45,00636,     ,45-636, ,045,Highland County,045,Highland County,0.46,US 220,45-1010,140,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746481,  45,00636,     ,45-636, ,045,Highland County,045,Highland County,0.63,45-1010,SCL Monterey,550,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
785127,  45,00636,     ,45-636,Spruce St,262,Town of Monterey,045,Highland County,0.31,SCL Monterey,US 250,550,N,,,,,,,X,,,,0,N,07/18/2006,,,,,,,,,,,,,,,
788272,  45,00636,     ,45-636,Spruce St; Maple St,262,Town of Monterey,045,Highland County,0.04,US 250,Dead End,550,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746482,  45,00637,     ,45-637, ,045,Highland County,045,Highland County,1.80,SR 84 Mill Gap Rd,45-638,60,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746483,  45,00637,     ,45-637, ,045,Highland County,045,Highland County,3.00,45-638,US 250,60,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746484,  45,00637,     ,45-637, ,045,Highland County,045,Highland County,5.30,US 250,45-640,150,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746485,  45,00638,     ,45-638, ,045,Highland County,045,Highland County,1.00,45-640 Meadowdale Rd,45-637,30,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746486,  45,00639,     ,45-639, ,045,Highland County,045,Highland County,0.50,45-640,45-637,30,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
401871,  45,00640,     ,45-640,Meadowdale Rd,045,Highland County,045,Highland County,1.10,SR 84 Mill Gap Rd,45-638,130,G,86%,0%,4%,3%,6%,0%,C,0.1319,F,0.6316,140,G,2008,,,,,,,,,,,,,,,
401872,  45,00640,     ,45-640, ,045,Highland County,045,Highland County,3.22,45-638,US 250 Highland Tpke,120,G,86%,0%,4%,3%,6%,0%,F,0.1323,F,0.6471,120,G,2008,,,,,,,,,,,,,,,
401873,  45,00640,     ,45-640, ,045,Highland County,045,Highland County,5.20,US 250 Highland Tpke,45-637,150,G,92%,0%,2%,3%,3%,0%,F,0.1201,F,0.5500,160,G,2008,,,,,,,,,,,,,,,
401874,  45,00640,     ,45-640, ,045,Highland County,045,Highland County,1.30,45-637,45-642,260,G,92%,0%,2%,3%,3%,0%,F,0.1080,F,0.5517,270,G,2008,,,,,,,,,,,,,,,
401875,  45,00640,     ,45-640, ,045,Highland County,045,Highland County,0.70,45-642,45-642,420,G,92%,0%,2%,3%,3%,0%,C,0.1178,F,0.5745,430,G,2008,,,,,,,,,,,,,,,
746487,  45,00640,     ,45-640, ,045,Highland County,045,Highland County,0.40,45-642 EAST,45-650,270,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746488,  45,00640,     ,45-640, ,045,Highland County,045,Highland County,0.80,45-650,45-644,220,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746489,  45,00640,     ,45-640, ,045,Highland County,045,Highland County,2.40,45-644,West Virginia State Line,100,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746490,  45,00641,     ,45-641, ,045,Highland County,045,Highland County,0.45,45-640,45-657,45,R,,,,,,,X,,,,,,06/30/2003,,,,,,,,,,,,,,,
746491,  45,00641,     ,45-641, ,045,Highland County,045,Highland County,0.25,45-657,Dead End,40,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746492,  45,00642,     ,45-642, ,045,Highland County,045,Highland County,11.50,West Virginia State Line,45-643,30,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746493,  45,00642,     ,45-642, ,045,Highland County,045,Highland County,1.20,45-643,45-640 WEST,100,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
401876,  45,00642,     ,45-642, ,045,Highland County,045,Highland County,2.60,45-640 EAST,US 220,600,G,90%,1%,4%,2%,3%,0%,C,0.1010,F,0.5763,620,G,2008,,,,,,,,,,,,,,,
746494,  45,00643,     ,45-643, ,045,Highland County,045,Highland County,1.10,45-642,45-644,40,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746495,  45,00644,     ,45-644, ,045,Highland County,045,Highland County,1.60,45-640,45-643,70,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746496,  45,00644,     ,45-644, ,045,Highland County,045,Highland County,3.90,45-643,West Virginia State Line,40,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746497,  45,00645,     ,45-645, ,045,Highland County,045,Highland County,0.20,US 250 WEST,45-654 Johnston Rd,160,R,,,,,,,X,,,,,,06/18/2003,,,,,,,,,,,,,,,
746498,  45,00645,     ,45-645, ,045,Highland County,045,Highland County,0.09,45-654 Johnston Rd,US 250 EAST,20,R,,,,,,,X,,,,,,06/18/2003,,,,,,,,,,,,,,,
746499,  45,00646,     ,45-646, ,045,Highland County,045,Highland County,0.15,Dead End,45-637,30,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746500,  45,00647,     ,45-647, ,045,Highland County,045,Highland County,1.01,45-632,Dead End,100,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746501,  45,00648,     ,45-648, ,045,Highland County,045,Highland County,0.80,45-619,Dead End,20,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746502,  45,00649,     ,45-649, ,045,Highland County,045,Highland County,0.50,Dead End,US 250,980,R,,,,,,,X,,,,,,05/01/2003,,,,,,,,,,,,,,,
746503,  45,00650,     ,45-650, ,045,Highland County,045,Highland County,0.15,Dead End,45-640,30,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746504,  45,00651,     ,45-651, ,045,Highland County,045,Highland County,0.07,45-654 Johnston Rd,Dead End,10,R,,,,,,,X,,,,,,06/18/2003,,,,,,,,,,,,,,,
746505,  45,00652,     ,45-652, ,045,Highland County,045,Highland County,0.09,US 250,WCL Monterey,70,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
785128,  45,00652,     ,45-652, ,262,Town of Monterey,045,Highland County,0.05,WCL Monterey,ECL Monterey,70,N,,,,,,,X,,,,0,N,08/01/2006,,,,,,,,,,,,,,,
785292,  45,00652,     ,45-652, ,045,Highland County,045,Highland County,0.06,ECL Monterey,Dead End,70,N,,,,,,,X,,,,0,N,08/01/2006,,,,,,,,,,,,,,,
746506,  45,00653,     ,45-653, ,045,Highland County,045,Highland County,0.60,Dead End,45-617,20,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
401877,  45,00654,     ,45-654,Johnston Rd,045,Highland County,045,Highland County,0.91,US 250,45-617 NORTH,620,G,95%,1%,2%,1%,1%,0%,C,0.0955,F,0.5410,640,G,2008,,,,,,,,,,,,,,,
401878,  45,00654,     ,45-654,Johnston Rd,045,Highland County,045,Highland County,3.67,45-617 NORTH,45-618 NORTH,380,G,95%,1%,2%,1%,1%,0%,F,0.1019,F,0.5909,390,G,2008,,,,,,,,,,,,,,,
401879,  45,00654,     ,45-654,Johnston Rd,045,Highland County,045,Highland County,2.95,45-618 NORTH,45-624,230,G,95%,1%,2%,1%,1%,0%,F,0.1205,F,0.6349,240,G,2008,,,,,,,,,,,,,,,
401880,  45,00654,     ,45-654,Johnston Rd,045,Highland County,045,Highland County,1.54,45-624,West Virginia State Line,170,G,95%,1%,2%,1%,1%,0%,F,0.1694,F,0.5882,180,G,2008,,,,,,,,,,,,,,,
746507,  45,00655,     ,45-655, ,045,Highland County,045,Highland County,0.15,45-632,Dead End,10,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
746508,  45,00656,     ,45-656, ,045,Highland County,045,Highland County,0.04,Dead End,US 250,0,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746509,  45,00657,     ,45-657, ,045,Highland County,045,Highland County,0.37,Dead End,45-641,30,R,,,,,,,X,,,,,,07/11/2006,,,,,,,,,,,,,,,
746510,  45,00660,     ,45-660, ,045,Highland County,045,Highland County,0.12,45-617 SOUTH,45-617 NORTH,20,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
746511,  45,00678,     ,45-678, ,045,Highland County,045,Highland County,3.83,Bath County Line,45-609 Burnsville Rd,130,R,,,,,,,X,,,,,,08/01/2006,,,,,,,,,,,,,,,
401881,  45,00678,     ,45-678, ,045,Highland County,045,Highland County,0.49,45-609 Burnsville Rd,45-610,180,G,91%,0%,2%,4%,3%,0%,F,0.1250,F,0.5814,180,G,2008,,,,,,,,,,,,,,,
401882,  45,00678,     ,45-678, ,045,Highland County,045,Highland County,3.12,45-610,45-612,200,G,91%,0%,2%,4%,3%,0%,F,0.1840,F,0.5542,210,G,2008,,,,,,,,,,,,,,,
401883,  45,00678,     ,45-678, ,045,Highland County,045,Highland County,3.32,45-612,45-615,230,G,91%,0%,2%,4%,3%,0%,F,0.1367,F,0.5714,240,G,2008,,,,,,,,,,,,,,,
401884,  45,00678,     ,45-678, ,045,Highland County,045,Highland County,2.82,45-615,US 250,330,G,91%,0%,2%,4%,3%,0%,C,0.1062,F,0.5833,340,G,2008,,,,,,,,,,,,,,,
746512,  45,01001,     ,45-1001, ,262,Town of Monterey,045,Highland County,0.04,45-1002 Walnut St,US 250,130,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746513,  45,01002,     ,45-1002,Walnut St,262,Town of Monterey,045,Highland County,0.05,45-1001 Sieg Alley,45-636 Spruce St,70,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746514,  45,01002,     ,45-1002,Walnut St,262,Town of Monterey,045,Highland County,0.20,45-636 Spruce St,US 220,330,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746515,  45,01003,     ,45-1003,Water St,262,Town of Monterey,045,Highland County,0.04,45-1002 Walnut St,US 250,470,R,,,,,,,X,,,,,,06/23/2003,,,,,,,,,,,,,,,
746516,  45,01003,     ,45-1003,Water St,262,Town of Monterey,045,Highland County,0.04,US 250,Dead End,260,R,,,,,,,X,,,,,,08/25/2003,,,,,,,,,,,,,,,
746517,  45,01004,     ,45-1004,Fleisher Ave,262,Town of Monterey,045,Highland County,0.16,US 220,45-1005 Wilson Ave,350,R,,,,,,,X,,,,,,07/18/2006,,,,,,,,,,,,,,,
