613302,  US,00029,     ,"US 250, US 29",Monacan Trail Rd,104,City of Charlottesville,104,City of Charlottesville,0.35,WCL Charlottesville,Bus US 29,40000,G,97%,0%,1%,1%,2%,0%,F,0.0941,F,0.5428,41000,G,2008,,,,,,,,,,,,,,,
613303,  US,00029,     ,US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.37,"US 250, Bus US 29",NCL Charlottesville,57000,G,97%,0%,1%,1%,2%,0%,F,0.0806,F,0.5120,58000,G,2008,,,,,,,,,,,,,,,
070218,C8US,00029,     ,Bus US 29,Fontaine Ave Ext,104,City of Charlottesville,002,Albemarle County,0.37,US 29,SCL Charlottesville,14000,G,98%,0%,1%,1%,0%,0%,C,0.0991,F,0.6080,15000,G,2008,,,,,,,,,,,,,,,
613290,C8US,00029,     ,Bus US 29,Fontaine Ave,104,City of Charlottesville,104,City of Charlottesville,0.42,SCL Charlottesville,Jefferson Park Ave,15000,G,97%,0%,2%,0%,0%,0%,C,0.0906,F,0.5884,16000,G,2008,,,,,,,,,,,,,,,
613275,C8US,00029,     ,Bus US 29,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.69,Fontaine Ave,Emmet St,16000,G,97%,0%,2%,0%,0%,0%,F,0.0805,F,0.6482,17000,G,2008,,,,,,,,,,,,,,,
613232,C8US,00029,     ,Bus US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.53,Jefferson Park Ave,Ivy Rd,19000,G,97%,0%,2%,0%,0%,0%,F,0.0731,F,0.5005,20000,G,2008,,,,,,,,,,,,,,,
613269,C8US,00029,     ,Bus US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.55,Ivy Rd,Arlington Blvd,29000,G,99%,0%,1%,0%,0%,0%,C,0.0769,F,0.5708,31000,G,2008,,,,,,,,,,,,,,,
613207,C8US,00029,     ,Bus US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.45,Arlington Blvd,Barracks Rd,27000,G,99%,0%,1%,0%,0%,0%,F,0.0762,F,0.5917,29000,G,2008,,,,,,,,,,,,,,,
613204,C8US,00029,     ,Bus US 29,Emmet St,104,City of Charlottesville,104,City of Charlottesville,0.40,Barracks Rd,US 250 Bypass,35000,G,99%,0%,1%,0%,0%,0%,F,0.0780,F,0.5134,38000,G,2008,,,,,,,,,,,,,,,
070243,  IS,00064,E    ,I-64 EB, ,104,City of Charlottesville,002,Albemarle County,0.17,WCL Charlottesville,ECL Charlottesville,20000,G,87%,1%,1%,1%,10%,0%,F,0.1063,F,1.0000,19000,G,2008,,38000,G,87%,1%,1%,1%,10%,0%,F,,,,35000,G
870005,  IS,00064,W    ,I-64 WB, ,104,City of Charlottesville,002,Albemarle County,0.20,WCL Charlottesville,ECL Charlottesville,18000,G,87%,1%,1%,1%,10%,0%,F,0.1122,F,1.0000,16000,G,2008,,38000,G,87%,1%,1%,1%,10%,0%,F,,,,35000,G
613302,  US,00250,     ,"US 250, US 29",Monacan Trail Rd,104,City of Charlottesville,104,City of Charlottesville,0.35,WCL Charlottesville,"US 29, Emmet St",40000,G,97%,0%,1%,1%,2%,0%,F,0.0941,F,0.5428,41000,G,2008,,,,,,,,,,,,,,,
613203,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.32,"US 29, Emmet St",104-3431 Hydraulic Rd,23000,G,98%,0%,1%,0%,1%,0%,F,0.1013,F,0.5251,26000,G,2008,,,,,,,,,,,,,,,
613274,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.42,104-3431 Hydraulic Rd,Dairy Rd,43000,G,98%,0%,1%,0%,1%,0%,F,0.0865,F,0.5442,48000,G,2008,,,,,,,,,,,,,,,
070014,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.60,Dairy Rd,Rugby Ave E Int,41000,A,98%,0%,1%,0%,1%,0%,C,0.1003,A,0.5674,46000,A,2008,,,,,,,,,,,,,,,
613211,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.33,Rugby Ave E Int,McIntire Rd,41000,G,98%,0%,1%,0%,1%,0%,F,0.0854,F,0.5341,45000,G,2008,,,,,,,,,,,,,,,
613216,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.27,McIntire Rd,Park St,36000,G,98%,0%,1%,0%,1%,0%,F,0.0855,F,0.5557,40000,G,2008,,,,,,,,,,,,,,,
613217,  US,00250,     ,US 250, ,104,City of Charlottesville,104,City of Charlottesville,0.32,Park St,Locust Ave,40000,G,98%,0%,1%,0%,1%,0%,F,0.0840,F,0.5518,45000,G,2008,,,,,,,,,,,,,,,
613230,  US,00250,     ,US 250,Long St,104,City of Charlottesville,104,City of Charlottesville,0.43,Locust Ave,Bus US 250 High St,38000,G,98%,0%,1%,0%,1%,0%,F,0.0801,F,0.5968,42000,G,2008,,,,,,,,,,,,,,,
613238,  US,00250,     ,"US 250, VA 20",Long St,104,City of Charlottesville,104,City of Charlottesville,0.06,Bus US 250 High St,ECL Charlottesville,38000,N,98%,0%,1%,0%,1%,0%,N,0.0801,N,0.5968,42000,N,2008,,,,,,,,,,,,,,,
613218,C1US,00250,     ,Bus US 250,Ivy Rd,104,City of Charlottesville,104,City of Charlottesville,0.50,WCL Charlottesville,Bus US 29 Emmet St,15000,G,98%,0%,1%,1%,0%,0%,F,0.0765,F,0.5450,16000,G,2008,,,,,,,,,,,,,,,
613229,C1US,00250,     ,Bus US 250,University Ave,104,City of Charlottesville,104,City of Charlottesville,0.28,Bus US 29 Emmet St,"Bus 1 US 250P, Rugby Rd",17000,G,97%,0%,2%,0%,0%,0%,F,0.0692,F,0.5425,18000,G,2008,,22000,G,97%,0%,2%,0%,0%,0%,F,,,,23000,G
613221,C1US,00250,     ,Bus US 250,University Ave,104,City of Charlottesville,104,City of Charlottesville,0.12,"Bus 1 US 250P, Rugby Rd",Chancellor St,15000,G,97%,0%,2%,0%,0%,0%,F,0.0696,F,0.5387,17000,G,2008,,21000,G,97%,0%,2%,0%,0%,0%,F,0.0732,F,0.5318,22000,G
613222,C1US,00250,     ,Bus US 250,University Ave,104,City of Charlottesville,104,City of Charlottesville,0.19,Chancellor St,C&O RR Crossing,15000,G,97%,0%,2%,0%,0%,0%,F,0.0712,F,0.5063,16000,G,2008,,20000,G,97%,0%,2%,0%,0%,0%,F,0.0738,F,0.5113,22000,G
613223,C1US,00250,     ,Bus US 250,Main St,104,City of Charlottesville,104,City of Charlottesville,0.09,C&O RR Crossing,Jefferson Park Ave,16000,G,98%,0%,1%,0%,0%,0%,F,0.0677,F,0.5054,17000,G,2008,,21000,G,98%,0%,1%,0%,0%,0%,F,,,,23000,G
613259,C1US,00250,     ,Bus US 250,Main St,104,City of Charlottesville,104,City of Charlottesville,0.22,Jefferson Park Ave,9th St,15000,G,97%,0%,2%,0%,0%,0%,F,0.0715,F,0.5292,16000,G,2008,,36000,G,97%,0%,1%,1%,0%,0%,F,,,,38000,G
613225,C1US,00250,     ,Bus US 250,Main St,104,City of Charlottesville,104,City of Charlottesville,0.51,9th St,McIntire Rd,14000,G,97%,0%,2%,0%,0%,0%,C,0.0742,F,0.6090,15000,G,2008,,35000,G,97%,0%,1%,1%,0%,0%,C,0.0829,F,0.5479,37000,G
613235,C1US,00250,     ,Bus US 250,McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.22,Main St,"104-3405, Bus US 250 Par",21000,G,98%,0%,1%,0%,0%,0%,F,0.0782,F,0.5012,23000,G,2008,,29000,G,98%,0%,1%,0%,0%,0%,F,0.0807,F,0.5410,32000,G
613245,C1US,00250,     ,"Bus US 250, Bus US 250 Par",McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.03,"104-3405, Bus US 250 Par",Preston Ave,21000,N,98%,0%,1%,0%,0%,0%,N,0.0782,N,0.5012,23000,N,2008,,,,,,,,,,,,,,,
613237,C1US,00250,     ,Bus US 250,Market St,104,City of Charlottesville,104,City of Charlottesville,0.53,Preston Ave,9th St,10000,G,98%,0%,1%,0%,0%,0%,F,0.0848,F,0.5284,11000,G,2008,,17000,G,98%,0%,1%,0%,0%,0%,F,0.0845,F,0.5300,19000,G
613240,C1US,00250,     ,"VA 20, Bus US 250",9th St,104,City of Charlottesville,104,City of Charlottesville,0.12,9th St,9th St,14000,G,98%,0%,1%,0%,1%,0%,F,0.0866,F,0.6262,15000,G,2008,,,,,,,,,,,,,,,
613241,C1US,00250,     ,"Bus US 250, VA 20",High St,104,City of Charlottesville,104,City of Charlottesville,0.23,9th St,11th St,10000,G,98%,0%,1%,0%,0%,0%,F,0.0844,F,0.6262,11000,G,2008,,,,,,,,,,,,,,,
613242,C1US,00250,     ,"Bus US 250, VA 20",High St,104,City of Charlottesville,104,City of Charlottesville,0.21,11th St,Gillespie Ave,10000,G,98%,0%,1%,0%,0%,0%,C,0.0876,F,0.5932,11000,G,2008,,,,,,,,,,,,,,,
613243,C1US,00250,     ,"Bus US 250, VA 20",High St,104,City of Charlottesville,104,City of Charlottesville,0.45,Gillespie Ave,Long St,20000,G,98%,0%,1%,0%,0%,0%,F,0.0831,F,0.6002,22000,G,2008,,,,,,,,,,,,,,,
613219,C1US,00250,P    ,Bus US 250 Par,Rugby Rd,104,City of Charlottesville,104,City of Charlottesville,0.38,University Ave,Grady Ave,8100,G,98%,0%,1%,1%,0%,0%,F,0.0891,F,0.6580,8700,G,2008,,29000,G,98%,0%,1%,0%,0%,0%,F,0.0807,F,0.5410,32000,G
613220,C1US,00250,P    ,Bus US 250 Par,Grady Ave,104,City of Charlottesville,104,City of Charlottesville,0.57,Rugby Rd,Preston Ave,5300,G,98%,0%,1%,1%,0%,0%,F,0.0872,F,0.5435,5700,G,2008,,20000,G,97%,0%,2%,0%,0%,0%,F,0.0738,F,0.5113,22000,G
613226,C1US,00250,P    ,Bus US 250 Par,Preston Ave,104,City of Charlottesville,104,City of Charlottesville,0.51,Grady Ave,Market St,21000,G,98%,0%,1%,1%,0%,0%,C,0.0859,F,0.5327,23000,G,2008,,35000,G,97%,0%,1%,1%,0%,0%,C,0.0829,F,0.5479,37000,G
613245,C1US,00250,P    ,"Bus US 250, Bus US 250 Par",McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.03,Market St,Preston Ave,21000,N,98%,0%,1%,0%,0%,0%,N,0.0782,N,0.5012,23000,N,2008,,,,,,,,,,,,,,,
613236,C1US,00250,P    ,Bus US 250 Par,High St,104,City of Charlottesville,104,City of Charlottesville,0.54,Preston Ave,9th St,7200,G,98%,0%,1%,1%,0%,0%,F,0.0863,F,0.5027,7700,G,2008,,17000,G,98%,0%,1%,0%,0%,0%,F,0.0845,F,0.5300,19000,G
613250, 104,00002,     ,104-2,Garret St,104,City of Charlottesville,104,City of Charlottesville,0.45,Ridge St,Avon St,3200,G,97%,0%,2%,0%,0%,0%,C,0.0989,F,0.5970,3400,G,2008,,,,,,,,,,,,,,,
613604, 104,00003,     ,104-3,Kenwood Lane,104,City of Charlottesville,104,City of Charlottesville,0.50,Meadowbrook Heights Rd,Melbourne Rd,700,G,98%,0%,2%,0%,0%,0%,C,0.1120,F,0.5176,750,G,2008,,,,,,,,,,,,,,,
613603, 104,00004,     ,104-4,Lane Rd,104,City of Charlottesville,104,City of Charlottesville,0.39,Jefferson Park Ave,Lee St,2300,G,87%,1%,10%,1%,1%,0%,C,0.0961,F,0.6624,2500,G,2008,,,,,,,,,,,,,,,
613299, 104,00005,     ,104-5,Millmont St,104,City of Charlottesville,104,City of Charlottesville,0.46,Arlington Blvd,Barracks Rd,14000,G,98%,0%,1%,0%,0%,0%,C,0.0973,F,0.6195,15000,G,2008,,,,,,,,,,,,,,,
613602, 104,00006,     ,104-6,Yorktown Dr,104,City of Charlottesville,104,City of Charlottesville,0.31,Meadowbrook Hghts,Brandywine Dr,1100,G,98%,0%,1%,0%,0%,0%,F,0.1143,F,0.5915,1200,G,2008,,,,,,,,,,,,,,,
613291, 104,00007,     ,104-7,McCormick Rd,104,City of Charlottesville,104,City of Charlottesville,0.27,Alderman Rd,Emmet St,4500,G,88%,1%,10%,0%,0%,0%,C,0.1197,F,0.5714,4900,G,2008,,,,,,,,,,,,,,,
613287, 104,00007,     ,104-7,McCormick Rd,104,City of Charlottesville,104,City of Charlottesville,0.42,Emmet St,University Ave,3900,G,88%,1%,10%,0%,0%,0%,F,0.1194,F,0.5994,4200,G,2008,,,,,,,,,,,,,,,
781615, 104,00008,     ,104-8,Melbourne Rd,104,City of Charlottesville,104,City of Charlottesville,0.08,104-3412 Grove Rd,Kenwood Lane,690,G,98%,0%,2%,0%,0%,0%,F,0.1028,F,0.6863,740,G,2008,,,,,,,,,,,,,,,
613294, 104,00009,     ,104-9,Massie Rd,104,City of Charlottesville,104,City of Charlottesville,0.96,Bus US 29 Emmet St,Arlington Blvd,7500,G,97%,0%,2%,0%,0%,0%,C,0.0969,F,0.5355,8100,G,2008,,,,,,,,,,,,,,,
613246, 104,03400,     ,104-3400,Cleveland Ave,104,City of Charlottesville,104,City of Charlottesville,0.23,Jefferson Park Ave,Cherry Ave,3100,G,97%,0%,2%,0%,0%,0%,C,0.1021,F,0.5398,3300,G,2008,,,,,,,,,,,,,,,
613247, 104,03400,     ,104-3400,Cherry Ave,104,City of Charlottesville,104,City of Charlottesville,0.85,Cleveland Ave,Spring St,5500,G,98%,0%,1%,0%,0%,0%,C,0.0982,F,0.5900,5900,G,2008,,,,,,,,,,,,,,,
613248, 104,03400,     ,104-3400,Cherry Ave,104,City of Charlottesville,104,City of Charlottesville,0.68,Spring St,Ridge St,6300,G,98%,0%,2%,0%,0%,0%,F,0.0931,F,0.5694,6800,G,2008,,,,,,,,,,,,,,,
613600, 104,03400,     ,104-3400,Cherry Ave,104,City of Charlottesville,104,City of Charlottesville,0.25,Ridge St,1St Street,13000,G,98%,0%,2%,0%,0%,0%,F,0.0885,F,0.5471,14000,G,2008,,,,,,,,,,,,,,,
613251, 104,03400,     ,104-3400,Elliot Ave,104,City of Charlottesville,104,City of Charlottesville,0.28,1st Street,Avon St,12000,G,98%,0%,2%,0%,0%,0%,C,0.0930,F,0.5796,13000,G,2008,,,,,,,,,,,,,,,
613255, 104,03400,     ,104-3400,Elliot Ave,104,City of Charlottesville,104,City of Charlottesville,0.39,Avon St,Monticello Ave,4000,G,98%,0%,2%,0%,0%,0%,F,0.0875,F,0.7855,4300,G,2008,,,,,,,,,,,,,,,
613284, 104,03401,     ,104-3401,Old Lynchburg Rd,104,City of Charlottesville,104,City of Charlottesville,0.65,SCL Charlottesville,Jefferson Park Ave,4800,G,98%,0%,2%,0%,0%,0%,C,0.0949,F,0.6162,5100,G,2008,,,,,,,,,,,,,,,
613283, 104,03403,     ,104-3403,Harris Rd,104,City of Charlottesville,104,City of Charlottesville,0.63,5th St,Jefferson Park Ave,3500,G,99%,0%,1%,0%,0%,0%,C,0.1063,F,0.6196,3800,G,2008,,,,,,,,,,,,,,,
613285, 104,03403,     ,104-3403,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.27,Harris Rd,Old Lynchburg Rd,3700,G,99%,0%,1%,0%,0%,0%,F,0.0956,F,0.6093,4000,G,2008,,,,,,,,,,,,,,,
613286, 104,03403,     ,104-3403,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.16,Old Lynchburg Rd,Cleveland Ave,9100,G,99%,0%,1%,0%,0%,0%,F,0.0944,F,0.5940,9800,G,2008,,,,,,,,,,,,,,,
613244, 104,03403,     ,104-3403,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.38,Cleveland Ave,Bus US 29; Fontiane Ave,11000,G,99%,0%,1%,0%,0%,0%,C,0.0928,F,0.5804,12000,G,2008,,,,,,,,,,,,,,,
613289, 104,03403,     ,104-3403,Maury Ave,104,City of Charlottesville,104,City of Charlottesville,0.21,Bus US 29; Fontaine Ave,Stadium Rd,7700,G,99%,0%,1%,0%,0%,0%,F,0.0948,F,0.6819,8200,G,2008,,,,,,,,,,,,,,,
613231, 104,03403,     ,104-3403,Alderman Rd,104,City of Charlottesville,104,City of Charlottesville,0.05,Stadium Rd,Thompson Rd,8200,G,97%,0%,2%,0%,0%,0%,C,0.0943,F,0.5627,8900,G,2008,,,,,,,,,,,,,,,
613293, 104,03403,     ,104-3403,Alderman Rd,104,City of Charlottesville,104,City of Charlottesville,0.42,Thompson Rd,Bus US 250; Ivy Rd,12000,G,97%,0%,2%,0%,0%,0%,F,0.0946,F,0.5912,13000,G,2008,,,,,,,,,,,,,,,
613265, 104,03404,     ,104-3404,E Market St,104,City of Charlottesville,104,City of Charlottesville,0.48,9th St,Meade Ave,6200,G,98%,0%,1%,0%,0%,0%,C,0.1034,F,0.6691,6700,G,2008,,,,,,,,,,,,,,,
613264, 104,03405,     ,104-3405,5th St,104,City of Charlottesville,104,City of Charlottesville,1.42,SCL Charlottesville,Cherry Ave,18000,G,97%,0%,1%,1%,0%,0%,C,0.0934,F,0.6605,19000,G,2008,,,,,,,,,,,,,,,
613249, 104,03405,     ,104-3405,Ridge St,104,City of Charlottesville,104,City of Charlottesville,0.22,Cherry St,Dice St,14000,G,97%,0%,1%,0%,1%,0%,C,0.0878,F,0.7083,15000,G,2008,,,,,,,,,,,,,,,
613260, 104,03405,     ,104-3405,Ridge St,104,City of Charlottesville,104,City of Charlottesville,0.17,Dice St,Main St,19000,G,97%,0%,1%,0%,1%,0%,F,0.0808,F,0.6515,20000,G,2008,,,,,,,,,,,,,,,
613227, 104,03405,     ,104-3405,McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.64,US 250 Bus Preston Ave,Harris St,20000,G,97%,0%,1%,1%,1%,0%,F,0.0838,F,0.6529,21000,G,2008,,,,,,,,,,,,,,,
613215, 104,03405,     ,104-3405,McIntire Rd,104,City of Charlottesville,104,City of Charlottesville,0.18,Harris St,US 250 Bypass,19000,G,97%,0%,1%,1%,1%,0%,C,0.0820,F,0.6537,20000,G,2008,,,,,,,,,,,,,,,
613239, 104,03406,     ,104-3406,Water St,104,City of Charlottesville,104,City of Charlottesville,0.43,Bus US 250,7th St,5100,G,96%,0%,3%,0%,0%,0%,C,0.0975,F,0.5177,5500,G,2008,,,,,,,,,,,,,,,
613606, 104,03406,     ,104-3406,Water St,104,City of Charlottesville,104,City of Charlottesville,0.21,7th St,10th St,4800,G,94%,0%,5%,0%,0%,0%,C,0.0937,F,0.5157,5100,G,2008,,,,,,,,,,,,,,,
613282, 104,03407,     ,104-3407,Avon St,104,City of Charlottesville,104,City of Charlottesville,0.20,SCL Charlottesville,Rockland Ave,12000,G,97%,0%,2%,0%,0%,0%,C,0.0942,F,0.6507,13000,G,2008,,,,,,,,,,,,,,,
613258, 104,03407,     ,104-3407,Avon St,104,City of Charlottesville,104,City of Charlottesville,0.50,Rockland Ave,Monticello Ave,13000,G,97%,0%,2%,0%,0%,0%,F,0.0886,F,0.6595,14000,G,2008,,,,,,,,,,,,,,,
613266, 104,03409,     ,104-3409,Carlton Rd,104,City of Charlottesville,104,City of Charlottesville,0.46,Monticello Ave,Meade Ave,8900,G,95%,0%,2%,2%,1%,0%,C,0.0957,F,0.6087,9600,G,2008,,,,,,,,,,,,,,,
613601, 104,03409,     ,104-3409,Meade Ave,104,City of Charlottesville,104,City of Charlottesville,0.17,Carlton Rd,E Market St,11000,G,95%,0%,2%,2%,1%,0%,F,0.0902,F,0.5790,11000,G,2008,,,,,,,,,,,,,,,
613253, 104,03409,     ,104-3409,Meade Ave,104,City of Charlottesville,104,City of Charlottesville,0.46,E Market St,High St E,11000,G,95%,0%,2%,2%,1%,0%,F,0.0840,F,0.5089,12000,G,2008,,,,,,,,,,,,,,,
613233, 104,03410,     ,104-3410,Jefferson Park Ave,104,City of Charlottesville,104,City of Charlottesville,0.57,Emmet St,Main St,11000,G,96%,1%,3%,0%,0%,0%,C,0.0695,F,0.5604,12000,G,2008,,,,,,,,,,,,,,,
613271, 104,03411,     ,104-3411,Shamrock Rd,104,City of Charlottesville,104,City of Charlottesville,0.42,Cherry Ave,Jefferson Park Ave,2600,G,99%,0%,1%,0%,0%,0%,C,0.0941,F,0.5414,2800,G,2008,,,,,,,,,,,,,,,
613318, 104,03412,     ,104-3412,Locust Ave,104,City of Charlottesville,104,City of Charlottesville,0.29,E High St,Hazel St,8200,G,99%,0%,0%,0%,0%,0%,F,0.1013,F,0.6344,8800,G,2008,,,,,,,,,,,,,,,
613317, 104,03412,     ,104-3412,Locust Ave,104,City of Charlottesville,104,City of Charlottesville,0.25,Hazel St,US 250 Long St,8300,G,99%,0%,0%,0%,0%,0%,C,0.1031,F,0.6448,8900,G,2008,,,,,,,,,,,,,,,
613316, 104,03412,     ,104-3412,Locust Ave,104,City of Charlottesville,104,City of Charlottesville,0.21,US 250 Long St,Calhoun St,3800,G,99%,0%,0%,0%,0%,0%,F,0.1077,F,0.6960,4100,G,2008,,,,,,,,,,,,,,,
613315, 104,03412,     ,104-3412,Calhoun St,104,City of Charlottesville,104,City of Charlottesville,0.22,Locust Ave,Sheridan Ave,4300,G,98%,0%,1%,0%,0%,0%,C,0.1313,F,0.5444,4600,G,2008,,,,,,,,,,,,,,,
613314, 104,03412,     ,104-3412,Sheridan Ave,104,City of Charlottesville,104,City of Charlottesville,0.04,Calhoun St,North Ave,4000,G,98%,0%,1%,0%,0%,0%,F,0.1240,F,0.6403,4300,G,2008,,,,,,,,,,,,,,,
613313, 104,03412,     ,104-3412,North Ave,104,City of Charlottesville,104,City of Charlottesville,0.30,Sheridan Ave,Park St,3900,G,99%,0%,1%,0%,0%,0%,C,0.1217,F,0.6322,4200,G,2008,,,,,,,,,,,,,,,
613311, 104,03412,     ,104-3412,Melbourne Rd,104,City of Charlottesville,104,City of Charlottesville,0.77,Park St,Grove Rd,2500,G,97%,0%,2%,0%,0%,0%,C,0.1437,F,0.6021,2700,G,2008,,,,,,,,,,,,,,,
613310, 104,03412,     ,104-3412,Grove Rd,104,City of Charlottesville,104,City of Charlottesville,0.31,Melbourne Rd,Concord Dr,1400,G,97%,0%,2%,0%,0%,0%,C,0.1193,F,0.5593,1500,G,2008,,,,,,,,,,,,,,,
613306, 104,03412,     ,104-3412,Grove Rd,104,City of Charlottesville,104,City of Charlottesville,0.38,Concord Dr,US 250 Bypass,2600,G,98%,0%,2%,0%,0%,0%,C,0.1698,F,0.6123,2800,G,2008,,,,,,,,,,,,,,,
613305, 104,03412,     ,104-3412,Dairy Rd,104,City of Charlottesville,104,City of Charlottesville,0.40,US 250,Rugby Rd,2200,G,98%,0%,1%,0%,0%,0%,C,0.0995,F,0.6402,2400,G,2008,,,,,,,,,,,,,,,
613609, 104,03413,     ,104-3413,2nd Street South East,104,City of Charlottesville,104,City of Charlottesville,0.25,E South St,E Water St,3600,G,97%,1%,2%,0%,0%,0%,C,0.1107,F,0.5271,3900,G,2008,,,,,,,,,,,,,,,
613209, 104,03414,     ,104-3414,Rugby Ave,104,City of Charlottesville,104,City of Charlottesville,0.52,Rugby Rd,Rose Hill Dr,2300,G,99%,0%,1%,0%,0%,0%,C,0.0898,F,0.5752,2400,G,2008,,,,,,,,,,,,,,,
613210, 104,03414,     ,104-3414,Rugby Ave,104,City of Charlottesville,104,City of Charlottesville,0.36,Rose Hill Dr,US 250 Bypass,7500,G,99%,0%,1%,0%,0%,0%,F,0.0948,F,0.6271,8100,G,2008,,,,,,,,,,,,,,,
613234, 104,03415,     ,104-3415,9th St,104,City of Charlottesville,104,City of Charlottesville,0.18,King Street,Estes St,880,G,98%,0%,1%,0%,0%,0%,C,0.1529,F,0.5417,940,G,2008,,,,,,,,,,,,,,,
613301, 104,03416,     ,104-3416,Angus Rd,104,City of Charlottesville,104,City of Charlottesville,0.38,Ricky Rd,Emmet St,2800,G,98%,0%,1%,0%,0%,0%,C,0.0861,F,0.5115,3000,G,2008,,,,,,,,,,,,,,,
