708006,  12,01503,     ,12-1503,North Ave,178,Town of Brodnax,012,Brunswick County,0.08,US 58; 12-657 High St,12-1506 Pennington Ave,320,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
708007,  12,01503,     ,12-1503,North Ave,178,Town of Brodnax,012,Brunswick County,0.06,12-1506 Pennington Ave,NCL Brodnax,260,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
708009,  12,01504,     ,12-1504,Dugger St,178,Town of Brodnax,012,Brunswick County,0.09,Mecklenburg County Line,12-657 High St,150,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
708010,  12,01504,     ,12-1504,Dugger St,178,Town of Brodnax,012,Brunswick County,0.03,12-657 High St,12-1502 Cotton Lane,40,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
708011,  12,01505,     ,12-1505,Temple St,178,Town of Brodnax,012,Brunswick County,0.10,12-659 Main St,12-1502 Cotton Lane,90,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
708012,  12,01505,     ,12-1505,Richwood Dr,178,Town of Brodnax,012,Brunswick County,0.30,12-1502 Cotton Lane,ECL Brodnax,20,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
708013,  12,01506,     ,12-1506,Pennington Ave,178,Town of Brodnax,012,Brunswick County,0.11,12-1507 Church St,12-1503 North Ave,40,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
708014,  12,01507,     ,12-1507,Church St,178,Town of Brodnax,012,Brunswick County,0.06,12-657 Dorina Ave,12-1506 Pennington Ave,60,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
782193,  12,01510,     ,12-1510,Railroad St,178,Town of Brodnax,012,Brunswick County,0.07,58-1515; Mecklenburg County Line,12-659 Main St,120,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
708015,  12,01510,     ,12-1510,Railroad St,178,Town of Brodnax,012,Brunswick County,0.57,12-659 Main St,Dead End,150,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
708016,  12,01516,     ,12-1516,Marywood Dr,178,Town of Brodnax,012,Brunswick County,0.01,Mecklenburg County Line,12-659 Main St,90,R,,,,,,,X,,,,,,03/19/2007,,,,,,,,,,,,,,,
753544,  58,01501,     ,58-1501,Kerr Dr,178,Town of Brodnax,058,Mecklenburg County,0.06,Dead End,Brunswick County Line,130,R,,,,,,,X,,,,,,09/04/2007,,,,,,,,,,,,,,,
753551,  58,01504,     ,58-1504,Dugger St,178,Town of Brodnax,058,Mecklenburg County,0.22,58-1524 Donna Dr,Brunswick County Line,100,R,,,,,,,X,,,,,,09/04/2007,,,,,,,,,,,,,,,
782543,  58,01515,     ,58-1515,Railroad St,178,Town of Brodnax,058,Mecklenburg County,0.43,Dead End,Brunswick County Line; 12-1510,100,R,,,,,,,X,,,,,,09/04/2007,,,,,,,,,,,,,,,
753565,  58,01516,     ,58-1516,Marywood Dr,178,Town of Brodnax,058,Mecklenburg County,0.24,58-1524 Donna Dr,Brunswick County Line,70,R,,,,,,,X,,,,,,09/04/2007,,,,,,,,,,,,,,,
753575,  58,01524,     ,58-1524,Donna Dr,178,Town of Brodnax,058,Mecklenburg County,0.09,58-1516 Marywood Dr,58-1504 Dugger St,40,R,,,,,,,X,,,,,,09/04/2007,,,,,,,,,,,,,,,
753576,  58,01525,     ,58-1525,Virginia Rd,178,Town of Brodnax,058,Mecklenburg County,0.09,58-1516 Marywood Dr,58-1504 Dugger St,30,R,,,,,,,X,,,,,,09/04/2007,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
