672238,  US,00011,     ,,Commerce Rd,132,City of Staunton,132,City of Staunton,0.68,"US 250, SR 254",SR 254 New Hope Rd,2700,G,97%,1%,1%,1%,1%,0%,C,0.0927,F,0.5839,2900,G,2009,,,,,,,,,,,,,,,
672244,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,0.15,SR 254 New Hope Rd,SR 261 Statler Blvd,2700,G,97%,1%,1%,1%,1%,0%,F,0.0986,F,0.5458,3000,G,2009,,,,,,,,,,,,,,,
672211,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,1.25,SR 261 Statler Blvd,Bells Lane,6000,G,95%,0%,1%,2%,1%,0%,F,0.0941,F,0.5056,6500,G,2009,,,,,,,,,,,,,,,
672214,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,0.67,Bells Lane,Bus US 11,5500,G,95%,0%,1%,2%,1%,0%,C,0.0956,F,0.5679,6000,G,2009,,,,,,,,,,,,,,,
672260,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,0.49,Bus US 11,SR 262 Woodrow Wilson Pkwy,13000,G,97%,0%,1%,1%,1%,0%,C,0.0937,F,0.5058,14000,G,2009,,,,,,,,,,,,,,,
672331,  US,00011,     ,US 11,Commerce Rd,132,City of Staunton,132,City of Staunton,0.88,SR 262 Woodrow Wilson Pkwy,NCL Staunton,16000,G,97%,0%,1%,1%,1%,0%,F,0.0909,F,0.5650,17000,G,2009,,,,,,,,,,,,,,,
080283,  US,00011,     ,US 11,Lee Highway,007,Augusta County,007,Augusta County,0.47,NCL Staunton,Functional Class Change,14000,G,96%,1%,1%,1%,1%,0%,C,0.0911,F,0.5070,15000,G,2009,,,,,,,,,,,,,,,
080614,  US,00011,     ,US 11,Lee Highway,007,Augusta County,007,Augusta County,0.62,Functional Class Change,07-612 Verona,14000,N,96%,1%,1%,1%,1%,0%,N,0.0911,N,0.5070,15000,N,2009,,,,,,,,,,,,,,,
080282,  US,00011,     ,US 11,Lee Highway,007,Augusta County,007,Augusta County,5.17,07-612 Verona,07-750 Keezletown Road,7400,G,96%,1%,1%,1%,1%,0%,F,0.1057,F,0.5524,7800,G,2009,,,,,,,,,,,,,,,
080281,  US,00011,     ,US 11,Lee Highway,007,Augusta County,007,Augusta County,2.12,07-750 Keezletown Road,SR 256 South of Burketown,5400,G,96%,1%,1%,1%,1%,0%,F,0.0967,F,0.6620,5600,G,2009,,,,,,,,,,,,,,,
080148,  US,00011,     ,US 11,Lee Highway,007,Augusta County,007,Augusta County,1.90,SR 256 South of Burketown,Rockingham County Line,5500,G,96%,1%,1%,1%,1%,0%,F,0.1015,F,0.6194,5800,G,2009,,,,,,,,,,,,,,,
672333,C1US,00011,     ,,Johnson St,132,City of Staunton,132,City of Staunton,0.18,US 11; Coalter St,New St,11000,G,98%,0%,1%,0%,0%,0%,F,0.0795,F,0.6417,11000,G,2009,,,,,,,,,,,,,,,
672233,C1US,00011,     ,,New St,132,City of Staunton,132,City of Staunton,0.17,Johnson St,Frederick St,1500,G,98%,1%,1%,0%,0%,0%,F,0.1143,F,1.0000,1600,G,2009,,6600,G,98%,0%,1%,0%,0%,0%,F,,,,7100,G
672221,C1US,00011,     ,,New St,132,City of Staunton,132,City of Staunton,0.36,Frederick St,Churchville Ave,1100,G,98%,1%,1%,0%,0%,0%,C,0.0961,F,1.0000,1200,G,2009,,6600,G,98%,0%,1%,0%,0%,0%,C,,,,7200,G
672225,C1US,00011,     ,,Augusta St,132,City of Staunton,132,City of Staunton,0.02,Churchville Ave,Sunnyside St,8700,N,98%,1%,1%,1%,0%,0%,N,0.0847,N,0.6012,9400,N,2009,,,,,,,,,,,,,,,
672212,C1US,00011,     ,Bus US 11,Augusta St,132,City of Staunton,132,City of Staunton,0.41,Churchville Ave,Edgewood Rd,7900,G,98%,0%,1%,0%,0%,0%,F,0.0944,F,0.5046,8600,G,2009,,,,,,,,,,,,,,,
672332,C1US,00011,     ,Bus US 11,Augusta St,132,City of Staunton,132,City of Staunton,0.28,Edgewood Rd,Lambert St,9600,G,98%,0%,1%,0%,0%,0%,F,0.0921,F,0.5063,10000,G,2009,,,,,,,,,,,,,,,
672208,C1US,00011,     ,Bus US 11,Augusta St,132,City of Staunton,132,City of Staunton,1.14,Lambert St,Coalter St,5300,G,98%,0%,1%,0%,0%,0%,C,0.0956,F,0.5018,5700,G,2009,,,,,,,,,,,,,,,
672209,C1US,00011,     ,Bus US 11,Augusta St,132,City of Staunton,132,City of Staunton,0.71,Coalter St,US 11 Commerce Rd,7200,G,98%,0%,1%,0%,0%,0%,F,0.0970,F,0.5515,7800,G,2009,,,,,,,,,,,,,,,
080051,  SR,00042,     ,VA 42,Little Calf Pasture Hwy,007,Augusta County,007,Augusta County,0.38,Rockbridge County Line,07-687 Railroad Ave,1800,N,95%,0%,1%,1%,3%,0%,N,0.0911,N,0.5355,1900,N,2009,,,,,,,,,,,,,,,
080050,  SR,00042,     ,VA 42,Little Calf Pasture Hwy,007,Augusta County,007,Augusta County,1.91,07-687 Railroad Ave,SCL Craigsville,1800,G,95%,0%,1%,1%,3%,0%,F,0.0911,F,0.5355,1900,G,2009,,,,,,,,,,,,,,,
080055,  SR,00042,     ,VA 42,Craig St,202,Town of Craigsville,007,Augusta County,0.58,SCL Craigsville,07-1101 Hidy St,1800,N,95%,0%,1%,1%,3%,0%,N,0.0911,N,0.5355,1900,N,2009,,,,,,,,,,,,,,,
080048,  SR,00042,     ,VA 42,Craig St,202,Town of Craigsville,007,Augusta County,1.12,07-1101 Hidy St,NCL Craigsville,3000,G,94%,1%,2%,1%,2%,0%,C,0.0904,F,0.6325,3200,G,2009,,,,,,,,,,,,,,,
080049,  SR,00042,     ,VA 42,Little Calf Pasture Hwy,007,Augusta County,007,Augusta County,3.06,NCL Craigsville,07-811,3000,N,94%,1%,2%,1%,2%,0%,N,0.0904,N,0.6325,3200,N,2009,,,,,,,,,,,,,,,
080290,  SR,00042,     ,VA 42,Little Calf Pasture Hwy,007,Augusta County,007,Augusta County,7.37,07-811,07-688 Old Parkersburg Tpke,3100,G,94%,1%,2%,1%,2%,0%,F,0.0929,F,0.7053,3300,G,2009,,,,,,,,,,,,,,,
080613,  SR,00042,     ,VA 42,Parkersburg Tpke,007,Augusta County,007,Augusta County,0.81,07-688 Old Parkersburg Tpke,SR 254; Buffalo Gap Hwy,3100,N,94%,1%,2%,1%,2%,0%,N,0.0929,N,0.7053,3300,N,2009,,,,,,,,,,,,,,,
080289,  SR,00042,     ,VA 42,Buffalo Gap Hwy,007,Augusta County,007,Augusta County,2.43,SR 254 Parkersburg Tpke,07-720 Morris Mill Rd; Dry Branch Rd,2100,G,93%,2%,2%,1%,1%,0%,C,0.1303,F,0.7333,2200,G,2009,,,,,,,,,,,,,,,
080288,  SR,00042,     ,VA 42,Buffalo Gap Hwy,007,Augusta County,007,Augusta County,2.82,07-720 Morris Mill Rd; Dry Branch Rd,US 250 Churchville,3600,G,93%,2%,2%,1%,1%,0%,F,0.1011,F,0.5732,3800,G,2009,,,,,,,,,,,,,,,
080306,  SR,00042,     ,, ,007,Augusta County,007,Augusta County,0.47,US 250 Churchville,US 250 North of Churchville,5500,G,97%,1%,1%,1%,1%,0%,F,0.0873,F,0.5839,5800,G,2009,,,,,,,,,,,,,,,
080287,  SR,00042,     ,VA 42,Scenic Hwy,007,Augusta County,007,Augusta County,8.06,US 250 North of Churchville,07-607 Mount Solon Rd; Moscow Loop,1600,G,96%,1%,1%,1%,1%,0%,C,0.0839,F,0.6541,1700,G,2009,,,,,,,,,,,,,,,
080046,  SR,00042,     ,VA 42,Scenic Hwy,007,Augusta County,007,Augusta County,4.62,07-607 Mount Solon Rd; Moscow Loop,07-809 Iron Works Rd,2400,G,96%,1%,1%,1%,1%,0%,F,0.0888,F,0.7086,2500,G,2009,,,,,,,,,,,,,,,
080047,  SR,00042,     ,VA 42,Iron Works Rd,007,Augusta County,007,Augusta County,0.79,07-809; Scenic Hwy,Rockingham County Line,2400,N,96%,1%,1%,1%,1%,0%,N,0.0888,N,0.7086,2500,N,2009,,,,,,,,,,,,,,,
787367,  SR,00048,     ,VA 48,Blue Ridge Parkway,007,Augusta County,US ,Federal,15.97,Nelson County Line,US 250,480,O,,,,,,,X,,,,,,2009,,,,,,,,,,,,,,,
787368,  SR,00048,     ,VA 48,Skyline Dr,007,Augusta County,US ,Federal,18.17,US 250,Albemarle County Line,390,O,,,,,,,X,,,,,,2009,,,,,,,,,,,,,,,
080291,  SR,00056,     ,VA 56,Tye River Turnpike,007,Augusta County,007,Augusta County,0.17,US 11 Steeles Tavern,Rockbridge County Line,1200,G,98%,0%,1%,0%,0%,0%,F,0.0953,F,0.5492,1300,G,2009,,,,,,,,,,,,,,,
980254,  IS,00064,E    ,, ,007,Augusta County,007,Augusta County,7.44,Rockbridge County Line,US 11,21000,F,65%,1%,1%,1%,31%,2%,C,0.1290,A,1.0000,19000,F,2009,,41000,F,68%,1%,1%,1%,27%,2%,C,,,,38000,F
080252,  IS,00064,E    ,, ,007,Augusta County,007,Augusta County,4.74,US 11,07-654,24000,G,65%,1%,1%,1%,31%,2%,F,,,,28000,G,2009,,45000,G,68%,1%,1%,1%,28%,2%,F,,,,52000,G
080297,  IS,00064,E    ,, ,007,Augusta County,007,Augusta County,2.47,07-654,SR 262,23000,A,65%,1%,1%,1%,31%,2%,F,0.1254,A,1.0000,22000,A,2009,,45000,A,68%,1%,1%,1%,27%,2%,F,0.1098,A,0.5635,43000,A
080248,  IS,00064,E    ,, ,007,Augusta County,007,Augusta County,1.31,SR 262,I-81 East Interchange,30000,G,65%,1%,1%,1%,31%,2%,F,,,,21000,G,2009,,59000,G,68%,1%,1%,1%,27%,2%,F,,,,47000,G
080563,  IS,00064,E    ,I-64 EB,Ramp from I-81 N Exit 221 to 64 E at Exit 87,007,Augusta County,007,Augusta County,0.31,I-81 North,I-64 East,6800,F,89%,1%,1%,1%,9%,0%,F,,,,6600,F,2009,,16000,F,89%,1%,1%,1%,9%,0%,F,,,,16000,F
080292,  IS,00064,E    ,I-64 EB, ,007,Augusta County,007,Augusta County,3.83,I-81 North Interchange,SR 285 Tinkling Spring Rd,15000,F,89%,1%,1%,1%,9%,0%,F,,,,15000,F,2009,,35000,G,89%,1%,1%,1%,9%,0%,F,,,,19000,G
080246,  IS,00064,E    ,I-64 EB, ,007,Augusta County,007,Augusta County,3.11,SR 285 Tinkling Spring Rd,WCL Waynesboro,17000,G,89%,1%,1%,1%,9%,0%,F,,,,4400,G,2009,,35000,G,89%,1%,1%,1%,9%,0%,F,,,,22000,G
080245,  IS,00064,E    ,I-64 EB, ,136,City of Waynesboro,007,Augusta County,0.23,WCL Waynesboro,US 340 Stuarts Draft Hwy,17000,G,89%,1%,1%,1%,9%,0%,F,,,,4400,G,2009,,35000,G,89%,1%,1%,1%,9%,0%,F,,,,22000,G
080244,  IS,00064,E    ,I-64 EB, ,136,City of Waynesboro,007,Augusta County,1.95,US 340 Stuarts Draft Hwy,"Delphine Ave, To 07-624",18000,B,89%,1%,1%,1%,9%,0%,C,0.1088,A,1.0000,17000,B,2009,,36000,B,89%,1%,1%,1%,9%,0%,C,0.1087,A,0.5319,35000,B
080294,  IS,00064,E    ,I-64 EB, ,136,City of Waynesboro,007,Augusta County,0.70,"Delphine Ave, To 07-624",ECL Waynesboro,16000,G,89%,1%,1%,1%,9%,0%,F,,,,20000,G,2009,,31000,G,89%,1%,1%,1%,9%,0%,F,,,,26000,G
080293,  IS,00064,E    ,I-64 EB, ,007,Augusta County,007,Augusta County,2.31,ECL Waynesboro,US 250 Rockfish Gap Tpke,16000,G,89%,1%,1%,1%,9%,0%,F,,,,20000,G,2009,,31000,G,89%,1%,1%,1%,9%,0%,F,,,,26000,G
080296,  IS,00064,E    ,I-64 EB, ,007,Augusta County,007,Augusta County,0.38,US 250 Rockfish Gap Tpke,Nelson County Line,14000,G,89%,1%,1%,1%,9%,0%,F,,,,14000,G,2009,,29000,G,89%,1%,1%,1%,9%,0%,F,,,,28000,G
180011,  IS,00064,W    ,, ,007,Augusta County,007,Augusta County,7.96,Rockbridge County Line,US 11,21000,B,72%,1%,1%,1%,24%,2%,C,0.1192,A,1.0000,19000,B,2009,,41000,F,68%,1%,1%,1%,27%,2%,C,,,,38000,F
180033,  IS,00064,W    ,, ,007,Augusta County,007,Augusta County,4.64,US 11,07-654,21000,G,72%,1%,1%,1%,24%,2%,F,,,,24000,G,2009,,45000,G,68%,1%,1%,1%,28%,2%,F,,,,52000,G
180032,  IS,00064,W    ,, ,007,Augusta County,007,Augusta County,2.56,07-654,SR 262,23000,A,72%,1%,1%,1%,24%,2%,F,0.1175,A,1.0000,21000,A,2009,,45000,A,68%,1%,1%,1%,27%,2%,F,0.1098,A,0.5635,43000,A
180030,  IS,00064,W    ,, ,007,Augusta County,007,Augusta County,0.65,SR 262,I-81 East Interchange,29000,G,72%,1%,1%,1%,24%,2%,F,,,,25000,G,2009,,59000,G,68%,1%,1%,1%,27%,2%,F,,,,47000,G
180103,  IS,00064,W    ,I-64 WB,Ramp from I-64 W Exit 87 to I-81 S at Exit 221,007,Augusta County,007,Augusta County,0.68,I-81 South,I-64 West,9700,F,89%,1%,1%,1%,9%,0%,F,,,,9600,F,2009,,16000,F,89%,1%,1%,1%,9%,0%,F,,,,16000,F
180057,  IS,00064,W    ,I-64 WB, ,007,Augusta County,007,Augusta County,4.18,I-81 North Interchange,SR 285 Tinkling Spring Rd,20000,G,89%,1%,1%,1%,9%,0%,F,,,,4400,G,2009,,35000,G,89%,1%,1%,1%,9%,0%,F,,,,19000,G
880058,  IS,00064,W    ,I-64 WB, ,007,Augusta County,007,Augusta County,2.62,SR 285 Tinkling Spring Rd,WCL Waynesboro,18000,G,89%,1%,1%,1%,9%,0%,F,,,,17000,G,2009,,35000,G,89%,1%,1%,1%,9%,0%,F,,,,22000,G
180058,  IS,00064,W    ,I-64 WB, ,136,City of Waynesboro,007,Augusta County,0.43,WCL Waynesboro,US 340 Stuarts Draft Hwy,18000,G,89%,1%,1%,1%,9%,0%,F,,,,17000,G,2009,,35000,G,89%,1%,1%,1%,9%,0%,F,,,,22000,G
880060,  IS,00064,W    ,I-64 WB, ,136,City of Waynesboro,007,Augusta County,2.15,US 340 Stuarts Draft Hwy,"Delphine Ave, To 07-624",18000,A,89%,1%,1%,1%,9%,0%,C,0.1177,A,1.0000,17000,A,2009,,36000,B,89%,1%,1%,1%,9%,0%,C,0.1087,A,0.5319,35000,B
180060,  IS,00064,W    ,I-64 WB, ,136,City of Waynesboro,007,Augusta County,0.30,"Delphine Ave, To 07-624",ECL Waynesboro,16000,G,89%,1%,1%,1%,9%,0%,F,,,,5300,G,2009,,31000,G,89%,1%,1%,1%,9%,0%,F,,,,26000,G
180059,  IS,00064,W    ,I-64 WB, ,007,Augusta County,007,Augusta County,2.47,ECL Waynesboro,US 250 Rockfish Gap Tpke,16000,G,89%,1%,1%,1%,9%,0%,F,,,,5300,G,2009,,31000,G,89%,1%,1%,1%,9%,0%,F,,,,26000,G
880061,  IS,00064,W    ,I-64 WB, ,007,Augusta County,007,Augusta County,0.18,US 250 Rockfish Gap Tpke,Nelson County Line,15000,F,89%,1%,1%,1%,9%,0%,F,,,,15000,F,2009,,29000,G,89%,1%,1%,1%,9%,0%,F,,,,28000,G
781091,  IS,00064,W087A,I-64 WB Exit 087A,Ramp from I-64 W Exit 87A to I-81 N,007,Augusta County,007,Augusta County,0.33,I-64 West,I-81 North,10000,G,89%,1%,1%,1%,9%,0%,F,,,,320,G,2009,,19000,G,89%,1%,1%,1%,9%,0%,F,0.0000,?,0.0000,8800,G
781092,  IS,00064,W091A,I-64 WB Exit 091A,Ramp from I-64 W Exit 91A to SR 285,007,Augusta County,007,Augusta County,0.23,I-64 West,SR 285 Tinkling Spring Rd,3000,G,94%,0%,1%,1%,3%,1%,C,0.0944,F,1.0000,3000,G,2009,,,,,,,,,,,,,,,
980254,  IS,00081,N    ,, ,007,Augusta County,007,Augusta County,7.44,Rockbridge County Line,US 11 Lee Jackson Memorial Hwy,21000,F,65%,1%,1%,1%,31%,2%,C,0.1290,A,1.0000,19000,F,2009,,41000,F,68%,1%,1%,1%,27%,2%,C,,,,38000,F
080252,  IS,00081,N    ,, ,007,Augusta County,007,Augusta County,4.74,US 11 Lee Jackson Memorial Hwy,07-654 White Hill Rd,24000,G,65%,1%,1%,1%,31%,2%,F,,,,28000,G,2009,,45000,G,68%,1%,1%,1%,28%,2%,F,,,,52000,G
080297,  IS,00081,N    ,, ,007,Augusta County,007,Augusta County,2.47,07-654 White Hill Rd,SR 262,23000,A,65%,1%,1%,1%,31%,2%,F,0.1254,A,1.0000,22000,A,2009,,45000,A,68%,1%,1%,1%,27%,2%,F,0.1098,A,0.5635,43000,A
080248,  IS,00081,N    ,, ,007,Augusta County,007,Augusta County,1.31,SR 262,I-64 North Interchange,30000,G,65%,1%,1%,1%,31%,2%,F,,,,21000,G,2009,,59000,G,68%,1%,1%,1%,27%,2%,F,,,,47000,G
080250,  IS,00081,N    ,I-81 NB, ,007,Augusta County,007,Augusta County,1.14,I-64 North Interchange,US 250 Jefferson Hwy,27000,G,75%,1%,1%,1%,21%,1%,F,,,,17000,G,2009,,53000,G,76%,1%,1%,1%,20%,1%,F,,,,43000,G
080298,  IS,00081,N    ,I-81 NB, ,007,Augusta County,007,Augusta County,2.72,US 250 Jefferson Hwy,SR 262 Woodrow Wilson Pkwy,26000,G,75%,1%,1%,1%,21%,1%,F,,,,15000,G,2009,,50000,G,76%,1%,1%,1%,20%,1%,F,,,,39000,G
180067,  IS,00081,N    ,I-81 NB, ,007,Augusta County,007,Augusta County,2.08,SR 262 Woodrow Wilson Pkwy,07-612 Laurel Hill Rd,25000,G,75%,1%,1%,1%,21%,1%,F,,,,19000,G,2009,,50000,G,76%,1%,1%,1%,20%,1%,F,,,,38000,G
080299,  IS,00081,N    ,I-81 NB, ,007,Augusta County,007,Augusta County,7.73,07-612 Laurel Hill Rd,SR 256 Weyers Cave Rd,23000,A,75%,1%,1%,1%,21%,1%,F,0.1086,A,1.0000,23000,A,2009,,46000,A,76%,1%,1%,1%,20%,1%,F,0.1028,A,0.5396,45000,A
080300,  IS,00081,N    ,I-81 NB, ,007,Augusta County,007,Augusta County,1.84,SR 256 Weyers Cave Rd,Rockingham County Line,24000,F,75%,1%,1%,1%,21%,1%,F,,,,24000,F,2009,,48000,F,76%,1%,1%,1%,20%,1%,F,,,,48000,F
180011,  IS,00081,S    ,, ,007,Augusta County,007,Augusta County,7.96,Rockbridge County Line,US 11 Lee Jackson Memorial Hwy,21000,B,72%,1%,1%,1%,24%,2%,C,0.1192,A,1.0000,19000,B,2009,,41000,F,68%,1%,1%,1%,27%,2%,C,,,,38000,F
180033,  IS,00081,S    ,, ,007,Augusta County,007,Augusta County,4.64,US 11 Lee Jackson Memorial Hwy,07-654 White Hill Rd,21000,G,72%,1%,1%,1%,24%,2%,F,,,,24000,G,2009,,45000,G,68%,1%,1%,1%,28%,2%,F,,,,52000,G
180032,  IS,00081,S    ,, ,007,Augusta County,007,Augusta County,2.56,07-654 White Hill Rd,SR 262,23000,A,72%,1%,1%,1%,24%,2%,F,0.1175,A,1.0000,21000,A,2009,,45000,A,68%,1%,1%,1%,27%,2%,F,0.1098,A,0.5635,43000,A
180030,  IS,00081,S    ,, ,007,Augusta County,007,Augusta County,0.65,SR 262,I-64 North Interchange,29000,G,72%,1%,1%,1%,24%,2%,F,,,,25000,G,2009,,59000,G,68%,1%,1%,1%,27%,2%,F,,,,47000,G
180031,  IS,00081,S    ,I-81 SB, ,007,Augusta County,007,Augusta County,1.36,I-64 North Interchange,US 250 Jefferson Hwy,26000,G,77%,1%,1%,1%,19%,1%,F,,,,26000,G,2009,,53000,G,76%,1%,1%,1%,20%,1%,F,,,,43000,G
180029,  IS,00081,S    ,I-81 SB, ,007,Augusta County,007,Augusta County,3.10,US 250 Jefferson Hwy,SR 262 Woodrow Wilson Pkwy,25000,G,77%,1%,1%,1%,19%,1%,F,,,,24000,G,2009,,50000,G,76%,1%,1%,1%,20%,1%,F,,,,39000,G
180028,  IS,00081,S    ,I-81 SB, ,007,Augusta County,007,Augusta County,2.11,SR 262 Woodrow Wilson Pkwy,07-612 Laurel Hill Rd,25000,G,77%,1%,1%,1%,19%,1%,F,,,,20000,G,2009,,50000,G,76%,1%,1%,1%,20%,1%,F,,,,38000,G
180027,  IS,00081,S    ,I-81 SB, ,007,Augusta County,007,Augusta County,7.56,07-612 Laurel Hill Rd,SR 256 Weyers Cave Rd,23000,A,77%,1%,1%,1%,19%,1%,F,0.1112,A,1.0000,22000,A,2009,,46000,A,76%,1%,1%,1%,20%,1%,F,0.1028,A,0.5396,45000,A
880025,  IS,00081,S    ,I-81 SB, ,007,Augusta County,007,Augusta County,1.53,SR 256 Weyers Cave Rd,Rockingham County Line,25000,F,77%,1%,1%,1%,19%,1%,F,,,,24000,F,2009,,48000,F,76%,1%,1%,1%,20%,1%,F,,,,48000,F
781199,  IS,00081,S221A,I-81 SB Exit 221A,Ramp,007,Augusta County,007,Augusta County,0.48,I-81 South,I-64 East,8300,F,89%,1%,1%,1%,9%,0%,F,,,,8500,F,2009,,19000,G,89%,1%,1%,1%,9%,0%,F,0.0000,?,0.0000,8800,G
080307,  US,00250,     ,US 250,Hankey Mountain Hwy,007,Augusta County,007,Augusta County,6.50,Highland County Line,07-629 Deerfield Rd,950,G,91%,1%,3%,0%,4%,0%,C,0.1009,F,0.7043,990,G,2009,,,,,,,,,,,,,,,
080052,  US,00250,     ,US 250,Hankey Mountain Hwy,007,Augusta County,007,Augusta County,6.86,07-629 Deerfield Rd,07-736 Jennings Gap Rd,2300,G,95%,1%,1%,1%,2%,0%,F,0.0893,F,0.7207,2400,G,2009,,,,,,,,,,,,,,,
080566,  US,00250,     ,US 250,Hankey Mountain Hwy,007,Augusta County,007,Augusta County,3.16,07-736 Jennings Gap Rd,SR 42 Scenic Hwy,2600,G,95%,1%,1%,1%,2%,0%,C,0.0900,F,0.6245,2800,G,2009,,,,,,,,,,,,,,,
080306,  US,00250,     ,, ,007,Augusta County,007,Augusta County,0.47,"SR 42 W, Scenic Hwy","SR 42 E, Buffalo Gap Hwy",5500,G,97%,1%,1%,1%,1%,0%,F,0.0873,F,0.5839,5800,G,2009,,,,,,,,,,,,,,,
080150,  US,00250,     ,US 250,Churchville Ave,007,Augusta County,007,Augusta County,3.45,"SR 42 E, Buffalo Gap Hwy",07-732 Franks Mill Rd,6600,G,97%,1%,1%,1%,1%,0%,C,0.0885,F,0.6815,7000,G,2009,,,,,,,,,,,,,,,
080305,  US,00250,     ,US 250,Churchville Ave,007,Augusta County,007,Augusta County,1.48,07-732 Franks Mill Rd,WCL Staunton,7000,G,97%,1%,1%,1%,1%,0%,F,0.0909,F,0.6986,7300,G,2009,,,,,,,,,,,,,,,
080596,  US,00250,     ,US 250,Churchville Ave,132,City of Staunton,132,City of Staunton,0.04,WCL Staunton,SR 262 Woodrow Wilson Pkwy,7000,N,97%,1%,1%,1%,1%,0%,N,0.0909,N,0.6986,7300,N,2009,,,,,,,,,,,,,,,
672224,  US,00250,     ,US 250,Churchville Ave,132,City of Staunton,132,City of Staunton,0.79,SR 262 Woodrow Wilson Pkwy,Englewood Dr Near Hevener St,4700,G,97%,1%,1%,0%,0%,0%,F,0.0940,F,0.5523,5100,G,2009,,,,,,,,,,,,,,,
672201,  US,00250,     ,US 250,Churchville Ave,132,City of Staunton,132,City of Staunton,0.40,Englewood Dr Near Hevener St,Grubert Ave,8000,G,97%,1%,1%,0%,0%,0%,C,0.0917,F,0.5516,8600,G,2009,,,,,,,,,,,,,,,
