Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
658051,  SR,00036,     ,,Wythe St,123,City of Petersburg,123,City of Petersburg,0.20,ALT US 301 Sycamore St,Bus US 460,12000,G,96%,1%,1%,1%,1%,0%,F,,,,13000,G,2009,,27000,G,95%,1%,1%,1%,2%,0%,F,,,,29000,G
658049,  SR,00036,     ,,Wythe St,123,City of Petersburg,123,City of Petersburg,0.20,Bus US 460,"I-85, I-95",16000,G,97%,1%,1%,1%,1%,0%,C,0.0872,F,1.0000,17000,G,2009,,31000,G,95%,1%,1%,1%,2%,0%,F,,,,34000,G
140095,  SR,00036,     ,,Wythe St,123,City of Petersburg,123,City of Petersburg,0.30,"I-85, I-95",South Crater Rd,11000,G,97%,1%,1%,1%,1%,0%,F,0.0792,F,1.0000,12000,G,2009,,24000,G,95%,1%,1%,1%,2%,0%,F,,,,26000,G
658048,  SR,00036,     ,VA 36,Wythe St,123,City of Petersburg,123,City of Petersburg,0.43,"US 301, Bus US 460 Crater Rd","SR 36 Par, Washington St; Amelia St",9900,G,97%,0%,1%,1%,1%,0%,F,,,,11000,G,2009,,21000,G,97%,0%,1%,1%,1%,0%,F,,,,22000,G
140103,  SR,00036,     ,VA 36,Washington St,123,City of Petersburg,123,City of Petersburg,0.87,SR 36 Par; Wythe St; Amelia St,Puddledock Rd,20000,G,97%,0%,1%,1%,1%,0%,F,0.0809,F,0.0000,22000,G,2009,,,,,,,,,,,,,,,
140127,  SR,00036,     ,VA 36,Washington St,123,City of Petersburg,123,City of Petersburg,0.58,Puddledock Rd,Prince George County Line,16000,G,97%,0%,1%,1%,1%,0%,F,0.0785,F,0.0000,18000,G,2009,,,,,,,,,,,,,,,
658100, 1SR,00036,P    ,,Old St,123,City of Petersburg,123,City of Petersburg,0.13,SR 36; Market St,Sycamore St,3500,G,97%,1%,1%,0%,0%,0%,F,0.0943,F,0.0000,3800,G,2009,,,,,,,,,,,,,,,
658045, 1SR,00036,P    ,,Sycamore St,123,City of Petersburg,123,City of Petersburg,0.04,Old St,Bollingbrook St,3400,G,97%,1%,1%,0%,0%,0%,F,0.0935,F,0.0000,3700,G,2009,,,,,,,,,,,,,,,
658057, 1SR,00036,P    ,,Bollingbrook St,123,City of Petersburg,123,City of Petersburg,0.10,Sycamore St,"US 1, US 301 2nd St",3500,G,97%,1%,1%,0%,0%,0%,F,0.0880,F,0.7724,3800,G,2009,,,,,,,,,,,,,,,
658043, 1SR,00036,P    ,,Bollingbrook St,123,City of Petersburg,123,City of Petersburg,0.08,"US 1 Par, 2nd St","US 1, ALT US 301 3rd St",4600,G,98%,0%,1%,0%,0%,0%,F,0.1221,F,0.8499,5100,G,2009,,,,,,,,,,,,,,,
