070350,  US,00211,     ,US 211,Lee Highway,023,Culpeper County,078,Rappahannock County,2.95,Rappahannock County Line,SR 229 Rixeyville Rd,7300,G,97%,1%,1%,1%,1%,0%,C,,,,8100,G,2009,,,,,,,,,,,,,,,
070349,  US,00211,     ,US 211,Lee Highway,023,Culpeper County,078,Rappahannock County,0.95,SR 229 Rixeyville Rd,Fauquier County Line,14000,G,97%,1%,1%,0%,0%,0%,F,,,,14000,G,2009,,,,,,,,,,,,,,,
070068,C2US,00211,     ,,Main St,078,Rappahannock County,078,Rappahannock County,0.72,US 211 South of Wahington,SCL Washington,1100,G,98%,0%,1%,0%,0%,0%,C,,,,1100,G,2009,,,,,,,,,,,,,,,
070069,C2US,00211,     ,,Main St,322,Town of Washington,078,Rappahannock County,0.37,SCL Washington,78-628 Middle St,1100,N,98%,0%,1%,0%,0%,0%,N,,,,1100,N,2009,,,,,,,,,,,,,,,
070073,C2US,00211,     ,,Warren St,322,Town of Washington,078,Rappahannock County,0.26,78-628 Main St,ECL Washington,1100,N,98%,0%,1%,0%,0%,0%,N,,,,1100,N,2009,,,,,,,,,,,,,,,
070071,C2US,00211,     ,, ,078,Rappahannock County,078,Rappahannock County,0.15,ECL Washington,US 211 East of Washington,1100,N,98%,0%,1%,0%,0%,0%,N,,,,1100,N,2009,,,,,,,,,,,,,,,
070072,  SR,00231,     ,VA 231,F T Valley Rd,078,Rappahannock County,078,Rappahannock County,8.19,Madison County Line,US 522 Sperryville Pike,1400,G,94%,0%,2%,2%,3%,0%,F,,,,1400,G,2009,,,,,,,,,,,,,,,
070355,  US,00522,     ,US 522,Zachary Taylor Ave,078,Rappahannock County,078,Rappahannock County,4.67,Culpeper County Line,78-618 Hawlin Rd,2000,G,97%,1%,1%,1%,1%,0%,F,,,,2000,G,2009,,,,,,,,,,,,,,,
170300,  US,00522,     ,US 522,Zachary Taylor Ave,078,Rappahannock County,078,Rappahannock County,4.02,78-618 Hawlin Rd,SR 231 F T Valley Rd,1900,G,97%,1%,1%,1%,1%,0%,F,,,,1900,G,2009,,,,,,,,,,,,,,,
070354,  US,00522,     ,US 522,Sperryville Pike,078,Rappahannock County,078,Rappahannock County,0.66,SR 231 F T Valley Rd,Berryville Pike,3600,G,94%,1%,2%,1%,2%,0%,C,,,,3700,G,2009,,,,,,,,,,,,,,,
070387,  US,00522,     ,US 522,Berryville Pike,078,Rappahannock County,078,Rappahannock County,0.11,Sperryville Pike,"US 211 S, Lee Hwy",3100,G,89%,2%,4%,3%,3%,0%,C,0.0903,F,0.6296,3300,G,2009,,,,,,,,,,,,,,,
070353,  US,00522,     ,,Lee Highway,078,Rappahannock County,078,Rappahannock County,4.62,S US 211 Lee Hwy,US 211 BUS SOUTH OF WASHINGTON,4500,G,96%,1%,1%,1%,2%,0%,F,,,,4600,G,2009,,,,,,,,,,,,,,,
070352,  US,00522,     ,,Lee Highway,078,Rappahannock County,078,Rappahannock County,0.68,US 211 BUS SOUTH OF WASHINGTON,CL Washington,5100,G,96%,1%,1%,1%,2%,0%,F,,,,5200,G,2009,,,,,,,,,,,,,,,
070372,  US,00522,     ,,Lee Highway,322,Town of Washington,078,Rappahannock County,0.02,CL Washington,CL Washington,5100,N,96%,1%,1%,1%,2%,0%,N,,,,5200,N,2009,,,,,,,,,,,,,,,
070377,  US,00522,     ,,Lee Highway,078,Rappahannock County,078,Rappahannock County,0.39,CL Washington,Bus US 211 East of Washington,5100,N,96%,1%,1%,1%,2%,0%,N,,,,5200,N,2009,,,,,,,,,,,,,,,
070202,  US,00522,     ,,Lee Highway,078,Rappahannock County,078,Rappahannock County,2.38,Bus US 211 East of Washington,N US 211 Lee Hwy,5700,G,96%,1%,1%,1%,2%,0%,F,,,,5800,G,2009,,,,,,,,,,,,,,,
070074,  US,00522,     ,US 522,Zachary Taylor Ave,078,Rappahannock County,078,Rappahannock County,2.82,"US 211 N, Lee Hwy","78-641 N, Fodderstack Rd",3300,G,95%,1%,2%,0%,2%,0%,F,,,,3400,G,2009,,,,,,,,,,,,,,,
070110,  US,00522,     ,US 522,Zachary Taylor Ave,078,Rappahannock County,078,Rappahannock County,7.26,"78-641 N, Fodderstack Rd",Warren County Line,3700,G,95%,1%,2%,0%,2%,0%,C,,,,3800,G,2009,,,,,,,,,,,,,,,
070068,C1US,00522,     ,,Main St,078,Rappahannock County,078,Rappahannock County,0.72,US 211 SOUTH OF WASHINGTON,WCL Washington,1100,G,98%,0%,1%,0%,0%,0%,C,,,,1100,G,2009,,,,,,,,,,,,,,,
070069,C1US,00522,     ,,Main St,322,Town of Washington,078,Rappahannock County,0.37,WCL Washington,78-628 Middle St; Warren St,1100,N,98%,0%,1%,0%,0%,0%,N,,,,1100,N,2009,,,,,,,,,,,,,,,
070073,C1US,00522,     ,,Warren St,322,Town of Washington,078,Rappahannock County,0.26,78-628 Middle St; Main St,ECL Washington,1100,N,98%,0%,1%,0%,0%,0%,N,,,,1100,N,2009,,,,,,,,,,,,,,,
070071,C1US,00522,     ,, ,078,Rappahannock County,078,Rappahannock County,0.15,ECL Washington,US 211 Lee Highway,1100,N,98%,0%,1%,0%,0%,0%,N,,,,1100,N,2009,,,,,,,,,,,,,,,
780669,  FR,00724,     ,FR 724, ,078,Rappahannock County,078,Rappahannock County,0.15,US 211 Lee Highway,Dead End,20,R,,,,,,,X,,,,,,04/14/2006,,,,,,,,,,,,,,,
780670,  FR,00725,     ,FR 725,Park Lane,078,Rappahannock County,078,Rappahannock County,0.05,Dead End,US 211 Lee Highway,46,R,,,,,,,X,,,,,,03/28/2006,,,,,,,,,,,,,,,
797688,  FR,01100,     ,FR 1100, ,078,Rappahannock County,078,Rappahannock County,0.15,US 211 Lee Highway,Dead End,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
765150,  78,00600,     ,78-600,Woodward Rd,078,Rappahannock County,078,Rappahannock County,2.30,78-681 Rolling Rd,78-608 Ashby Rd,50,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765151,  78,00600,     ,78-600,Woodward Rd,078,Rappahannock County,078,Rappahannock County,1.85,78-608 Ashby Rd,1.85 MN 78-608 Ashby Rd,80,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765152,  78,00600,     ,78-600,Woodward Rd,078,Rappahannock County,078,Rappahannock County,0.10,1.85 MN 78-608 Ashby Rd,78-667 Estes Mill Rd,80,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765153,  78,00600,     ,78-600,Woodward Rd,078,Rappahannock County,078,Rappahannock County,0.85,78-667 Estes Mill Rd,0.85 MN 78-667 Estes Mill Rd,40,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765154,  78,00600,     ,78-600,Woodward Rd,078,Rappahannock County,078,Rappahannock County,0.15,0.85 MN 78-667 Estes Mill Rd,78-1001 Main St; Gap,150,R,,,,,,,X,,,,,,03/28/2006,,,,,,,,,,,,,,,
765155,  78,00600,     ,78-600,Bryans Rd,078,Rappahannock County,078,Rappahannock County,0.30,US 211 Lee Highway; Gap,78-671 Thorton Gap Church Rd,10,R,,,,,,,X,,,,,,03/28/2006,,,,,,,,,,,,,,,
765156,  78,00600,     ,78-600,Thorton Gap Church Rd,078,Rappahannock County,078,Rappahannock County,1.00,78-671; Bryans Rd,"78-612 E, Old Hollow Rd",260,R,,,,,,,X,,,,,,05/16/2003,,,,,,,,,,,,,,,
401927,  78,00600,     ,78-600,Old Hollow Rd,078,Rappahannock County,078,Rappahannock County,0.30,78-612 E; Thorton Gap Church Rd,78-612 W; Swindler Hollow Rd,370,G,97%,1%,1%,1%,1%,0%,C,,,,380,G,2009,,,,,,,,,,,,,,,
765157,  78,00600,     ,78-600,Swindler Hollow Rd,078,Rappahannock County,078,Rappahannock County,2.05,"78-612 W, Old Holow Rd",78-653 Sycamore Ridge Rd,90,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765158,  78,00600,     ,78-600,Pickeral Ridge Lane,078,Rappahannock County,078,Rappahannock County,0.10,78-653 Sycamore Ridge Rd,Dead End,40,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
789804,  78,00601,     ,78-601,Peola Mills Rd,078,Rappahannock County,078,Rappahannock County,0.30,SR 231 F T Valley Rd,78-602 Nethers Rd,250,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765159,  78,00601,     ,78-601,Nethers Rd,078,Rappahannock County,078,Rappahannock County,0.90,78-602; Peola Mills Rd,78-707 Sharp Rock Rd,390,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765160,  78,00602,     ,78-602,Nethers Rd,078,Rappahannock County,078,Rappahannock County,0.10,Madison County Line,78-601 Peola Mills Rd,190,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765161,  78,00603,     ,78-603,Pophams Ford Rd,078,Rappahannock County,078,Rappahannock County,1.30,Madison County Line,78-707 Slate Mills Rd,70,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765162,  78,00604,     ,78-604,Green Rd,078,Rappahannock County,078,Rappahannock County,0.40,Culpeper County Line,"78-707 W, Slate Mills Rd",160,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765163,  78,00604,     ,78-604,Round Hill Rd,078,Rappahannock County,078,Rappahannock County,2.50,"78-707 E, Slate Mills Rd",US 522 Zachary Taylor Ave,160,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765164,  78,00605,     ,78-605,Major Brown Dr,078,Rappahannock County,078,Rappahannock County,0.70,Culpeper County Line,78-707 Slate Mills Rd,48,R,,,,,,,X,,,,,,05/29/2003,,,,,,,,,,,,,,,
401928,  78,00606,     ,78-606,Fodderstack Rd,078,Rappahannock County,078,Rappahannock County,1.00,78-628 Dearing Rd,78-641 Alleen Rd,370,G,96%,1%,1%,1%,1%,0%,C,,,,370,G,2009,,,,,,,,,,,,,,,
765165,  78,00607,     ,78-607,Quaintance Rd,078,Rappahannock County,078,Rappahannock County,4.20,78-707 Slate Mills Rd,78-618 Hawlin Rd,20,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765166,  78,00608,     ,78-608,Ashby Rd,078,Rappahannock County,078,Rappahannock County,0.64,78-600 Woodward Rd,0.64 ME 78-600 Woodward Rd,180,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765167,  78,00608,     ,78-608,Ashby Rd,078,Rappahannock County,078,Rappahannock County,0.26,0.64 ME 78-600 Woodward Rd,SR 231 F T Valley Rd,200,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765168,  78,00609,     ,78-609,Jobbers Mountain Rd,078,Rappahannock County,078,Rappahannock County,0.50,Dead End,78-621 Yancey Rd,20,R,,,,,,,X,,,,,,05/12/2006,,,,,,,,,,,,,,,
765169,  78,00610,     ,78-610,Chester Gap Rd,078,Rappahannock County,078,Rappahannock County,0.88,Dead End,78-686 Blue Ridge Ave,420,R,,,,,,,X,,,,,,04/16/2003,,,,,,,,,,,,,,,
765170,  78,00610,     ,78-610,Chester Gap Rd,078,Rappahannock County,078,Rappahannock County,0.10,78-686 Blue Ridge Ave,78-670 Cemetery Rd,650,R,,,,,,,X,,,,,,04/16/2003,,,,,,,,,,,,,,,
765171,  78,00610,     ,78-610,Chester Gap Rd,078,Rappahannock County,078,Rappahannock County,0.15,78-670 Cemetery Rd,78-660 Waterfall Rd,690,R,,,,,,,X,,,,,,04/16/2003,,,,,,,,,,,,,,,
401929,  78,00610,     ,78-610,Chester Gap Rd,078,Rappahannock County,078,Rappahannock County,0.52,78-660 Waterfall Rd,78-666 Headwaters Rd,1100,G,98%,0%,2%,0%,0%,0%,F,,,,1200,G,2009,,,,,,,,,,,,,,,
401930,  78,00610,     ,78-610,Chester Gap Rd,078,Rappahannock County,078,Rappahannock County,0.17,78-666 Headwaters Rd,US 522 Zachary Taylor Hwy,1200,G,98%,0%,2%,0%,0%,0%,C,,,,1200,G,2009,,,,,,,,,,,,,,,
401931,  78,00611,     ,78-611,Waterford Rd,078,Rappahannock County,078,Rappahannock County,0.70,Culpeper County Line,"78-642 E, Viewtown Rd",770,G,97%,0%,1%,0%,0%,0%,C,,,,790,G,2009,,,,,,,,,,,,,,,
765172,  78,00611,     ,78-611,Seven Ponds Rd,078,Rappahannock County,078,Rappahannock County,0.80,"78-642 W, Viewtown Rd",0.80 MN 78-642 Viewtown Rd,250,R,,,,,,,X,,,,,,04/21/2006,,,,,,,,,,,,,,,
765173,  78,00611,     ,78-611,Seven Ponds Rd,078,Rappahannock County,078,Rappahannock County,0.70,0.80 MN 78-642 Viewtown Rd,78-648 Jefferson Rd,250,R,,,,,,,X,,,,,,04/21/2006,,,,,,,,,,,,,,,
765174,  78,00611,     ,78-611,Seven Ponds Rd,078,Rappahannock County,078,Rappahannock County,0.60,78-648 Jefferson Rd,US 211 Lee Highway,120,R,,,,,,,X,,,,,,04/02/2003,,,,,,,,,,,,,,,
765175,  78,00612,     ,78-612,Hull School Rd,078,Rappahannock County,078,Rappahannock County,0.83,Dead End,78-653 Sycamore Ridge Rd,20,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765176,  78,00612,     ,78-612,Old Hollow Rd,078,Rappahannock County,078,Rappahannock County,2.50,78-653 Sycamore Ridge Rd,"78-600 W, Swindler Hollow Rd",100,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
401932,  78,00612,     ,78-612,Old Hollow Rd,078,Rappahannock County,078,Rappahannock County,1.00,"78-600 E, Thornton Gap Church Rd",US 211 Lee Highway,320,G,96%,1%,2%,1%,1%,0%,C,,,,320,G,2009,,,,,,,,,,,,,,,
765177,  78,00613,     ,78-613, ,078,Rappahannock County,078,Rappahannock County,0.14,Culpeper County Line,Culpeper County Line,500,R,,,,,,,X,,,,,,04/02/2003,,,,,,,,,,,,,,,
765178,  78,00614,     ,78-614,Keyser Run Rd,078,Rappahannock County,078,Rappahannock County,3.10,Dead End,78-623 Pullens Bluff Rd,90,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765179,  78,00614,     ,78-614,Keyser Run Rd,078,Rappahannock County,078,Rappahannock County,1.20,78-623 Pullens Bluff Rd,78-622 Girdbrown Hollow Rd,100,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765180,  78,00615,     ,78-615,Turkey Ridge Rd,078,Rappahannock County,078,Rappahannock County,4.40,23-650; 78-650 O'Bannons Mill Rd,78-617 Castleton Ford Rd,20,R,,,,,,,X,,,,,,04/25/2003,,,,,,,,,,,,,,,
765181,  78,00615,     ,78-615,Castleton Ford Rd,078,Rappahannock County,078,Rappahannock County,1.00,78-617; Turkey Ridge Rd,1.00 MN 78-617 Turkey Ridge Rd,90,R,,,,,,,X,,,,,,04/25/2003,,,,,,,,,,,,,,,
765182,  78,00615,     ,78-615,Castleton Ford Rd,078,Rappahannock County,078,Rappahannock County,0.90,1.00 MN 78-617 Turkey Ridge Rd,78-649 Castle Mountain Rd,190,R,,,,,,,X,,,,,,06/29/2000,,,,,,,,,,,,,,,
765183,  78,00615,     ,78-615,Castleton Ford Rd,078,Rappahannock County,078,Rappahannock County,0.30,78-649 Castle Mountain Rd,78-729 Richmond Rd,310,R,,,,,,,X,,,,,,04/21/2006,,,,,,,,,,,,,,,
765184,  78,00616,     ,78-616,Castleton View Rd,078,Rappahannock County,078,Rappahannock County,2.60,78-626 Scrabble Rd,78-617 Castleton Ford Rd,80,R,,,,,,,X,,,,,,04/25/2003,,,,,,,,,,,,,,,
765185,  78,00617,     ,78-617,Castleton Ford Rd,078,Rappahannock County,078,Rappahannock County,0.60,78-615; Turkey Rdige Rd,78-616 Castleton View Rd,100,R,,,,,,,X,,,,,,04/25/2003,,,,,,,,,,,,,,,
765186,  78,00617,     ,78-617,Castleton View Rd,078,Rappahannock County,078,Rappahannock County,1.30,78-616; Castleton Ford Rd,78-618 Laurel Mills Rd; Hope Hill Rd,180,R,,,,,,,X,,,,,,04/21/2006,,,,,,,,,,,,,,,
765187,  78,00618,     ,78-618,Hawlin Rd,078,Rappahannock County,078,Rappahannock County,3.47,SR 231 Fort Valley Rd,78-607 Quaintance Rd,20,R,,,,,,,X,,,,,,05/12/2006,,,,,,,,,,,,,,,
765188,  78,00618,     ,78-618,Hawlin Rd,078,Rappahannock County,078,Rappahannock County,1.40,78-607 Quaintance Rd,"US 522 S, Zachary Taylor Ave",100,R,,,,,,,X,,,,,,06/29/2000,,,,,,,,,,,,,,,
765189,  78,00618,     ,78-618,Red Oak Mountain Rd,078,Rappahannock County,078,Rappahannock County,0.30,"US 522 N, Zachary Taylor Ave",0.30 MN US 522 Zachary Taylor Ave,80,R,,,,,,,X,,,,,,05/10/2006,,,,,,,,,,,,,,,
765190,  78,00618,     ,78-618,Red Oak Mountain Rd,078,Rappahannock County,078,Rappahannock County,1.20,0.30 MN US 522 Zachary Taylor Ave,78-658; Besse Bell Mountain Rd,60,R,,,,,,,X,,,,,,04/25/2003,,,,,,,,,,,,,,,
765191,  78,00618,     ,78-618,Besse Bell Mountain Rd,078,Rappahannock County,078,Rappahannock County,2.40,78-658 Red Oak Mountain Rd,"78-626 S, Scrabble Rd",30,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
765192,  78,00618,     ,78-618,Hope Hill Rd,078,Rappahannock County,078,Rappahannock County,1.40,"78-626 N, Whorton Hollow Rd",78-617 Castleton View Rd,370,R,,,,,,,X,,,,,,04/21/2006,,,,,,,,,,,,,,,
765193,  78,00618,     ,78-618,Laurel Mills Rd,078,Rappahannock County,078,Rappahannock County,3.00,78-617 Castleton View Rd,78-729 Richmond Rd,520,R,,,,,,,X,,,,,,06/29/2000,,,,,,,,,,,,,,,
765194,  78,00619,     ,78-619,Lizzie Mills Rd,078,Rappahannock County,078,Rappahannock County,1.79,78-626 Whorton Hollow Rd,1.79 ME 78-626 Whorton Hollow Rd,100,R,,,,,,,X,,,,,,05/09/2003,,,,,,,,,,,,,,,
765195,  78,00619,     ,78-619,Lizzie Mills Rd,078,Rappahannock County,078,Rappahannock County,0.03,1.79 ME 78-626 Whorton Hollow Rd,78-618 Laurel Mills Rd,130,R,,,,,,,X,,,,,,05/09/2003,,,,,,,,,,,,,,,
765196,  78,00620,     ,78-620,Fletchers Mill Rd,078,Rappahannock County,078,Rappahannock County,2.50,US 522 Zachary Taylor Ave,78-621 Rudasill Mill Rd,160,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
765197,  78,00620,     ,78-620,Five Forks Rd,078,Rappahannock County,078,Rappahannock County,1.25,78-621 Rudasill Mill Rd,Dead End,90,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
765198,  78,00621,     ,78-621,Yancey Rd,078,Rappahannock County,078,Rappahannock County,1.80,SR 231 F T Valley Rd,78-609 Jobbers Mountain Rd,70,R,,,,,,,X,,,,,,05/12/2006,,,,,,,,,,,,,,,
765199,  78,00621,     ,78-621,Yancey Rd,078,Rappahannock County,078,Rappahannock County,2.10,78-609 Jobbers Mountain Rd,"US 522 N, Zachary Taylor Ave",80,R,,,,,,,X,,,,,,05/12/2006,,,,,,,,,,,,,,,
765200,  78,00621,     ,78-621,Rudasill Mill Rd,078,Rappahannock County,078,Rappahannock County,1.50,"US 522 S, Zachary Taylor Ave",1.50 MN US 522 Zachary Taylor Ave,220,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
765201,  78,00621,     ,78-621,Rudasill Mill Rd,078,Rappahannock County,078,Rappahannock County,0.90,1.50 MN US 522 Zachary Taylor Ave,2.40 MN US 522 Zachary Taylor Ave,240,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
765202,  78,00621,     ,78-621,Rudasill Mill Rd,078,Rappahannock County,078,Rappahannock County,0.80,2.40 MN US 522 Zachary Taylor Ave,78-620 Five Forks Rd; Fletchers Mill Rd,280,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
765203,  78,00621,     ,78-621,Rudasill Mill Rd,078,Rappahannock County,078,Rappahannock County,1.50,78-620 Five Forks Rd; Fletchers Mill Rd,"78-622 W, Rock Mills Rd",410,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
765204,  78,00621,     ,78-621,Hunters Rd,078,Rappahannock County,078,Rappahannock County,1.45,"78-622 E, Rock Mills Rd",1.45 MN 78-622 Rock Mills Rd,80,R,,,,,,,X,,,,,,04/14/2006,,,,,,,,,,,,,,,
765205,  78,00621,     ,78-621,Hunters Rd,078,Rappahannock County,078,Rappahannock County,0.10,1.45 MN 78-622 Rock Mills Rd,78-674 Grand View Rd,90,R,,,,,,,X,,,,,,04/14/2006,,,,,,,,,,,,,,,
765206,  78,00621,     ,78-621,Hunters Rd,078,Rappahannock County,078,Rappahannock County,1.00,78-674 Grand View Rd,78-626 Tiger Valley Rd,450,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
765207,  78,00622,     ,78-622,Calvert St,322,Town of Washington,078,Rappahannock County,0.04,78-1101 Gay St,78-628 Main St,110,R,,,,,,,X,,,,,,04/04/2003,,,,,,,,,,,,,,,
765208,  78,00622,     ,78-622,Calvert St,322,Town of Washington,078,Rappahannock County,0.21,78-628 Main St,NCL Washington,570,R,,,,,,,X,,,,,,04/04/2003,,,,,,,,,,,,,,,
785197,  78,00622,     ,78-622,Harris Hollow Rd,078,Rappahannock County,078,Rappahannock County,1.10,NCL Washington,78-624 Sunnyside Orchard Lane,570,N,,,,,,,X,,,,0,N,04/04/2003,,,,,,,,,,,,,,,
765209,  78,00622,     ,78-622,Harris Hollow Rd,078,Rappahannock County,078,Rappahannock County,1.40,78-624 Sunnyside Orchard Lane,78-625 Plains Lane,240,R,,,,,,,X,,,,,,04/09/2003,,,,,,,,,,,,,,,
765210,  78,00622,     ,78-622,Gidbrown Hollow Rd,078,Rappahannock County,078,Rappahannock County,4.80,78-625 Plains Lane,78-623 Pullens Bluff Rd,40,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
765211,  78,00622,     ,78-622,Gidbrown Hollow Rd,078,Rappahannock County,078,Rappahannock County,0.80,78-623 Pullens Bluff Rd,78-614 Keyser Run Rd,260,R,,,,,,,X,,,,,,04/04/2006,,,,,,,,,,,,,,,
401933,  78,00622,     ,78-622,Gidbrown Hollow Rd,078,Rappahannock County,078,Rappahannock County,2.00,78-614 Keyser Run Rd,78-690,430,G,98%,1%,1%,0%,0%,0%,C,,,,440,G,2009,,,,,,,,,,,,,,,
406763,  78,00622,     ,78-622,Gidbrown Hollow Rd,078,Rappahannock County,078,Rappahannock County,0.08,78-690,"US 211 E, Lee Highway",0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
765212,  78,00622,     ,78-622,Rock Mills Rd,078,Rappahannock County,078,Rappahannock County,2.25,"US 211 E, Lee Highway","78-621 E, Hunters Rd",700,R,,,,,,,X,,,,,,05/09/2003,,,,,,,,,,,,,,,
765213,  78,00622,     ,78-622,Rock Mills Rd,078,Rappahannock County,078,Rappahannock County,1.89,"78-621 E, Hunters Rd",1.89 ME 78-621 Hunters Rd,340,R,,,,,,,X,,,,,,05/09/2003,,,,,,,,,,,,,,,
765214,  78,00622,     ,78-622,Rock Mills Rd,078,Rappahannock County,078,Rappahannock County,0.21,1.89 ME 78-621 Hunters Rd,"78-626 W, Whorton Hollow Rd",300,R,,,,,,,X,,,,,,05/09/2003,,,,,,,,,,,,,,,
765215,  78,00622,     ,78-622,Rock Mills Rd,078,Rappahannock County,078,Rappahannock County,0.05,"78-626 W, Whorton Hollow Rd","78-626 E, Long Mountain Rd",120,R,,,,,,,X,,,,,,05/16/2003,,,,,,,,,,,,,,,
