ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	(Wide)	ReportID:	2220	DataYear:	2010	Prepared	10/1/2011
1	Bristol District	010	Bland County			07	Four or More Axle Single Unit Trucks	              	43	0.00%	0.00%				52	0.00%	0.00%				200	0.00%	0.00%																																		295	0.00%		
1	Bristol District	010	Bland County			08	Four Axle or Fewer Single Trailers	              	34	0.00%	0.00%				324	0.00%	0.00%				2,765	0.00%	0.00%																																		3,123	0.00%		
1	Bristol District	010	Bland County			09	Five Axle Single Trailers	              	205	0.00%	0.00%				552	0.00%	0.00%				102,056	0.15%	0.05%																																		102,813	0.05%		
1	Bristol District	010	Bland County			10	Six or More Axle Single Trailers	              	0	0.00%	0.00%				18	0.00%	0.00%				787	0.00%	0.00%																																		805	0.00%		
1	Bristol District	010	Bland County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				10	0.00%	0.00%				6,672	0.01%	0.00%																																		6,682	0.00%		
1	Bristol District	010	Bland County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				0	0.00%	0.00%				1,529	0.00%	0.00%																																		1,529	0.00%		
1	Bristol District	010	Bland County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				0	0.00%	0.00%				4	0.00%	0.00%																																		4	0.00%		
1	Bristol District	010	Bland County Total:						66,370	0.16%	0.03%				68,195	0.10%	0.03%				583,064	0.88%	0.26%																																		717,630	0.32%		
1	Bristol District	013	Buchanan County			01	Motorcycles	              	388	0.00%	0.00%				1,331	0.00%	0.00%																																								1,719	0.00%		
1	Bristol District	013	Buchanan County			02	Passenger Cars	              	226,702	0.56%	0.10%				258,126	0.38%	0.11%																																								484,828	0.22%		
1	Bristol District	013	Buchanan County			03	Two Axle, 4 Tire Single Unit Vehicles	              	42,028	0.10%	0.02%				89,041	0.13%	0.04%																																								131,069	0.06%		
1	Bristol District	013	Buchanan County			04	Busses	              	962	0.00%	0.00%				1,726	0.00%	0.00%																																								2,688	0.00%		
1	Bristol District	013	Buchanan County			05	Two Axle, 6 Tire Single Unit Trucks	              	1,765	0.00%	0.00%				3,261	0.00%	0.00%																																								5,026	0.00%		
1	Bristol District	013	Buchanan County			06	Three Axle Single Unit Trucks	              	3,653	0.01%	0.00%				3,347	0.00%	0.00%																																								7,000	0.00%		
1	Bristol District	013	Buchanan County			07	Four or More Axle Single Unit Trucks	              	985	0.00%	0.00%				1,069	0.00%	0.00%																																								2,054	0.00%		
1	Bristol District	013	Buchanan County			08	Four Axle or Fewer Single Trailers	              	308	0.00%	0.00%				953	0.00%	0.00%																																								1,260	0.00%		
1	Bristol District	013	Buchanan County			09	Five Axle Single Trailers	              	891	0.00%	0.00%				4,381	0.01%	0.00%																																								5,271	0.00%		
1	Bristol District	013	Buchanan County			10	Six or More Axle Single Trailers	              	4,189	0.01%	0.00%				1,290	0.00%	0.00%																																								5,479	0.00%		
1	Bristol District	013	Buchanan County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				18	0.00%	0.00%																																								18	0.00%		
1	Bristol District	013	Buchanan County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				4	0.00%	0.00%																																								4	0.00%		
1	Bristol District	013	Buchanan County			13	Seven or More Axle Multi-Trailers	              	22	0.00%	0.00%				1	0.00%	0.00%																																								23	0.00%		
1	Bristol District	013	Buchanan County Total:						281,891	0.70%	0.13%				364,547	0.53%	0.16%																																								646,438	0.29%		
1	Bristol District	025	Dickenson County			01	Motorcycles	              	392	0.00%	0.00%				1,121	0.00%	0.00%																																								1,513	0.00%		
1	Bristol District	025	Dickenson County			02	Passenger Cars	              	117,328	0.29%	0.05%				143,779	0.21%	0.06%																																								261,106	0.12%		
1	Bristol District	025	Dickenson County			03	Two Axle, 4 Tire Single Unit Vehicles	              	15,657	0.04%	0.01%				53,119	0.08%	0.02%																																								68,776	0.03%		
1	Bristol District	025	Dickenson County			04	Busses	              	356	0.00%	0.00%				1,109	0.00%	0.00%																																								1,466	0.00%		
1	Bristol District	025	Dickenson County			05	Two Axle, 6 Tire Single Unit Trucks	              	497	0.00%	0.00%				2,788	0.00%	0.00%																																								3,285	0.00%		
1	Bristol District	025	Dickenson County			06	Three Axle Single Unit Trucks	              	913	0.00%	0.00%				2,510	0.00%	0.00%																																								3,423	0.00%		
1	Bristol District	025	Dickenson County			07	Four or More Axle Single Unit Trucks	              	328	0.00%	0.00%				580	0.00%	0.00%																																								908	0.00%		
1	Bristol District	025	Dickenson County			08	Four Axle or Fewer Single Trailers	              	205	0.00%	0.00%				1,028	0.00%	0.00%																																								1,233	0.00%		
1	Bristol District	025	Dickenson County			09	Five Axle Single Trailers	              	592	0.00%	0.00%				1,937	0.00%	0.00%																																								2,530	0.00%		
1	Bristol District	025	Dickenson County			10	Six or More Axle Single Trailers	              	1,196	0.00%	0.00%				9,743	0.01%	0.00%																																								10,938	0.00%		
1	Bristol District	025	Dickenson County			11	Five Axle or Fewer Multi-Trailers	              	4	0.00%	0.00%				0	0.00%	0.00%																																								4	0.00%		
1	Bristol District	025	Dickenson County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				0	0.00%	0.00%																																								0	0.00%		
1	Bristol District	025	Dickenson County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				2	0.00%	0.00%																																								2	0.00%		
1	Bristol District	025	Dickenson County Total:						137,468	0.34%	0.06%				217,716	0.32%	0.10%																																								355,185	0.16%		
1	Bristol District	038	Grayson County			01	Motorcycles	              	296	0.00%	0.00%				1,211	0.00%	0.00%																																								1,507	0.00%		
1	Bristol District	038	Grayson County			02	Passenger Cars	              	100,731	0.25%	0.04%				159,164	0.23%	0.07%																																								259,895	0.12%		
1	Bristol District	038	Grayson County			03	Two Axle, 4 Tire Single Unit Vehicles	              	13,020	0.03%	0.01%				53,161	0.08%	0.02%																																								66,181	0.03%		
1	Bristol District	038	Grayson County			04	Busses	              	328	0.00%	0.00%				1,455	0.00%	0.00%																																								1,783	0.00%		
1	Bristol District	038	Grayson County			05	Two Axle, 6 Tire Single Unit Trucks	              	812	0.00%	0.00%				2,860	0.00%	0.00%																																								3,672	0.00%		
1	Bristol District	038	Grayson County			06	Three Axle Single Unit Trucks	              	811	0.00%	0.00%				2,507	0.00%	0.00%																																								3,318	0.00%		
1	Bristol District	038	Grayson County			07	Four or More Axle Single Unit Trucks	              	106	0.00%	0.00%				250	0.00%	0.00%																																								356	0.00%		
1	Bristol District	038	Grayson County			08	Four Axle or Fewer Single Trailers	              	177	0.00%	0.00%				1,131	0.00%	0.00%																																								1,308	0.00%		
1	Bristol District	038	Grayson County			09	Five Axle Single Trailers	              	210	0.00%	0.00%				6,917	0.01%	0.00%																																								7,127	0.00%		
1	Bristol District	038	Grayson County			10	Six or More Axle Single Trailers	              	22	0.00%	0.00%				364	0.00%	0.00%																																								387	0.00%		
1	Bristol District	038	Grayson County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				0	0.00%	0.00%																																								0	0.00%		
1	Bristol District	038	Grayson County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				3	0.00%	0.00%																																								3	0.00%		
1	Bristol District	038	Grayson County Total:						116,513	0.29%	0.05%				229,023	0.33%	0.10%																																								345,536	0.15%		
1	Bristol District	052	Lee County			01	Motorcycles	              	384	0.00%	0.00%				1,238	0.00%	0.00%																																								1,621	0.00%		
1	Bristol District	052	Lee County			02	Passenger Cars	              	123,803	0.31%	0.05%				326,827	0.47%	0.15%																																								450,630	0.20%		
1	Bristol District	052	Lee County			03	Two Axle, 4 Tire Single Unit Vehicles	              	13,892	0.03%	0.01%				103,587	0.15%	0.05%																																								117,479	0.05%		
1	Bristol District	052	Lee County			04	Busses	              	227	0.00%	0.00%				2,272	0.00%	0.00%																																								2,500	0.00%		
1	Bristol District	052	Lee County			05	Two Axle, 6 Tire Single Unit Trucks	              	515	0.00%	0.00%				4,106	0.01%	0.00%																																								4,622	0.00%		
1	Bristol District	052	Lee County			06	Three Axle Single Unit Trucks	              	397	0.00%	0.00%				3,615	0.01%	0.00%																																								4,013	0.00%		
1	Bristol District	052	Lee County			07	Four or More Axle Single Unit Trucks	              	55	0.00%	0.00%				1,214	0.00%	0.00%																																								1,269	0.00%		
1	Bristol District	052	Lee County			08	Four Axle or Fewer Single Trailers	              	119	0.00%	0.00%				2,319	0.00%	0.00%																																								2,439	0.00%		
1	Bristol District	052	Lee County			09	Five Axle Single Trailers	              	98	0.00%	0.00%				12,819	0.02%	0.01%																																								12,917	0.01%		
1	Bristol District	052	Lee County			10	Six or More Axle Single Trailers	              	38	0.00%	0.00%				1,506	0.00%	0.00%																																								1,544	0.00%		
1	Bristol District	052	Lee County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				1	0.00%	0.00%																																								1	0.00%		
1	Bristol District	052	Lee County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				1	0.00%	0.00%																																								1	0.00%		
1	Bristol District	052	Lee County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				0	0.00%	0.00%																																								0	0.00%		
1	Bristol District	052	Lee County Total:						139,529	0.35%	0.06%				459,506	0.67%	0.20%																																								599,034	0.27%		
1	Bristol District	083	Russell County			01	Motorcycles	              	684	0.00%	0.00%				2,539	0.00%	0.00%																																								3,223	0.00%		
1	Bristol District	083	Russell County			02	Passenger Cars	              	161,119	0.40%	0.07%				437,647	0.64%	0.19%																																								598,766	0.27%		
1	Bristol District	083	Russell County			03	Two Axle, 4 Tire Single Unit Vehicles	              	20,233	0.05%	0.01%				153,552	0.22%	0.07%																																								173,785	0.08%		
1	Bristol District	083	Russell County			04	Busses	              	432	0.00%	0.00%				2,426	0.00%	0.00%																																								2,858	0.00%		
1	Bristol District	083	Russell County			05	Two Axle, 6 Tire Single Unit Trucks	              	703	0.00%	0.00%				4,502	0.01%	0.00%																																								5,205	0.00%		
1	Bristol District	083	Russell County			06	Three Axle Single Unit Trucks	              	1,331	0.00%	0.00%				6,187	0.01%	0.00%																																								7,518	0.00%		
1	Bristol District	083	Russell County			07	Four or More Axle Single Unit Trucks	              	626	0.00%	0.00%				2,048	0.00%	0.00%																																								2,674	0.00%		
1	Bristol District	083	Russell County			08	Four Axle or Fewer Single Trailers	              	252	0.00%	0.00%				1,783	0.00%	0.00%																																								2,035	0.00%		
1	Bristol District	083	Russell County			09	Five Axle Single Trailers	              	1,074	0.00%	0.00%				13,766	0.02%	0.01%																																								14,840	0.01%		
1	Bristol District	083	Russell County			10	Six or More Axle Single Trailers	              	1,010	0.00%	0.00%				1,106	0.00%	0.00%																																								2,116	0.00%		
1	Bristol District	083	Russell County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				3	0.00%	0.00%																																								3	0.00%		
1	Bristol District	083	Russell County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				0	0.00%	0.00%																																								0	0.00%		
1	Bristol District	083	Russell County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				5	0.00%	0.00%																																								5	0.00%		
1	Bristol District	083	Russell County Total:						187,465	0.47%	0.08%				625,564	0.91%	0.28%																																								813,029	0.36%		
1	Bristol District	084	Scott County			01	Motorcycles	              	377	0.00%	0.00%				3,227	0.00%	0.00%																																								3,604	0.00%		
1	Bristol District	084	Scott County			02	Passenger Cars	              	178,718	0.44%	0.08%				402,732	0.59%	0.18%																																								581,450	0.26%		
1	Bristol District	084	Scott County			03	Two Axle, 4 Tire Single Unit Vehicles	              	18,513	0.05%	0.01%				125,223	0.18%	0.06%																																								143,737	0.06%		
1	Bristol District	084	Scott County			04	Busses	              	780	0.00%	0.00%				2,307	0.00%	0.00%																																								3,087	0.00%		
1	Bristol District	084	Scott County			05	Two Axle, 6 Tire Single Unit Trucks	              	669	0.00%	0.00%				4,489	0.01%	0.00%																																								5,158	0.00%		
1	Bristol District	084	Scott County			06	Three Axle Single Unit Trucks	              	523	0.00%	0.00%				2,534	0.00%	0.00%																																								3,057	0.00%		
1	Bristol District	084	Scott County			07	Four or More Axle Single Unit Trucks	              	108	0.00%	0.00%				436	0.00%	0.00%																																								544	0.00%		
1	Bristol District	084	Scott County			08	Four Axle or Fewer Single Trailers	              	151	0.00%	0.00%				2,355	0.00%	0.00%																																								2,505	0.00%		
1	Bristol District	084	Scott County			09	Five Axle Single Trailers	              	354	0.00%	0.00%				22,522	0.03%	0.01%																																								22,876	0.01%		
1	Bristol District	084	Scott County			10	Six or More Axle Single Trailers	              	36	0.00%	0.00%				500	0.00%	0.00%																																								535	0.00%		
1	Bristol District	084	Scott County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				7	0.00%	0.00%																																								7	0.00%		
1	Bristol District	084	Scott County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				4	0.00%	0.00%																																								4	0.00%		
1	Bristol District	084	Scott County			13	Seven or More Axle Multi-Trailers	              	4	0.00%	0.00%				2	0.00%	0.00%																																								6	0.00%		
1	Bristol District	084	Scott County Total:						200,233	0.50%	0.09%				566,336	0.82%	0.25%																																								766,570	0.34%		
1	Bristol District	086	Smyth County			01	Motorcycles	              	790	0.00%	0.00%				1,595	0.00%	0.00%				1,426	0.00%	0.00%																																		3,812	0.00%		
1	Bristol District	086	Smyth County			02	Passenger Cars	              	191,360	0.48%	0.09%				136,582	0.20%	0.06%				368,031	0.55%	0.16%																																		695,973	0.31%		
1	Bristol District	086	Smyth County			03	Two Axle, 4 Tire Single Unit Vehicles	              	22,927	0.06%	0.01%				44,836	0.07%	0.02%				122,183	0.18%	0.05%																																		189,945	0.08%		
1	Bristol District	086	Smyth County			04	Busses	              	580	0.00%	0.00%				1,342	0.00%	0.00%				3,211	0.00%	0.00%																																		5,134	0.00%		
1	Bristol District	086	Smyth County			05	Two Axle, 6 Tire Single Unit Trucks	              	642	0.00%	0.00%				1,360	0.00%	0.00%				5,794	0.01%	0.00%																																		7,796	0.00%		
1	Bristol District	086	Smyth County			06	Three Axle Single Unit Trucks	              	436	0.00%	0.00%				1,295	0.00%	0.00%				3,903	0.01%	0.00%																																		5,634	0.00%		
1	Bristol District	086	Smyth County			07	Four or More Axle Single Unit Trucks	              	32	0.00%	0.00%				129	0.00%	0.00%				518	0.00%	0.00%																																		679	0.00%		
1	Bristol District	086	Smyth County			08	Four Axle or Fewer Single Trailers	              	184	0.00%	0.00%				500	0.00%	0.00%				3,749	0.01%	0.00%																																		4,434	0.00%		
1	Bristol District	086	Smyth County			09	Five Axle Single Trailers	              	236	0.00%	0.00%				1,897	0.00%	0.00%				110,179	0.17%	0.05%																																		112,313	0.05%		
1	Bristol District	086	Smyth County			10	Six or More Axle Single Trailers	              	9	0.00%	0.00%				52	0.00%	0.00%				1,022	0.00%	0.00%																																		1,083	0.00%		
1	Bristol District	086	Smyth County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				2	0.00%	0.00%				6,069	0.01%	0.00%																																		6,072	0.00%		
1	Bristol District	086	Smyth County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				0	0.00%	0.00%				2,174	0.00%	0.00%																																		2,174	0.00%		
1	Bristol District	086	Smyth County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				4	0.00%	0.00%				9	0.00%	0.00%																																		13	0.00%		
1	Bristol District	086	Smyth County Total:						217,197	0.54%	0.10%				189,595	0.28%	0.08%				628,268	0.95%	0.28%																																		1,035,060	0.46%		
1	Bristol District	092	Tazewell County			01	Motorcycles	              	525	0.00%	0.00%				3,160	0.00%	0.00%																																								3,685	0.00%		
1	Bristol District	092	Tazewell County			02	Passenger Cars	              	183,456	0.46%	0.08%				545,185	0.79%	0.24%																																								728,641	0.32%		
1	Bristol District	092	Tazewell County			03	Two Axle, 4 Tire Single Unit Vehicles	              	21,196	0.05%	0.01%				183,450	0.27%	0.08%																																								204,646	0.09%		
1	Bristol District	092	Tazewell County			04	Busses	              	506	0.00%	0.00%				3,298	0.00%	0.00%																																								3,804	0.00%		
1	Bristol District	092	Tazewell County			05	Two Axle, 6 Tire Single Unit Trucks	              	616	0.00%	0.00%				6,009	0.01%	0.00%																																								6,626	0.00%		
1	Bristol District	092	Tazewell County			06	Three Axle Single Unit Trucks	              	447	0.00%	0.00%				6,109	0.01%	0.00%																																								6,556	0.00%		
1	Bristol District	092	Tazewell County			07	Four or More Axle Single Unit Trucks	              	84	0.00%	0.00%				1,753	0.00%	0.00%																																								1,837	0.00%		
1	Bristol District	092	Tazewell County			08	Four Axle or Fewer Single Trailers	              	175	0.00%	0.00%				2,550	0.00%	0.00%																																								2,725	0.00%		
1	Bristol District	092	Tazewell County			09	Five Axle Single Trailers	              	277	0.00%	0.00%				15,579	0.02%	0.01%																																								15,857	0.01%		
1	Bristol District	092	Tazewell County			10	Six or More Axle Single Trailers	              	163	0.00%	0.00%				1,608	0.00%	0.00%																																								1,771	0.00%		
1	Bristol District	092	Tazewell County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				17	0.00%	0.00%																																								17	0.00%		
1	Bristol District	092	Tazewell County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				1	0.00%	0.00%																																								1	0.00%		
1	Bristol District	092	Tazewell County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				6	0.00%	0.00%																																								6	0.00%		
1	Bristol District	092	Tazewell County Total:						207,445	0.51%	0.09%				768,726	1.12%	0.34%																																								976,171	0.43%		
1	Bristol District	095	Washington County			01	Motorcycles	              	1,492	0.00%	0.00%				3,788	0.01%	0.00%				4,563	0.01%	0.00%																																		9,844	0.00%		
1	Bristol District	095	Washington County			02	Passenger Cars	              	360,326	0.89%	0.16%				341,325	0.50%	0.15%				801,893	1.21%	0.36%																																		1,503,544	0.67%		
1	Bristol District	095	Washington County			03	Two Axle, 4 Tire Single Unit Vehicles	              	39,136	0.10%	0.02%				116,955	0.17%	0.05%				243,896	0.37%	0.11%																																		399,987	0.18%		
1	Bristol District	095	Washington County			04	Busses	              	498	0.00%	0.00%				1,840	0.00%	0.00%				7,222	0.01%	0.00%																																		9,560	0.00%		
1	Bristol District	095	Washington County			05	Two Axle, 6 Tire Single Unit Trucks	              	887	0.00%	0.00%				3,633	0.01%	0.00%				12,087	0.02%	0.01%																																		16,607	0.01%		
1	Bristol District	095	Washington County			06	Three Axle Single Unit Trucks	              	596	0.00%	0.00%				3,196	0.00%	0.00%				8,691	0.01%	0.00%																																		12,483	0.01%		
1	Bristol District	095	Washington County			07	Four or More Axle Single Unit Trucks	              	97	0.00%	0.00%				907	0.00%	0.00%				965	0.00%	0.00%																																		1,969	0.00%		
1	Bristol District	095	Washington County			08	Four Axle or Fewer Single Trailers	              	367	0.00%	0.00%				1,708	0.00%	0.00%				7,937	0.01%	0.00%																																		10,012	0.00%		
1	Bristol District	095	Washington County			09	Five Axle Single Trailers	              	825	0.00%	0.00%				8,296	0.01%	0.00%				242,391	0.36%	0.11%																																		251,512	0.11%		
1	Bristol District	095	Washington County			10	Six or More Axle Single Trailers	              	20	0.00%	0.00%				468	0.00%	0.00%				2,173	0.00%	0.00%																																		2,660	0.00%		
1	Bristol District	095	Washington County			11	Five Axle or Fewer Multi-Trailers	              	3	0.00%	0.00%				5	0.00%	0.00%				12,956	0.02%	0.01%																																		12,964	0.01%		
1	Bristol District	095	Washington County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				0	0.00%	0.00%				4,566	0.01%	0.00%																																		4,566	0.00%		
1	Bristol District	095	Washington County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				3	0.00%	0.00%				21	0.00%	0.00%																																		24	0.00%		
1	Bristol District	095	Washington County Total:						404,248	1.00%	0.18%				482,123	0.70%	0.21%				1,349,361	2.03%	0.60%																																		2,235,732	0.99%		
1	Bristol District	097	Wise County			01	Motorcycles	              	988	0.00%	0.00%				3,313	0.00%	0.00%																																								4,302	0.00%		
1	Bristol District	097	Wise County			02	Passenger Cars	              	253,923	0.63%	0.11%				611,724	0.89%	0.27%																																								865,647	0.38%		
1	Bristol District	097	Wise County			03	Two Axle, 4 Tire Single Unit Vehicles	              	26,537	0.07%	0.01%				173,941	0.25%	0.08%																																								200,478	0.09%		
1	Bristol District	097	Wise County			04	Busses	              	319	0.00%	0.00%				2,785	0.00%	0.00%																																								3,104	0.00%		
1	Bristol District	097	Wise County			05	Two Axle, 6 Tire Single Unit Trucks	              	787	0.00%	0.00%				5,234	0.01%	0.00%																																								6,021	0.00%		
1	Bristol District	097	Wise County			06	Three Axle Single Unit Trucks	              	996	0.00%	0.00%				5,492	0.01%	0.00%																																								6,488	0.00%		
1	Bristol District	097	Wise County			07	Four or More Axle Single Unit Trucks	              	323	0.00%	0.00%				2,180	0.00%	0.00%																																								2,503	0.00%		
1	Bristol District	097	Wise County			08	Four Axle or Fewer Single Trailers	              	261	0.00%	0.00%				2,439	0.00%	0.00%																																								2,700	0.00%		
1	Bristol District	097	Wise County			09	Five Axle Single Trailers	              	571	0.00%	0.00%				22,532	0.03%	0.01%																																								23,103	0.01%		
1	Bristol District	097	Wise County			10	Six or More Axle Single Trailers	              	1,153	0.00%	0.00%				14,323	0.02%	0.01%																																								15,477	0.01%		
1	Bristol District	097	Wise County			11	Five Axle or Fewer Multi-Trailers	              	4	0.00%	0.00%				5	0.00%	0.00%																																								9	0.00%		
1	Bristol District	097	Wise County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				5	0.00%	0.00%																																								5	0.00%		
1	Bristol District	097	Wise County			13	Seven or More Axle Multi-Trailers	              	0	0.00%	0.00%				13	0.00%	0.00%																																								13	0.00%		
1	Bristol District	097	Wise County Total:						285,863	0.71%	0.13%				843,987	1.23%	0.37%																																								1,129,850	0.50%		
1	Bristol District	098	Wythe County			01	Motorcycles	              	354	0.00%	0.00%				996	0.00%	0.00%				5,147	0.01%	0.00%																																		6,497	0.00%		
1	Bristol District	098	Wythe County			02	Passenger Cars	              	143,093	0.36%	0.06%				212,588	0.31%	0.09%				916,186	1.38%	0.41%																																		1,271,867	0.57%		
1	Bristol District	098	Wythe County			03	Two Axle, 4 Tire Single Unit Vehicles	              	16,837	0.04%	0.01%				40,922	0.06%	0.02%				228,443	0.34%	0.10%																																		286,201	0.13%		
1	Bristol District	098	Wythe County			04	Busses	              	178	0.00%	0.00%				887	0.00%	0.00%				8,841	0.01%	0.00%																																		9,906	0.00%		
1	Bristol District	098	Wythe County			05	Two Axle, 6 Tire Single Unit Trucks	              	356	0.00%	0.00%				1,490	0.00%	0.00%				11,950	0.02%	0.01%																																		13,796	0.01%		
1	Bristol District	098	Wythe County			06	Three Axle Single Unit Trucks	              	397	0.00%	0.00%				1,401	0.00%	0.00%				8,093	0.01%	0.00%																																		9,891	0.00%		
1	Bristol District	098	Wythe County			07	Four or More Axle Single Unit Trucks	              	50	0.00%	0.00%				573	0.00%	0.00%				724	0.00%	0.00%																																		1,347	0.00%		
1	Bristol District	098	Wythe County			08	Four Axle or Fewer Single Trailers	              	200	0.00%	0.00%				562	0.00%	0.00%				7,792	0.01%	0.00%																																		8,554	0.00%		
1	Bristol District	098	Wythe County			09	Five Axle Single Trailers	              	331	0.00%	0.00%				1,216	0.00%	0.00%				276,414	0.42%	0.12%																																		277,961	0.12%		
1	Bristol District	098	Wythe County			10	Six or More Axle Single Trailers	              	17	0.00%	0.00%				93	0.00%	0.00%				2,180	0.00%	0.00%																																		2,291	0.00%		
1	Bristol District	098	Wythe County			11	Five Axle or Fewer Multi-Trailers	              	0	0.00%	0.00%				16	0.00%	0.00%				16,441	0.02%	0.01%																																		16,457	0.01%		
1	Bristol District	098	Wythe County			12	Six Axle Multi-Trailers	              	0	0.00%	0.00%				4	0.00%	0.00%				5,636	0.01%	0.00%																																		5,640	0.00%		
