631029,C1US,00001,     ,Bus US 1,LaFayette Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.10,111-3961 Kenmore Ave,"Bus US 1 Par, Bus 17 Par Princess Anne St",5400,N,99%,0%,1%,0%,0%,0%,N,0.1004,N,0.0000,5800,N,2011,,,,,,,,,,,,,,,
631030,C1US,00001,     ,Bus US 1,LaFayette Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.06,"Bus US 1 Par, Bus 17 Par Princess Anne St",Bus US 17 Caroline St,5400,F,99%,0%,1%,0%,0%,0%,F,0.1004,F,0.0000,5800,F,2011,,,,,,,,,,,,,,,
631061,C1US,00001,     ,"Bus US 1, Bus US 17, VA 2",Caroline St,111,City of Fredericksburg,111,City of Fredericksburg,0.38,"Bus US 17, Lafayette Blvd",Bus SR 3 William St,5000,G,99%,0%,1%,0%,0%,0%,F,,,,5500,G,2011,,12000,G,98%,1%,1%,0%,0%,0%,F,,,,12000,G
631062,C1US,00001,     ,"Bus US 1, Bus US 17",Caroline St,111,City of Fredericksburg,111,City of Fredericksburg,0.51,Bus SR 3 William St,Herndon St,6800,F,99%,0%,1%,0%,0%,0%,C,0.0917,F,0.0000,7300,F,2011,,15000,F,98%,1%,1%,0%,0%,0%,C,0.0913,F,0.0000,16000,F
631066,C1US,00001,     ,"Bus US 1, Bus US 17",Herndon St,111,City of Fredericksburg,111,City of Fredericksburg,0.06,Caroline St,Bus US 1 Par Princess Anne St,4500,G,99%,0%,1%,0%,0%,0%,F,,,,4900,G,2011,,,,,,,,,,,,,,,
631039,C1US,00001,     ,"Bus US 1, Bus US 17",Princess Anne St,111,City of Fredericksburg,111,City of Fredericksburg,0.70,Bus US 1 Par Herndon St,US 1 Jefferson Davis Highway,10000,F,98%,0%,1%,0%,0%,0%,C,0.0855,F,0.0000,11000,F,2011,,,,,,,,,,,,,,,
631040,C1US,00001,P    ,"Bus US 1 Par, Bus US 17, Bus US 17 Par, VA 2",Princess Anne St,111,City of Fredericksburg,111,City of Fredericksburg,0.37,"Bus US 1, Bus US 17 Lafayette Blvd",Bus SR 3 William St,6600,F,97%,1%,1%,0%,0%,0%,F,0.0886,F,0.0000,7000,F,2011,,12000,G,98%,1%,1%,0%,0%,0%,F,,,,12000,G
631065,C1US,00001,P    ,"Bus US 1 Par, Bus US 17, Bus US 17 Par",Princess Anne St,111,City of Fredericksburg,111,City of Fredericksburg,0.52,Bus SR 3 William St,Bus US 1 Herndon St,7800,F,97%,1%,1%,0%,0%,0%,C,0.0919,F,0.0000,8300,F,2011,,15000,F,98%,1%,1%,0%,0%,0%,C,0.0913,F,0.0000,16000,F
631004,  SR,00002,     ,"Bus US 17, VA 2",Dixon St,111,City of Fredericksburg,111,City of Fredericksburg,0.55,ECL Fredericksburg,Ramp from SR 3 Connector,24000,F,94%,1%,1%,1%,3%,0%,C,0.0863,F,0.0000,25000,F,2011,,,,,,,,,,,,,,,
631006,  SR,00002,     ,"Bus US 17, VA 2",Dixon St,111,City of Fredericksburg,111,City of Fredericksburg,0.26,Ramp from SR 3 Connector,Charles St,10000,F,99%,0%,0%,0%,0%,0%,C,0.0973,F,0.0000,11000,F,2011,,,,,,,,,,,,,,,
631007,  SR,00002,     ,"Bus US 17, VA 2",Dixon St,111,City of Fredericksburg,111,City of Fredericksburg,0.06,Charles St,Princess Anne St,5200,F,99%,0%,0%,0%,0%,0%,F,0.0991,F,0.0000,5600,F,2011,,8100,G,98%,1%,1%,0%,0%,0%,F,,,,8700,G
631002,  SR,00002,     ,"Bus US 17 Par, VA 2",Princess Anne St,111,City of Fredericksburg,111,City of Fredericksburg,0.26,Dixon St,Bus US 1,2900,G,96%,1%,2%,0%,0%,0%,C,,,,3100,G,2011,,6200,G,97%,1%,2%,0%,0%,0%,C,,,,6600,G
631040,  SR,00002,     ,"Bus US 1 Par, Bus US 17, Bus US 17 Par, VA 2",Princess Anne St,111,City of Fredericksburg,111,City of Fredericksburg,0.37,Bus US 1,Bus SR 3 William St,6600,F,97%,1%,1%,0%,0%,0%,F,0.0886,F,0.0000,7000,F,2011,,12000,G,98%,1%,1%,0%,0%,0%,F,,,,12000,G
631035,  SR,00003,     ,VA 3,Plank Rd,111,City of Fredericksburg,111,City of Fredericksburg,0.34,WCL Fredericksburg,I-95,80000,F,96%,1%,0%,0%,2%,0%,F,0.0768,F,0.5092,85000,F,2011,,,,,,,,,,,,,,,
631050,  SR,00003,     ,VA 3,Plank Rd,111,City of Fredericksburg,111,City of Fredericksburg,0.61,I-95,Oakwood St,54000,G,95%,1%,1%,1%,3%,0%,F,,,,54000,G,2011,,,,,,,,,,,,,,,
631051,  SR,00003,     ,VA 3,Plank Rd,111,City of Fredericksburg,111,City of Fredericksburg,0.63,Oakwood St,US 1 Jefferson Davis Hwy,43000,F,95%,1%,1%,1%,3%,0%,F,0.0725,F,0.0000,46000,F,2011,,,,,,,,,,,,,,,
631058,  SR,00003,     ,VA 3,William St,111,City of Fredericksburg,111,City of Fredericksburg,0.24,US 1 Jefferson Davis Hwy,Bus SR 3; Blue and Gray Pkwy,39000,G,95%,1%,1%,1%,3%,0%,F,,,,42000,G,2011,,,,,,,,,,,,,,,
631063,  SR,00003,     ,VA 3,Blue and Grey Parkway,111,City of Fredericksburg,111,City of Fredericksburg,0.53,Bus SR 3 William St,Bus US 1 LaFayette Blvd,32000,F,95%,1%,1%,1%,3%,0%,C,0.0741,F,0.0000,34000,F,2011,,,,,,,,,,,,,,,
631067,  SR,00003,     ,VA 3,Blue and Grey Parkway,111,City of Fredericksburg,111,City of Fredericksburg,1.00,Bus US 1 LaFayette Blvd,Bus US 17 SR 2 Dixon St,37000,F,95%,1%,1%,1%,3%,0%,F,0.0753,F,0.0000,40000,F,2011,,,,,,,,,,,,,,,
631059,  SR,00003,     ,VA 3,Blue and Grey Parkway,111,City of Fredericksburg,111,City of Fredericksburg,0.36,Bus US 17 SR 2 Dixon St,ECL Fredericksburg,34000,F,95%,1%,1%,1%,3%,0%,F,0.0817,F,0.0000,36000,F,2011,,,,,,,,,,,,,,,
160302,C1SR,00003,     ,Bus VA 3,William St,111,City of Fredericksburg,111,City of Fredericksburg,0.14,SR 3 Blue and Grey Parkway,111-3958 Hanover St,13000,G,98%,0%,1%,0%,0%,0%,F,,,,14000,G,2011,,,,,,,,,,,,,,,
631053,C1SR,00003,     ,Bus VA 3,William St,111,City of Fredericksburg,111,City of Fredericksburg,0.30,111-3958 Hanover St,111-3955 College Ave,10000,G,98%,0%,1%,0%,0%,0%,C,,,,11000,G,2011,,,,,,,,,,,,,,,
631054,C1SR,00003,     ,Bus VA 3,William St,111,City of Fredericksburg,111,City of Fredericksburg,0.48,111-3955 College Ave,"SR 3 Par, Washington Ave",11000,G,98%,0%,1%,0%,0%,0%,C,,,,12000,G,2011,,,,,,,,,,,,,,,
631055,C1SR,00003,     ,Bus VA 3,William St,111,City of Fredericksburg,111,City of Fredericksburg,0.37,"SR 3 Par, Washington Ave",Bus US 1 Caroline St,5500,G,98%,0%,1%,0%,0%,0%,C,,,,6000,G,2011,,10000,G,98%,1%,1%,0%,0%,0%,F,,,,11000,G
631056,C1SR,00003,     ,Bus VA 3,William St,111,City of Fredericksburg,111,City of Fredericksburg,0.07,Bus US 1 Caroline St,"Bus SR 3 Par, Sophia St",6600,G,98%,0%,1%,0%,0%,0%,F,,,,7200,G,2011,,12000,G,98%,1%,1%,0%,0%,0%,F,,,,13000,G
631057,C1SR,00003,     ,Bus VA 3,William St,111,City of Fredericksburg,111,City of Fredericksburg,0.03,"Bus SR 3 Par, Sophia St",WCL Stafford,18000,G,98%,0%,1%,0%,0%,0%,F,,,,20000,G,2011,,,,,,,,,,,,,,,
631048,C1SR,00003,P    ,Bus VA 3 Par,Washington Ave,111,City of Fredericksburg,111,City of Fredericksburg,0.07,Bus SR 3 William St,111-3963 Amelia St,4900,G,97%,1%,1%,0%,1%,0%,F,,,,5300,G,2011,,10000,G,98%,1%,1%,0%,0%,0%,F,,,,11000,G
631001,C1SR,00003,P    ,Bus VA 3 Par,Amelia St,111,City of Fredericksburg,111,City of Fredericksburg,0.43,"111-3963, Washington Ave",111-3973 Sophia St,4300,F,97%,1%,1%,0%,1%,0%,C,0.0992,F,0.0000,4500,F,2011,,9800,G,98%,1%,1%,0%,0%,0%,C,0.0000,?,0.0000,11000,G
631064,C1SR,00003,P    ,Bus VA 3 Par,Sophia St,111,City of Fredericksburg,111,City of Fredericksburg,0.07,"111-3973, Amelia St",Bus SR 3 William St,5600,G,97%,1%,1%,0%,1%,0%,F,,,,6100,G,2011,,12000,G,98%,1%,1%,0%,0%,0%,F,,,,13000,G
060301,  US,00017,     ,"I-95 NB, US 17", ,111,City of Fredericksburg,088,Spotsylvania County,0.89,SCL Fredericksburg,SR 3,56000,A,85%,1%,1%,0%,12%,1%,F,0.0906,A,0.0000,52000,A,2011,,113000,A,86%,1%,1%,0%,12%,1%,F,,,,105000,A
060168,  US,00017,     ,"I-95 NB, US 17", ,111,City of Fredericksburg,088,Spotsylvania County,2.29,SR 3,Stafford County Line,72000,A,85%,1%,1%,0%,12%,1%,F,0.0802,A,0.0000,70000,A,2011,,141000,A,86%,1%,1%,0%,12%,1%,F,0.0782,A,0.0000,135000,A
631004,C2US,00017,     ,"Bus US 17, VA 2",Dixon St,111,City of Fredericksburg,111,City of Fredericksburg,0.55,ECL Fredericksburg,Ramp from Rte. 3 Connector,24000,F,94%,1%,1%,1%,3%,0%,C,0.0863,F,0.0000,25000,F,2011,,,,,,,,,,,,,,,
631006,C2US,00017,     ,"Bus US 17, VA 2",Dixon St,111,City of Fredericksburg,111,City of Fredericksburg,0.26,Ramp from Rte. 3 Connector,Charles St,10000,F,99%,0%,0%,0%,0%,0%,C,0.0973,F,0.0000,11000,F,2011,,,,,,,,,,,,,,,
631007,C2US,00017,     ,"Bus US 17, VA 2",Dixon St,111,City of Fredericksburg,111,City of Fredericksburg,0.06,Charles St,Princess Anne St,5200,F,99%,0%,0%,0%,0%,0%,F,0.0991,F,0.0000,5600,F,2011,,8100,G,98%,1%,1%,0%,0%,0%,F,,,,8700,G
631008,C2US,00017,     ,"Bus US 17, VA 2",Dixon St,111,City of Fredericksburg,111,City of Fredericksburg,0.06,Princess Anne St,Caroline St,2800,F,99%,0%,0%,0%,0%,0%,F,0.0808,F,0.0000,2900,F,2011,,5600,G,97%,1%,1%,0%,0%,0%,F,,,,6100,G
631060,C2US,00017,     ,"Bus US 17, VA 2",Caroline St,111,City of Fredericksburg,111,City of Fredericksburg,0.24,Dixon Street,Layfayette Blvd,3300,F,97%,1%,2%,0%,0%,0%,C,0.0863,F,0.0000,3500,F,2011,,6200,G,97%,1%,2%,0%,0%,0%,C,,,,6600,G
631061,C2US,00017,     ,"Bus US 1, Bus US 17, VA 2",Caroline St,111,City of Fredericksburg,111,City of Fredericksburg,0.38,Layfayette Blvd,Bus SR 3 William St,5000,G,99%,0%,1%,0%,0%,0%,F,,,,5500,G,2011,,12000,G,98%,1%,1%,0%,0%,0%,F,,,,12000,G
631062,C2US,00017,     ,"Bus US 1, Bus US 17",Caroline St,111,City of Fredericksburg,111,City of Fredericksburg,0.51,Bus SR 3 William St,Herndon St,6800,F,99%,0%,1%,0%,0%,0%,C,0.0917,F,0.0000,7300,F,2011,,15000,F,98%,1%,1%,0%,0%,0%,C,0.0913,F,0.0000,16000,F
631066,C2US,00017,     ,"Bus US 1, Bus US 17",Herndon St,111,City of Fredericksburg,111,City of Fredericksburg,0.06,Caroline St,BUS US 1 Par Princess Anne St,4500,G,99%,0%,1%,0%,0%,0%,F,,,,4900,G,2011,,,,,,,,,,,,,,,
631039,C2US,00017,     ,"Bus US 1, Bus US 17",Princess Anne St,111,City of Fredericksburg,111,City of Fredericksburg,0.70,BUS US 1 Par Herndon St,US 1 Jefferson Davis Highway,10000,F,98%,0%,1%,0%,0%,0%,C,0.0855,F,0.0000,11000,F,2011,,,,,,,,,,,,,,,
631068,C2US,00017,     ,"US 1, Bus US 17",Jefferson Davis Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.11,BUS US 1 Princess Anne Ave,NCL Fredericksburg,29000,N,98%,0%,1%,0%,1%,0%,N,0.0838,N,0.6058,32000,N,2011,,,,,,,,,,,,,,,
631002,C2US,00017,P    ,"Bus US 17 Par, VA 2",Princess Anne St,111,City of Fredericksburg,111,City of Fredericksburg,0.26,Dixon Street,"Bus US 1, Bus US 17 Lafayette Blvd",2900,G,96%,1%,2%,0%,0%,0%,C,,,,3100,G,2011,,6200,G,97%,1%,2%,0%,0%,0%,C,,,,6600,G
631040,C2US,00017,P    ,"Bus US 1 Par, Bus US 17, Bus US 17 Par, VA 2",Princess Anne St,111,City of Fredericksburg,111,City of Fredericksburg,0.37,"Bus US 1, Bus US 17 Lafayette Blvd",Bus SR 3 William St,6600,F,97%,1%,1%,0%,0%,0%,F,0.0886,F,0.0000,7000,F,2011,,12000,G,98%,1%,1%,0%,0%,0%,F,,,,12000,G
631065,C2US,00017,P    ,"Bus US 1 Par, Bus US 17, Bus US 17 Par",Princess Anne St,111,City of Fredericksburg,111,City of Fredericksburg,0.52,Bus SR 3 William St,Bus US 1 Herndon St,7800,F,97%,1%,1%,0%,0%,0%,C,0.0919,F,0.0000,8300,F,2011,,15000,F,98%,1%,1%,0%,0%,0%,C,0.0913,F,0.0000,16000,F
060301,  IS,00095,N    ,"I-95 NB, US 17", ,111,City of Fredericksburg,088,Spotsylvania County,0.89,SCL Fredericksburg,SR 3 Plank Rd,56000,A,85%,1%,1%,0%,12%,1%,F,0.0906,A,0.0000,52000,A,2011,,113000,A,86%,1%,1%,0%,12%,1%,F,,,,105000,A
060168,  IS,00095,N    ,"I-95 NB, US 17", ,111,City of Fredericksburg,088,Spotsylvania County,2.29,SR 3 Plank Rd,Stafford County Line,72000,A,85%,1%,1%,0%,12%,1%,F,0.0802,A,0.0000,70000,A,2011,,141000,A,86%,1%,1%,0%,12%,1%,F,0.0782,A,0.0000,135000,A
160077,  IS,00095,S    ,"I-95 SB, US 17", ,111,City of Fredericksburg,088,Spotsylvania County,1.61,SCL Fredericksburg,SR 3 Plank Rd,57000,A,86%,1%,1%,1%,11%,1%,F,0.0855,A,0.0000,53000,A,2011,,113000,A,86%,1%,1%,0%,12%,1%,F,,,,105000,A
160306,  IS,00095,S    ,"I-95 SB, US 17", ,111,City of Fredericksburg,088,Spotsylvania County,1.76,SR 3 Plank Rd,Stafford County Line,69000,A,86%,1%,1%,1%,11%,1%,F,0.0832,A,0.0000,66000,A,2011,,141000,A,86%,1%,1%,0%,12%,1%,F,0.0782,A,0.0000,135000,A
781633, 111,00001,     ,111-1,Cowan Blvd,111,City of Fredericksburg,111,City of Fredericksburg,0.47,US 1 Jefferson Davis Hwy,Snowden Hills Blvd,15000,G,99%,0%,1%,0%,0%,0%,C,,,,16000,G,2011,,,,,,,,,,,,,,,
796480, 111,00001,     ,111-1,Cowan Blvd,111,City of Fredericksburg,111,City of Fredericksburg,1.23,Snowden Hills Blvd,Carl D Silver Pkwy,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
631045, 111,03950,     ,111-3950,Twin Lake Dr,111,City of Fredericksburg,111,City of Fredericksburg,0.46,Jefferson Davis Blvd,Lafayette Blvd,3000,F,99%,0%,0%,0%,0%,0%,C,0.0931,F,0.0000,3200,F,2011,,,,,,,,,,,,,,,
631031, 111,03952,     ,111-3952,Lansdowne Rd,111,City of Fredericksburg,111,City of Fredericksburg,0.47,WCL Fredericksburg; 88-638,"Bus US 17, SR 2 Dixon St",7500,F,94%,1%,1%,1%,4%,0%,C,0.0888,F,0.0000,8000,F,2011,,,,,,,,,,,,,,,
631042, 111,03953,     ,111-3953,Stafford Avenue,111,City of Fredericksburg,111,City of Fredericksburg,0.50,William Street,Jefferson Davis Highway,1800,F,94%,1%,5%,0%,0%,0%,C,0.0794,F,0.0000,1900,F,2011,,,,,,,,,,,,,,,
631018, 111,03954,     ,111-3954,Howison St,111,City of Fredericksburg,111,City of Fredericksburg,0.09,Cardwell St,Howard Ave,650,F,98%,0%,1%,0%,1%,0%,F,0.1022,F,0.0000,690,F,2011,,,,,,,,,,,,,,,
631019, 111,03954,     ,111-3954,Howison Avenue,111,City of Fredericksburg,111,City of Fredericksburg,0.16,Howard Avenue,Dixion Street,1500,F,98%,0%,1%,0%,1%,0%,C,0.0976,F,0.0000,1600,F,2011,,,,,,,,,,,,,,,
631003, 111,03955,     ,111-3955,College Ave,111,City of Fredericksburg,111,City of Fredericksburg,0.67,William Street,Jefferson Davis Highway,7200,G,99%,0%,0%,0%,0%,0%,C,,,,7900,G,2011,,,,,,,,,,,,,,,
631017, 111,03958,     ,111-3958,High St,111,City of Fredericksburg,111,City of Fredericksburg,0.04,Bus SR 3 William St,Hanover St,680,F,96%,1%,2%,0%,0%,0%,F,0.1235,F,0.0000,720,F,2011,,,,,,,,,,,,,,,
631014, 111,03958,     ,111-3958,Hanover St,111,City of Fredericksburg,111,City of Fredericksburg,0.60,High St,111-3959 Littlepage St,2600,F,96%,1%,2%,0%,0%,0%,C,0.0876,F,0.0000,2800,F,2011,,,,,,,,,,,,,,,
631015, 111,03958,     ,111-3958,Hanover St,111,City of Fredericksburg,111,City of Fredericksburg,0.49,111-3959 Littlepage St,Bus US 1 Par Princess Anne St,780,F,96%,1%,2%,0%,0%,0%,F,0.1007,F,0.0000,830,F,2011,,,,,,,,,,,,,,,
631016, 111,03958,     ,111-3958,Hanover St,111,City of Fredericksburg,111,City of Fredericksburg,0.12,Bus US 1 Par Princess Anne St,111-3973 Sophia St,640,F,97%,0%,3%,0%,0%,0%,F,0.1569,F,0.0000,680,F,2011,,,,,,,,,,,,,,,
631032, 111,03959,     ,111-3959,Littlepage St,111,City of Fredericksburg,111,City of Fredericksburg,0.44,Bus US 1 LaFayette Blvd,Bus SR 3 William St,1200,F,97%,0%,3%,0%,0%,0%,C,0.0845,F,0.0000,1300,F,2011,,,,,,,,,,,,,,,
631025, 111,03961,     ,111-3961,Kenmore Ave,111,City of Fredericksburg,111,City of Fredericksburg,0.49,Bus US 1 LaFayette Blvd,Bus SR 3 William St,3200,F,98%,0%,1%,0%,0%,0%,C,0.0946,F,0.0000,3400,F,2011,,,,,,,,,,,,,,,
781634, 111,03961,     ,111-3961,Kenmore Ave,111,City of Fredericksburg,111,City of Fredericksburg,0.40,Bus SR 3 William St,Mary Ball St,1300,F,99%,0%,0%,0%,0%,0%,C,0.0865,F,0.0000,1400,F,2011,,,,,,,,,,,,,,,
631033, 111,03961,     ,111-3961,Mary Ball St,111,City of Fredericksburg,111,City of Fredericksburg,0.10,Kenmore Ave,111-6963 Washington Ave,1800,F,99%,0%,0%,0%,0%,0%,F,0.0853,F,0.0000,1900,F,2011,,,,,,,,,,,,,,,
631047, 111,03963,     ,111-3963,Washington Ave,111,City of Fredericksburg,111,City of Fredericksburg,0.43,Bus SR 3 P Amelia St,111-3975 Maury St,2100,F,98%,1%,1%,0%,0%,0%,C,0.0851,F,0.0000,2200,F,2011,,,,,,,,,,,,,,,
631046, 111,03963,     ,111-3963,Washington Ave,111,City of Fredericksburg,111,City of Fredericksburg,0.44,111-3975 Maury St,111-3965; Fall Hill Ave,2000,F,98%,1%,1%,0%,0%,0%,F,0.0922,F,0.0000,2100,F,2011,,,,,,,,,,,,,,,
631038, 111,03965,     ,111-3965,Prince Edward St,111,City of Fredericksburg,111,City of Fredericksburg,0.35,Kenmore Avenue,William Street,2200,F,99%,0%,0%,0%,0%,0%,F,0.1090,F,0.0000,2400,F,2011,,,,,,,,,,,,,,,
631037, 111,03965,     ,111-3965,Prince Edward St,111,City of Fredericksburg,111,City of Fredericksburg,0.44,William Street,Canal Street,1800,F,99%,0%,0%,0%,0%,0%,C,0.1019,F,0.0000,1900,F,2011,,,,,,,,,,,,,,,
631013, 111,03965,     ,111-3965,Fall Hill Avenue,111,City of Fredericksburg,111,City of Fredericksburg,0.10,Canal Street,Maury Street,2100,F,99%,0%,0%,0%,0%,0%,F,0.0885,F,0.0000,2200,F,2011,,,,,,,,,,,,,,,
631012, 111,03965,     ,111-3965,Fall Hill Avenue,111,City of Fredericksburg,111,City of Fredericksburg,0.39,Maury Street,Washington Street,2900,F,99%,0%,0%,0%,0%,0%,F,0.0942,F,0.0000,3100,F,2011,,,,,,,,,,,,,,,
631011, 111,03965,     ,111-3965,Fall Hill Avenue,111,City of Fredericksburg,111,City of Fredericksburg,0.15,Washington Street,Jefferson Davis Highway,8600,G,99%,0%,0%,0%,0%,0%,F,,,,9300,G,2011,,,,,,,,,,,,,,,
631010, 111,03965,     ,111-3965,Fall Hill Avenue,111,City of Fredericksburg,111,City of Fredericksburg,1.59,Jefferson Davis Highway,I-95,15000,F,99%,0%,0%,0%,0%,0%,C,0.0908,F,0.0000,16000,F,2011,,,,,,,,,,,,,,,
631009, 111,03965,     ,111-3965,Fall Hill Avenue,111,City of Fredericksburg,111,City of Fredericksburg,0.95,I-95,WCL Fredericksburg,17000,F,99%,0%,0%,0%,0%,0%,C,0.0880,F,0.0000,18000,F,2011,,,,,,,,,,,,,,,
781637, 111,03967,     ,111-3967,Charles St,111,City of Fredericksburg,111,City of Fredericksburg,0.24,Bus 17 Dixon St,Bus US 1 Lafayette Blvd,5600,F,98%,0%,1%,0%,0%,0%,F,0.0818,F,0.0000,5900,F,2011,,,,,,,,,,,,,,,
631041, 111,03973,     ,111-3973,Sophia St,111,City of Fredericksburg,111,City of Fredericksburg,0.37,Lafayette Blvd,Bus SR 3 William St,5100,F,99%,0%,0%,0%,0%,0%,C,0.0979,F,0.0000,5400,F,2011,,,,,,,,,,,,,,,
631034, 111,03975,     ,111-3975,Maury St,111,City of Fredericksburg,111,City of Fredericksburg,0.14,Washington St,Fall Hill Avenue,2100,F,98%,0%,1%,0%,0%,0%,C,0.0929,F,0.0000,2200,F,2011,,,,,,,,,,,,,,,
631049, 111,03976,     ,111-3976,Westwood Dr,111,City of Fredericksburg,111,City of Fredericksburg,0.20,Plank Rd,Woodland Dr,870,F,99%,1%,0%,0%,0%,0%,F,0.1023,F,0.0000,920,F,2011,,,,,,,,,,,,,,,
781638, 111,03976,     ,111-3976,Woodland Rd,111,City of Fredericksburg,111,City of Fredericksburg,0.04,Westwood Dr,Falling Creek Rd,890,F,99%,1%,0%,0%,0%,0%,F,0.1103,F,0.0000,940,F,2011,,,,,,,,,,,,,,,
631024, 111,03976,     ,111-3976,Keenland Rd,111,City of Fredericksburg,111,City of Fredericksburg,0.36,Falling Creek Rd,Cowan Boulevard,930,F,99%,1%,0%,0%,0%,0%,C,0.1205,F,0.0000,980,F,2011,,,,,,,,,,,,,,,
631036, 111,03976,     ,111-3976,Powhatan St,111,City of Fredericksburg,111,City of Fredericksburg,0.24,Cowan Blvd,Jefferson Davis Hwy,1500,F,99%,1%,0%,0%,0%,0%,C,0.0973,F,0.0000,1600,F,2011,,,,,,,,,,,,,,,
531000, 111,00000,     ,111-0,Hays St,111,City of Fredericksburg,111,City of Fredericksburg,0.00,Mahone Dr,Oakwood St,640,F,,,,,,,X,0.0849,F,0.0000,640,F,2011,,,,,,,,,,,,,,,
531010, 111,00000,     ,111-0,Jackson St,111,City of Fredericksburg,111,City of Fredericksburg,0.00,Charlotte Street,Wolfe Street,970,F,,,,,,,X,0.0967,F,0.0000,970,F,2011,,,,,,,,,,,,,,,
531007, 111,00000,     ,111-0,Sophia St,111,City of Fredericksburg,111,City of Fredericksburg,0.00,Fauquier St,Lewis St,2600,F,,,,,,,X,0.0971,F,0.0000,2600,F,2011,,,,,,,,,,,,,,,
531011, 111,00000,     ,111-0,Summit St,111,City of Fredericksburg,111,City of Fredericksburg,0.00,Railroad Avenue,White Street,100,F,,,,,,,X,0.1179,F,0.0000,100,F,2011,,,,,,,,,,,,,,,
531012, 111,00000,     ,111-0,Twin Lakes Dr,111,City of Fredericksburg,111,City of Fredericksburg,0.00,Goodloe Drive,Lafayette Blvd,3100,F,,,,,,,X,0.0926,F,0.0000,3100,F,2011,,,,,,,,,,,,,,,
