700971,  01,02501,     ,01-2501,Back St,169,Town of Bloxom,001,Accomack County,0.32,SR 187 Shoremain Dr,01-684 Guards Shore Rd,240,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700972,  01,02502,     ,01-2502,Hinman St,169,Town of Bloxom,001,Accomack County,0.08,SR 187 Shoremain Dr,01-2506 Liberty St,90,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700973,  01,02502,     ,01-2502,Hinman St,169,Town of Bloxom,001,Accomack County,0.07,01-2506 Liberty St,01-2504 Hearn St,90,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700974,  01,02502,     ,01-2502,Hinman St,169,Town of Bloxom,001,Accomack County,0.07,01-2504 Hearn St,01-684 Mitchell Rd,70,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700975,  01,02503,     ,01-2503,Marshall St,169,Town of Bloxom,001,Accomack County,0.06,SR 187 Shoremain Dr,01-2513 Pruitt St,70,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700976,  01,02503,     ,01-2503,Marshall St,169,Town of Bloxom,001,Accomack County,0.09,01-2513 Pruitt St,SR 316 Bayside Dr,190,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700977,  01,02504,     ,01-2504,Hearn St,169,Town of Bloxom,001,Accomack County,0.11,SR 187 Shoremain Dr,01-2502 Hinman St,70,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700978,  01,02505,     ,01-2505,Parks St,169,Town of Bloxom,001,Accomack County,0.10,Dead End,01-2508,80,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700979,  01,02505,     ,01-2505,Parks St,169,Town of Bloxom,001,Accomack County,0.15,01-2508,SR 187 Shoremain Dr,100,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700980,  01,02506,     ,01-2506,Liberty St,169,Town of Bloxom,001,Accomack County,0.08,01-2502 Hinman St,SR 187 Shoremain Dr,49,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700981,  01,02507,     ,01-2507,Bull St,169,Town of Bloxom,001,Accomack County,0.15,01-2508,SR 187 Shoremain Dr,180,R,,,,,,,X,,,,,,06/29/2011,,,,,,,,,,,,,,,
700982,  01,02508,     ,01-2508, ,169,Town of Bloxom,001,Accomack County,0.02,Dead End,01-2507 Bull St,70,R,,,,,,,X,,,,,,09/07/2011,,,,,,,,,,,,,,,
700983,  01,02508,     ,01-2508, ,169,Town of Bloxom,001,Accomack County,0.04,01-2507 Bull St,01-2505 Parks St,80,R,,,,,,,X,,,,,,09/07/2011,,,,,,,,,,,,,,,
700984,  01,02509,     ,01-2509,Hall St,169,Town of Bloxom,001,Accomack County,0.25,Dead End,SR 187 Shoremain Dr,30,R,,,,,,,X,,,,,,08/03/2011,,,,,,,,,,,,,,,
700985,  01,02510,     ,01-2510,Circle Dr,169,Town of Bloxom,001,Accomack County,0.12,SR 187 Shoremain Dr,01-2511 Circle Dr,80,R,,,,,,,X,,,,,,08/03/2011,,,,,,,,,,,,,,,
700986,  01,02511,     ,01-2511,Circle Dr,169,Town of Bloxom,001,Accomack County,0.07,01-2510 Circle Dr,01-2512 Circle Dr,40,R,,,,,,,X,,,,,,08/03/2011,,,,,,,,,,,,,,,
700987,  01,02512,     ,01-2512,Circle Dr,169,Town of Bloxom,001,Accomack County,0.06,SR 187 Shoremain Dr,01-2513 Pruitt St,40,R,,,,,,,X,,,,,,08/03/2011,,,,,,,,,,,,,,,
700988,  01,02512,     ,01-2512,Circle Dr,169,Town of Bloxom,001,Accomack County,0.06,01-2513 Pruitt St,01-2511 Circle Dr,50,R,,,,,,,X,,,,,,08/03/2011,,,,,,,,,,,,,,,
700989,  01,02513,     ,01-2513,Pruitt St,169,Town of Bloxom,001,Accomack County,0.07,01-2512 Circle Dr,01-2503 Marshall St,20,R,,,,,,,X,,,,,,08/03/2011,,,,,,,,,,,,,,,
701035,  01,09640,     ,01-9640, ,169,Town of Bloxom,001,Accomack County,0.06,01-684 Mitchell Rd,Bloxom High School,220,R,,,,,,,X,,,,,,1986,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
