785243,  97,00700,     ,97-700, ,285,Town of Pound,097,Wise County,0.16,SCL Pound,97-671 S Fork Rd,430,N,,,,,,,X,,,,0,N,06/17/2003,,,,,,,,,,,,,,,
778046,  97,00711,     ,97-711, ,285,Town of Pound,097,Wise County,0.25,97-606,Dead End,240,R,,,,,,,X,,,,,,07/17/2003,,,,,,,,,,,,,,,
778048,  97,00713,     ,97-713, ,285,Town of Pound,097,Wise County,0.24,97-734; 97-735,Bus US 23,630,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778050,  97,00715,     ,97-715, ,285,Town of Pound,097,Wise County,0.24,Dead End,SR 83,80,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778056,  97,00721,     ,97-721, ,285,Town of Pound,097,Wise County,0.75,Bus US 23,Dead End,130,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778067,  97,00731,     ,97-731, ,285,Town of Pound,097,Wise County,0.03,97-713,Dead End,60,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778068,  97,00732,     ,97-732, ,285,Town of Pound,097,Wise County,0.03,97-713,Dead End,80,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778069,  97,00733,     ,97-733, ,285,Town of Pound,097,Wise County,0.05,97-713,Dead End,30,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778070,  97,00734,     ,97-734, ,285,Town of Pound,097,Wise County,0.06,97-713; 97-735,97-769,140,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778071,  97,00735,     ,97-735, ,285,Town of Pound,097,Wise County,0.16,97-713; 97-734,97-769,100,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778088,  97,00749,     ,97-749, ,285,Town of Pound,097,Wise County,0.36,Dead End,Bus US 23,690,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778106,  97,00768,     ,97-768, ,285,Town of Pound,097,Wise County,0.12,Dead End,SR 83 Clintwood Hwy,210,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778107,  97,00768,     ,97-768, ,285,Town of Pound,097,Wise County,0.55,SR 83 Clintwood Hwy,NCL Pound,1100,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778109,  97,00769,     ,97-769, ,285,Town of Pound,097,Wise County,0.09,97-734,97-735,110,R,,,,,,,X,,,,,,06/17/2003,,,,,,,,,,,,,,,
778136,  97,00794,     ,97-794,Grand View Dr,285,Town of Pound,097,Wise County,0.10,Dead End,97-711,90,R,,,,,,,X,,,,,,03/08/2007,,,,,,,,,,,,,,,
778146,  97,00805,     ,97-805,Magnolia St,285,Town of Pound,097,Wise County,0.10,SR 83 Clintwood Hwy,Dead End,30,R,,,,,,,X,,,,,,03/06/2007,,,,,,,,,,,,,,,
778184,  97,00840,     ,97-840,Highland Ave,285,Town of Pound,097,Wise County,0.75,SCL Pound,SR 83 Clintwood Hwy,2200,R,,,,,,,X,,,,,,03/06/2007,,,,,,,,,,,,,,,
778195,  97,00850,     ,97-850,Maple Rd,285,Town of Pound,097,Wise County,0.08,SR 83 Clintwood Hwy,NCL Pound,40,R,,,,,,,X,,,,,,03/06/2007,,,,,,,,,,,,,,,
778208,  97,00862,     ,97-862,Robinson Hills Rd,285,Town of Pound,097,Wise County,0.20,97-840 Highland Ave,Dead End,90,R,,,,,,,X,,,,,,03/06/2007,,,,,,,,,,,,,,,
785245,  97,00863,     ,97-863, ,285,Town of Pound,097,Wise County,0.12,SCL Pound,97-693,290,R,,,,,,,X,,,,,,10/05/2000,,,,,,,,,,,,,,,
778214,  97,00868,     ,97-868,Waterplant Rd,285,Town of Pound,097,Wise County,0.10,Dead End,97-630,70,R,,,,,,,X,,,,,,03/08/2007,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
