671199,  US,00001,     ,"US 1, Bus US 58",Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.16,Danville St,US 58 BUS; SR 47 Atlantic St,8100,G,97%,0%,1%,0%,1%,0%,F,0.0912,F,0.5000,8700,G,2011,,,,,,,,,,,,,,,
671198,  US,00001,     ,US 1,Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.08,US 58 BUS; SR 47 Atlantic St,Windsor St,6800,G,97%,0%,1%,0%,1%,0%,F,0.0995,F,0.5466,7300,G,2011,,,,,,,,,,,,,,,
671196,  US,00001,     ,US 1,Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.58,Windsor St,E Ferrell St,8900,G,97%,0%,1%,0%,1%,0%,F,0.0921,F,0.5210,9500,G,2011,,,,,,,,,,,,,,,
671219,  US,00001,     ,US 1,Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,2.26,E Ferrell St,NCL South Hill,5900,G,97%,0%,1%,0%,1%,0%,C,0.0939,F,0.5171,6300,G,2011,,,,,,,,,,,,,,,
140132,  US,00001,     ,US 1, ,058,Mecklenburg County,058,Mecklenburg County,3.54,NCL South Hill,Brunswick County Line,1800,G,97%,0%,1%,0%,1%,0%,F,0.1079,F,0.7166,1800,G,2011,,,,,,,,,,,,,,,
781486,  US,00001, 018A,US 1 Exit 018A,Ramp,058,Mecklenburg County,058,Mecklenburg County,0.11,US 1 Exit N018A & S018A,I-85 South,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
781487,  US,00001, 018B,US 1 Exit 018B,Ramp,058,Mecklenburg County,058,Mecklenburg County,0.18,US 1 Exit N018B & S018B,I-85 North,530,G,97%,0%,1%,0%,1%,0%,F,0.0885,F,1.0000,540,G,2011,,,,,,,,,,,,,,,
781496,  US,00001,S018A,US 1 SB Exit 018A,Ramp,058,Mecklenburg County,058,Mecklenburg County,0.04,US 1 I-85-S015A FROM & TO IS 85,US 01-N018A US 01- 18A TO RT 85,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
781497,  US,00001,S018B,US 1 SB Exit 018B,Ramp,058,Mecklenburg County,058,Mecklenburg County,0.02,US 1 I-85-N015A TO & FROM IS 85,US 01-N018B US 01- 18B FROM US 1,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
140173,  SR,00004,     ,VA 4,Buggs Island Rd,058,Mecklenburg County,058,Mecklenburg County,4.53,North Carolina State Line,South End Of John H. Kerr Dam,490,G,95%,1%,1%,1%,2%,0%,F,0.1069,F,0.5327,500,G,2011,,,,,,,,,,,,,,,
781293,  SR,00004,     ,VA 4,Buggs Island Rd,058,Mecklenburg County,US ,Federal,0.53,South End of John H. Kerr Dam,North End of John H. Kerr Dam,820,N,95%,1%,1%,1%,2%,0%,N,0.1121,N,0.5938,830,N,2011,,,,,,,,,,,,,,,
140175,  SR,00004,     ,VA 4,Buggs Island Rd,058,Mecklenburg County,058,Mecklenburg County,1.46,North End of John H. Kerr Dam,"58-707 China Grove Rd, Castle Heights",820,G,95%,1%,1%,1%,2%,0%,C,0.1121,F,0.5938,830,G,2011,,,,,,,,,,,,,,,
140176,  SR,00004,     ,VA 4,Buggs Island Rd,058,Mecklenburg County,058,Mecklenburg County,4.50,58-707 Castle Heights,US 58 Gills,930,G,95%,1%,1%,1%,2%,0%,F,0.0963,F,0.5198,950,G,2011,,,,,,,,,,,,,,,
040533,  US,00015,     ,US 15, ,058,Mecklenburg County,058,Mecklenburg County,4.76,North Carolina State Line,58-722 Noblin Farm Rd,2400,G,93%,1%,1%,1%,5%,0%,C,0.0921,F,0.5708,2400,G,2011,,,,,,,,,,,,,,,
040532,  US,00015,     ,US 15, ,058,Mecklenburg County,058,Mecklenburg County,0.59,58-722 Noblin Farm Rd,SCL Clarksville,2800,G,93%,1%,1%,1%,5%,0%,F,0.0974,F,0.5198,2800,G,2011,,,,,,,,,,,,,,,
040563,  US,00015,     ,US 15,College St,192,Town of Clarksville,058,Mecklenburg County,0.73,SCL Clarksville,US 58 Virginia Ave,2800,N,93%,1%,1%,1%,5%,0%,N,0.0974,N,0.5198,2800,N,2011,,,,,,,,,,,,,,,
040651,  US,00015,     ,"US 15, Bus US 58, VA 49",Virginia Ave,192,Town of Clarksville,058,Mecklenburg County,0.88,US 58; College St,NCL Clarksville,6300,G,99%,0%,0%,0%,0%,0%,C,0.0922,F,0.5123,6400,G,2011,,,,,,,,,,,,,,,
040653,  US,00015,     ,"US 15, Bus US 58, VA 49", ,058,Mecklenburg County,058,Mecklenburg County,0.84,NCL Clarksville,US 58 East of Clarksville,6300,N,99%,0%,0%,0%,0%,0%,N,0.0922,N,0.5123,6400,N,2011,,,,,,,,,,,,,,,
040531,  US,00015,     ,"US 15, VA 49", ,058,Mecklenburg County,058,Mecklenburg County,1.60,US 58 East of Clarksville,SR 49 Near Dortch Store,4600,G,90%,1%,1%,1%,7%,0%,F,0.0959,F,0.6426,4700,G,2011,,,,,,,,,,,,,,,
040202,  US,00015,     ,US 15, ,058,Mecklenburg County,058,Mecklenburg County,6.83,SR 49 Near Dortch Store,Charlotte County Line,1300,G,90%,1%,1%,1%,7%,0%,C,0.0951,F,0.6107,1300,G,2011,,,,,,,,,,,,,,,
671197,  SR,00047,     ,VA 47,W Atlantic St,301,Town of South Hill,301,Town of South Hill,0.63,Mecklenburg Ave,Thomas St,6400,G,96%,0%,1%,1%,3%,0%,F,0.0902,F,0.5403,6500,G,2011,,,,,,,,,,,,,,,
671191,  SR,00047,     ,VA 47,W Atlantic St,301,Town of South Hill,301,Town of South Hill,0.23,Thomas St,Opie Rd,5300,G,96%,0%,1%,1%,3%,0%,C,0.0938,F,0.6045,5400,G,2011,,,,,,,,,,,,,,,
671214,  SR,00047,     ,VA 47,W Atlantic St,301,Town of South Hill,301,Town of South Hill,0.39,Opie Rd,WCL South Hill,6000,G,96%,0%,1%,1%,3%,0%,F,0.0948,F,0.6217,6100,G,2011,,,,,,,,,,,,,,,
140205,  SR,00047,     ,VA 47, ,058,Mecklenburg County,058,Mecklenburg County,7.70,WCL South Hill,58-664 Pettys Corner,3600,G,92%,0%,1%,1%,6%,0%,F,0.0958,F,0.6638,3700,G,2011,,,,,,,,,,,,,,,
040204,  SR,00047,     ,VA 47, ,058,Mecklenburg County,058,Mecklenburg County,5.28,58-664 Pettys Corner,58-660 Old Cox Rd,2900,G,92%,0%,1%,1%,6%,0%,F,0.0962,F,0.6718,3000,G,2011,,,,,,,,,,,,,,,
040535,  SR,00047,     ,VA 47, ,058,Mecklenburg County,058,Mecklenburg County,1.46,58-660 Old Cox Rd,58-600 Draper Rd,3100,G,92%,0%,1%,1%,6%,0%,C,0.0996,F,0.6223,3200,G,2011,,,,,,,,,,,,,,,
040017,  SR,00047,     ,VA 47, ,058,Mecklenburg County,058,Mecklenburg County,5.20,58-600 Draper Rd,ECL Chase City,4300,N,93%,1%,1%,1%,4%,0%,N,0.0909,N,0.6235,4400,N,2011,,,,,,,,,,,,,,,
614006,  SR,00047,     ,VA 47,E Second St,186,Town of Chase City,058,Mecklenburg County,0.48,ECL Chase City,Drew St,4300,G,93%,1%,1%,1%,4%,0%,C,0.0909,F,0.6235,4400,G,2011,,,,,,,,,,,,,,,
614017,  SR,00047,     ,VA 47,E Second St,186,Town of Chase City,058,Mecklenburg County,0.21,Drew St,186-5 Marshall St,6400,G,93%,1%,1%,1%,4%,0%,F,0.0946,F,0.5606,6500,G,2011,,,,,,,,,,,,,,,
781325,  SR,00047,     ,VA 47,E Second St,186,Town of Chase City,058,Mecklenburg County,0.05,186-5 Marshall St,"SR 49, SR 92",6400,N,93%,1%,1%,1%,4%,0%,N,0.0946,N,0.5606,6500,N,2011,,,,,,,,,,,,,,,
614018,  SR,00047,     ,"VA 49, VA 47",N Main St,186,Town of Chase City,058,Mecklenburg County,0.24,"SR 49, SR 92",E FIFTH ST,7800,G,95%,1%,1%,0%,3%,0%,F,0.0862,F,0.5703,7900,G,2011,,,,,,,,,,,,,,,
614005,  SR,00047,     ,"VA 49, VA 47",N Main St,186,Town of Chase City,058,Mecklenburg County,1.02,E FIFTH ST,"SR 49, WCL Chase City",7300,G,95%,1%,1%,1%,3%,0%,C,0.0895,F,0.5409,7500,G,2011,,,,,,,,,,,,,,,
040534,  SR,00047,     ,VA 47, ,058,Mecklenburg County,058,Mecklenburg County,5.54,"SR 49, WCL Chase City",Charlotte County Line,2100,G,79%,1%,2%,7%,11%,0%,F,0.0914,F,0.5031,2100,G,2011,,,,,,,,,,,,,,,
040540,  SR,00049,     ,VA 49, ,058,Mecklenburg County,058,Mecklenburg County,8.64,Halifax County Line,US 58 West Clarksville,1200,G,91%,1%,1%,0%,7%,0%,C,0.0937,F,0.5082,1200,G,2011,,,,,,,,,,,,,,,
040547,  SR,00049,     ,"US 58, VA 49", ,058,Mecklenburg County,058,Mecklenburg County,1.26,US 58 East of Clarksville,Bus US 58,7200,G,85%,1%,1%,1%,12%,0%,F,0.0813,F,0.5580,7300,G,2011,,,,,,,,,,,,,,,
040641,  SR,00049,     ,"Bus US 58, VA 49",Virginia Ave,058,Mecklenburg County,058,Mecklenburg County,0.55,US 58; 58-815,WCL Clarksville,4000,G,99%,0%,0%,0%,1%,0%,F,0.0922,N,0.5136,4000,G,2011,,,,,,,,,,,,,,,
040546,  SR,00049,     ,"Bus US 58, VA 49",Virginia Ave,192,Town of Clarksville,058,Mecklenburg County,0.97,WCL Clarksville,"US 15, US 58",3800,G,99%,0%,0%,0%,1%,0%,C,0.0922,F,0.5136,3900,G,2011,,,,,,,,,,,,,,,
040651,  SR,00049,     ,"US 15, Bus US 58, VA 49",Virginia Ave,192,Town of Clarksville,058,Mecklenburg County,0.88,"US 15 W, College St",NCL Clarksville,6300,G,99%,0%,0%,0%,0%,0%,C,0.0922,F,0.5123,6400,G,2011,,,,,,,,,,,,,,,
040653,  SR,00049,     ,"US 15, Bus US 58, VA 49", ,058,Mecklenburg County,058,Mecklenburg County,0.84,NCL Clarksville,US 58 EAST OF CLARKSVILLE,6300,N,99%,0%,0%,0%,0%,0%,N,0.0922,N,0.5123,6400,N,2011,,,,,,,,,,,,,,,
040531,  SR,00049,     ,"US 15, VA 49", ,058,Mecklenburg County,058,Mecklenburg County,1.60,US 58 EAST OF CLARKSVILLE,US 15 NEAR DORTCH STORE,4600,G,90%,1%,1%,1%,7%,0%,F,0.0959,F,0.6426,4700,G,2011,,,,,,,,,,,,,,,
040539,  SR,00049,     ,VA 49, ,058,Mecklenburg County,058,Mecklenburg County,2.06,US 15 Near Dortch Store,58-609 Trottinridge Rd,2200,G,95%,1%,1%,0%,3%,0%,F,0.0999,F,0.6791,2300,G,2011,,,,,,,,,,,,,,,
040537,  SR,00049,     ,VA 49, ,058,Mecklenburg County,058,Mecklenburg County,5.90,58-609 Trottinridge Rd,58-696 New Hope Rd,1900,G,95%,1%,1%,0%,3%,0%,F,0.1040,F,0.6864,2000,G,2011,,,,,,,,,,,,,,,
040538,  SR,00049,     ,VA 49, ,058,Mecklenburg County,058,Mecklenburg County,3.92,58-696 New Hope Rd,WCL Chase City,2000,G,95%,1%,1%,0%,3%,0%,F,0.1028,F,0.6250,2100,G,2011,,,,,,,,,,,,,,,
614001,  SR,00049,     ,VA 49,W Second St,186,Town of Chase City,058,Mecklenburg County,0.23,WCL Chase City,SR 92,1800,G,95%,1%,1%,0%,3%,0%,C,0.1007,F,0.5590,1900,G,2011,,,,,,,,,,,,,,,
614003,  SR,00049,     ,"VA 49, VA 92",W Second St,186,Town of Chase City,058,Mecklenburg County,0.56,SR 92,Endly St,5300,G,95%,1%,1%,0%,2%,0%,C,0.0942,F,0.5541,5400,G,2011,,,,,,,,,,,,,,,
614016,  SR,00049,     ,"VA 49, VA 92",E Second St,186,Town of Chase City,058,Mecklenburg County,0.19,Endly St,N Main St,6200,G,95%,1%,1%,0%,3%,0%,F,0.0899,F,0.5402,6400,G,2011,,,,,,,,,,,,,,,
614018,  SR,00049,     ,"VA 49, VA 47",N Main St,186,Town of Chase City,058,Mecklenburg County,0.24,E Second St,E Fifth St,7800,G,95%,1%,1%,0%,3%,0%,F,0.0862,F,0.5703,7900,G,2011,,,,,,,,,,,,,,,
614005,  SR,00049,     ,"VA 49, VA 47",N Main St,186,Town of Chase City,058,Mecklenburg County,1.02,E Fifth St,SR 47,7300,G,95%,1%,1%,1%,3%,0%,C,0.0895,F,0.5409,7500,G,2011,,,,,,,,,,,,,,,
040536,  SR,00049,     ,VA 49, ,058,Mecklenburg County,058,Mecklenburg County,3.95,SR 47,Lunenburg County Line,1200,G,93%,1%,2%,2%,2%,0%,F,0.0929,F,0.6215,1200,G,2011,,,,,,,,,,,,,,,
040548,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,2.96,Halifax County Line,58-735 Hite Dr,5100,G,85%,1%,1%,1%,12%,0%,F,0.0934,F,0.6755,5200,G,2011,,,,,,,,,,,,,,,
040019,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,2.99,58-735 Hite Dr,SR 49 West of Clarksville,5800,G,85%,1%,1%,1%,12%,0%,F,0.0815,F,0.5535,5900,G,2011,,,,,,,,,,,,,,,
040547,  US,00058,     ,"US 58, VA 49", ,058,Mecklenburg County,058,Mecklenburg County,1.26,SR 49 West of Clarksville,Bus US 58 Virginia Ave,7200,G,85%,1%,1%,1%,12%,0%,F,0.0813,F,0.5580,7300,G,2011,,,,,,,,,,,,,,,
040644,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,1.46,Bus US 58 Virginia Ave,US 15; Bus US 15,5000,G,85%,1%,1%,1%,12%,0%,F,0.0913,F,0.6233,5000,G,2011,,,,,,,,,,,,,,,
040639,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,2.42,US 15; Bus US 15,"US 15, Bus US 58, SR 49",4600,G,86%,1%,1%,1%,12%,0%,F,0.0820,F,0.6215,4600,G,2011,,,,,,,,,,,,,,,
040545,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,8.40,"US 15, Bus US 58, SR 49",WCL Boydton,4600,B,86%,1%,1%,1%,12%,0%,C,0.1008,A,0.0000,4700,B,2011,,,,,,,,,,,,,,,
040599,  US,00058,     ,US 58, ,173,Town of Boydton,058,Mecklenburg County,0.60,WCL Boydton,NCL Boydton,4600,N,86%,1%,1%,1%,12%,0%,N,0.1008,N,0.0000,4700,N,2011,,,,,,,,,,,,,,,
040632,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,0.20,NCL Boydton,SR 92,4600,N,86%,1%,1%,1%,12%,0%,N,0.1008,N,0.0000,4700,N,2011,,,,,,,,,,,,,,,
040252,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,0.92,SR 92,SR 386 Mecklenburg Correctional Center Access Rd,5200,G,86%,1%,1%,1%,12%,0%,F,0.0835,F,0.6626,5300,G,2011,,,,,,,,,,,,,,,
040544,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,4.87,SR 386 Mecklenburg Correctional Center Access Rd,SR 4 Buggs Island Rd,6000,G,86%,1%,1%,1%,12%,0%,F,,,,6100,G,2011,,,,,,,,,,,,,,,
040543,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,4.23,SR 4 Buggs Island Rd,US 1 Big Fork,6100,G,86%,1%,1%,1%,12%,0%,F,0.0849,F,0.5952,6100,G,2011,,,,,,,,,,,,,,,
140131,  US,00058,     ,"US 58, US 1", ,058,Mecklenburg County,058,Mecklenburg County,3.23,US 1 Big Fork,US 1 Near SWCL South Hill,8800,G,96%,0%,1%,1%,2%,0%,F,0.1004,F,0.5820,9400,G,2011,,,,,,,,,,,,,,,
671224,  US,00058,     ,"US 58, US 1", ,058,Mecklenburg County,058,Mecklenburg County,0.20,US 1 Near SWCL South Hill,58-780,5900,N,82%,1%,1%,1%,14%,1%,N,0.0908,N,0.5700,5800,N,2011,,,,,,,,,,,,,,,
671202,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,1.61,58-780 Theater Rd,58-903 Goodes Ferry Rd,5900,G,82%,1%,1%,1%,14%,1%,F,0.0908,F,0.5700,5800,G,2011,,,,,,,,,,,,,,,
671208,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,0.98,58-903 Goodes Ferry Rd,SCL South Hill; Maple Lane,5900,N,82%,1%,1%,1%,14%,1%,N,0.0908,N,0.5700,5800,N,2011,,,,,,,,,,,,,,,
671206,  US,00058,     ,US 58, ,301,Town of South Hill,058,Mecklenburg County,0.69,SCL South Hill; Maple Lane,BUS US 58; Country Lane,6100,G,82%,1%,1%,1%,14%,1%,F,0.0846,F,0.6191,6000,G,2011,,,,,,,,,,,,,,,
040542,  US,00058,     ,US 58,E Atlantic St,301,Town of South Hill,058,Mecklenburg County,0.24,BUS US 58; Country Lane,ECL South Hill; I-85,20000,G,82%,1%,1%,1%,14%,1%,F,0.0836,F,0.5594,20000,G,2011,,,,,,,,,,,,,,,
040541,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,1.27,ECL South Hill; I-85,WCL LaCrosse,13000,G,82%,1%,1%,1%,14%,1%,F,0.0771,F,0.5468,13000,G,2011,,,,,,,,,,,,,,,
040601,  US,00058,     ,US 58, ,250,Town of LaCrosse,058,Mecklenburg County,0.52,WCL LaCrosse,ECL LaCrosse,13000,N,82%,1%,1%,1%,14%,1%,N,0.0771,N,0.5468,13000,N,2011,,,,,,,,,,,,,,,
040633,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,0.61,ECL LaCrosse,58-644,13000,N,82%,1%,1%,1%,14%,1%,N,0.0771,N,0.5468,13000,N,2011,,,,,,,,,,,,,,,
040250,  US,00058,     ,US 58, ,058,Mecklenburg County,058,Mecklenburg County,1.98,58-644,WCL Brodnax,10000,G,82%,1%,1%,1%,14%,1%,F,0.0784,F,0.5553,10000,G,2011,,,,,,,,,,,,,,,
040251,  US,00058,     ,US 58, ,178,Town of Brodnax,058,Mecklenburg County,0.46,WCL Brodnax,Brunswick County Line,10000,N,82%,1%,1%,1%,14%,1%,N,0.0784,N,0.5553,10000,N,2011,,,,,,,,,,,,,,,
781534,  US,00058,E374A,US 58 EB Exit 374A,Ramp,058,Mecklenburg County,058,Mecklenburg County,0.36,"US 58 E, E Atlantic St",I-85 South,1000,G,82%,1%,1%,1%,14%,1%,F,0.0827,F,1.0000,1000,G,2011,,,,,,,,,,,,,,,
781535,  US,00058,E374B,US 58 EB Exit 374B,Ramp,058,Mecklenburg County,058,Mecklenburg County,0.24,US 58 East,I-85 North,930,G,82%,1%,1%,1%,14%,1%,F,0.0857,F,1.0000,910,G,2011,,,,,,,,,,,,,,,
781536,  US,00058,W374A,US 58 WB Exit 374A,Ramp,058,Mecklenburg County,058,Mecklenburg County,0.03,"US 58 W, E Atlantic St",I-85 South,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
791011,  US,00058,W374A,US 58 WB Exit 374A,Ramp,058,Mecklenburg County,058,Mecklenburg County,0.15,Gap TO RT 85 SB,I-85-S FROM RT 58,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
791012,  US,00058,W374B,US 58 WB Exit 374B,Ramp,058,Mecklenburg County,058,Mecklenburg County,0.29,US 58,I-85 North,1400,B,,,,,,,X,0.1029,A,0.0000,1300,B,2011,,,,,,,,,,,,,,,
040550,C2US,00058,     ,Bus US 58, ,173,Town of Boydton,058,Mecklenburg County,0.48,US 58 West of Boydton,SR 92,1500,G,98%,1%,0%,1%,0%,0%,F,0.0948,F,0.6076,1500,G,2011,,,,,,,,,,,,,,,
040549,C2US,00058,     ,Bus US 58, ,173,Town of Boydton,058,Mecklenburg County,0.55,SR 92,NCL Boydton,1300,G,98%,1%,0%,1%,0%,0%,C,0.1182,F,0.6750,1300,G,2011,,,,,,,,,,,,,,,
040631,C2US,00058,     ,Bus US 58, ,058,Mecklenburg County,058,Mecklenburg County,0.05,NCL Boydton,US 58 East of Boydton,1300,N,98%,1%,0%,1%,0%,0%,N,0.1182,N,0.6750,1300,N,2011,,,,,,,,,,,,,,,
140160,CAUS,00058,     ,"US 1, Bus US 58",Danville St,058,Mecklenburg County,058,Mecklenburg County,0.16,US 1 North,SCL South Hill,5000,N,96%,0%,1%,1%,2%,0%,N,0.0956,N,0.6155,5400,N,2011,,,,,,,,,,,,,,,
671212,CAUS,00058,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,0.28,Locust St,Plank Rd,7100,G,96%,0%,1%,1%,2%,0%,F,0.0941,F,0.5003,7600,G,2011,,,,,,,,,,,,,,,
671213,CAUS,00058,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,1.89,SCL South Hill,Locust St,5000,G,96%,0%,1%,1%,2%,0%,C,0.0956,F,0.6155,5400,G,2011,,,,,,,,,,,,,,,
671210,CAUS,00058,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,0.09,Plank Rd,Goodes Ferry Blvd,7800,G,96%,0%,1%,1%,2%,0%,F,0.0894,F,0.5018,8300,G,2011,,,,,,,,,,,,,,,
671201,CAUS,00058,     ,"US 1, Bus US 58",Danville St,301,Town of South Hill,301,Town of South Hill,0.23,Goodes Ferry Blvd,Mecklenburg Ave,7200,G,96%,0%,1%,1%,2%,0%,F,0.0923,F,0.5077,7700,G,2011,,,,,,,,,,,,,,,
671199,CAUS,00058,     ,"US 1, Bus US 58",Mecklenburg Ave,301,Town of South Hill,301,Town of South Hill,0.16,Danville St,US 1; SR 47 Atlantic St,8100,G,97%,0%,1%,0%,1%,0%,F,0.0912,F,0.5000,8700,G,2011,,,,,,,,,,,,,,,
785921,CAUS,00058,     ,Bus US 58,Atlantic St,301,Town of South Hill,301,Town of South Hill,0.48,US 1; SR 47,Windsor St,9600,G,97%,0%,1%,0%,2%,0%,C,0.0831,F,0.5710,10000,G,2011,,,,,,,,,,,,,,,
784999,CAUS,00058,     ,Bus US 58,Atlantic St,301,Town of South Hill,301,Town of South Hill,0.66,Windsor St,US 58 E Atlantic St,12000,G,97%,0%,1%,0%,1%,0%,C,0.0857,F,0.5098,13000,G,2011,,,,,,,,,,,,,,,
040641,CEUS,00058,     ,"Bus US 58, VA 49",Virginia Ave,058,Mecklenburg County,058,Mecklenburg County,0.55,US 58; 58-815,WCL Clarksville,4000,G,99%,0%,0%,0%,1%,0%,F,0.0922,N,0.5136,4000,G,2011,,,,,,,,,,,,,,,
040546,CEUS,00058,     ,"Bus US 58, VA 49",Virginia Ave,192,Town of Clarksville,058,Mecklenburg County,0.97,WCL Clarksville,"US 15 W, College St",3800,G,99%,0%,0%,0%,1%,0%,C,0.0922,F,0.5136,3900,G,2011,,,,,,,,,,,,,,,
040651,CEUS,00058,     ,"US 15, Bus US 58, VA 49",Virginia Ave,192,Town of Clarksville,058,Mecklenburg County,0.88,"US 15 W, College St",NCL Clarksville,6300,G,99%,0%,0%,0%,0%,0%,C,0.0922,F,0.5123,6400,G,2011,,,,,,,,,,,,,,,
040653,CEUS,00058,     ,"US 15, Bus US 58, VA 49", ,058,Mecklenburg County,058,Mecklenburg County,0.84,NCL Clarksville,US 58 East of Clarksville,6300,N,99%,0%,0%,0%,0%,0%,N,0.0922,N,0.5123,6400,N,2011,,,,,,,,,,,,,,,
040551,  IS,00085,N    ,I-85 NB, ,058,Mecklenburg County,058,Mecklenburg County,4.23,North Carolina State Line,58-903,11000,A,79%,1%,1%,1%,17%,2%,C,0.1411,A,0.0000,9700,A,2011,,23000,A,79%,1%,1%,0%,17%,2%,C,0.1357,A,0.0000,19000,A
