750463,  53,01202,     ,53-1202,Marshall St,259,Town of Middleburg,053,Loudoun County,0.08,53-1210 Hamilton St,53-1201 Jay St,480,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750464,  53,01202,     ,53-1202,Marshall St,259,Town of Middleburg,053,Loudoun County,0.10,53-1201 Jay St,0.10 MN 53-1201 Jay St,470,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750465,  53,01202,     ,53-1202,Marshall St,259,Town of Middleburg,053,Loudoun County,0.02,0.10 MN 53-1201 Jay St,Dead End,100,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750466,  53,01203,     ,53-1203,Pendleton St,259,Town of Middleburg,053,Loudoun County,0.08,Dead End,US 50 Washington St E,740,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750467,  53,01203,     ,53-1203,Pendleton St,259,Town of Middleburg,053,Loudoun County,0.05,US 50 Washington St E,53-1202 Marshall St,880,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750468,  53,01204,     ,53-1204,Federal St,259,Town of Middleburg,053,Loudoun County,0.19,53-626 The Plains Rd,53-776 Landmark School Rd,1700,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750469,  53,01204,     ,53-1204,Federal St,259,Town of Middleburg,053,Loudoun County,0.22,53-776 Landmark School Rd,53-1201 Jay St,1400,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750470,  53,01205,     ,53-1205,Liberty St,259,Town of Middleburg,053,Loudoun County,0.05,53-1204 Federal St,US 50 Washington St E,510,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750471,  53,01205,     ,53-1205,Liberty St,259,Town of Middleburg,053,Loudoun County,0.06,US 50 Washington St E,53-1202 Marshall St,380,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750472,  53,01206,     ,53-1206,Locust St,259,Town of Middleburg,053,Loudoun County,0.19,US 50 Washington St W,53-1202 Stonewall Ave,280,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750473,  53,01207,     ,53-1207,Chestnut St,259,Town of Middleburg,053,Loudoun County,0.20,US 50 Washington St W,53-1202 Stonewall Ave,230,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750474,  53,01208,     ,53-1208,Reed St,259,Town of Middleburg,053,Loudoun County,0.12,US 50 Washington St W,53-1202 Stonewall Ave,220,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750475,  53,01209,     ,53-1209,Pickering St,259,Town of Middleburg,053,Loudoun County,0.05,US 50 Washington St E,53-1202 Marshall St,710,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750476,  53,01210,     ,53-1210,Hamilton St,259,Town of Middleburg,053,Loudoun County,0.10,53-1204 Federal St,53-1202 Marshall St,390,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750477,  53,01211,     ,53-1211,Martin Ave,259,Town of Middleburg,053,Loudoun County,0.25,53-1215 Sycamore St,53-1208 Reed St,320,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750478,  53,01212,     ,53-1212,Maple St,259,Town of Middleburg,053,Loudoun County,0.11,53-1214 Blue Ridge Ave,53-1202 Stonewall Ave,200,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750479,  53,01213,     ,53-1213,Lincoln Rd,259,Town of Middleburg,053,Loudoun County,0.09,Dead End,53-626 The Plains Rd,130,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750480,  53,01214,     ,53-1214,Blue Ridge Ave,259,Town of Middleburg,053,Loudoun County,0.25,53-1212 Maple St,53-1216 Walnut Ave,290,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750481,  53,01215,     ,53-1215,Sycamore St,259,Town of Middleburg,053,Loudoun County,0.07,53-1211 Martin St,53-1214 Blue Ridge Ave,150,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750482,  53,01215,     ,53-1215,Sycamore St,259,Town of Middleburg,053,Loudoun County,0.09,53-1214 Blue Ridge Ave,53-1202 Stonewall Ave,120,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750483,  53,01216,     ,53-1216,Walnut St,259,Town of Middleburg,053,Loudoun County,0.17,US 50 Washington St W,53-1202 Stonewall Ave,230,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750484,  53,01217,     ,53-1217,Chinn Lane,259,Town of Middleburg,053,Loudoun County,0.13,53-1202 Marshall St,Cul-de-Sac,140,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
750485,  53,01218,     ,53-1218,Windy Hill Rd,259,Town of Middleburg,053,Loudoun County,0.13,US 50 John Mosby Hwy,Dead End,250,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
751458,  53,09232,     ,53-9232, ,259,Town of Middleburg,053,Loudoun County,0.05,53-626 Foxcroft Rd,53-626 Foxcroft Rd,210,R,,,,,,,X,,,,,,1999,,,,,,,,,,,,,,,
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
