Virginia Department of Transportation																																										
Traffic Engineering Division																																										
2008																																										
Annual Average Daily Traffic Volume Estimates By Section of Route																																										
Federal																																										
																													Parallel Facilities Combined													
Link ID	Route Prefix	Route Number	Route Suffix	Route Label	Route Alias	Physical Jurisdiction		Maintenance Jurisdiction		Link Length	Start Label	End Label	AADT	AADT Quality	Percent 2 and 4 Tire Vehicles	Percent Busses	Percent Single Unit Trucks 2 Axle	Percent Single Unit Trucks 3+ Axle	Percent Combination Trucks 1 Trailer	Percent Combination Trucks 2+ Trailer	Vehicle Classification Quality	K Factor	K Factor Quality	Direction Factor	AAWDT	AAWDT Quality	Data Date	Comment	AADT	AADT Quality	Percent 2 and 4 Tire Vehicles	Percent Busses	Percent Single Unit Trucks 2 Axle	Percent Single Unit Trucks 3+ Axle	Percent Combination Trucks 1 Trailer	Percent Combination Trucks 2+ Trailer	Vehicle Classification Quality	K Factor	K Factor Quality	Direction Factor	AAWDT	AAWDT Quality
781293	  SR	00004	     	VA 4	Buggs Island Rd	058	Mecklenburg County	US 	Federal	0.53	South End of John H. Kerr Dam	North End of John H. Kerr Dam	690	N	94%	1%	2%	0%	3%	0%	N	0.1181	N	0.6471	750	N	2008
787375	  SR	00048	     	VA 48	Skyline Dr	039	Greene County	US 	Federal	1.01	Rockingham County Line	Rockingham County Line	390	O							X						2008
787376	  SR	00048	     	VA 48	Skyline Dr	082	Rockingham County	US 	Federal	0.10	Greene County Line	US 33	390	O							X						2008
787495	  SR	00048	     	VA 48	Skyline Dr	082	Rockingham County	US 	Federal	2.69	US 33	Greene County Line	800	O							X						2008
787377	  SR	00048	     	VA 48	Skyline Dr	039	Greene County	US 	Federal	1.33	Rockingham County Line	Rockingham County Line	800	O							X						2008
787378	  SR	00048	     	VA 48	Skyline Dr	082	Rockingham County	US 	Federal	2.53	Greene County Line	Page County Line	800	O							X						2008
787379	  SR	00048	     	VA 48	Skyline Dr	069	Page County	US 	Federal	7.77	Rockingham County Line	Madison County Line	800	O							X						2008
787380	  SR	00048	     	VA 48	Skyline Dr	056	Madison County	US 	Federal	14.77	Page County Line	Rappahannock County Line	800	O							X						2008
787381	  SR	00048	     	VA 48	Skyline Dr	078	Rappahannock County	US 	Federal	4.99	Madison County Line	Page County Line	800	O							X						2008
787382	  SR	00048	     	VA 48	Skyline Dr	069	Page County	US 	Federal	0.06	Rappahannock County Line	US 211	800	O							X						2008
787496	  SR	00048	     	VA 48	Skyline Dr	069	Page County	US 	Federal	3.01	US 211	Rappahannock County Line	650	O							X						2008
787383	  SR	00048	     	VA 48	Skyline Dr	078	Rappahannock County	US 	Federal	4.41	Page County Line	Page County Line	650	O							X						2008
787384	  SR	00048	     	VA 48	Skyline Dr	069	Page County	US 	Federal	2.09	Rappahannock County Line	Rappahannock County Line	650	O							X						2008
787385	  SR	00048	     	VA 48	Skyline Dr	078	Rappahannock County	US 	Federal	5.92	Page County Line	Warren County Line	650	O							X						2008
787386	  SR	00048	     	VA 48	Skyline Dr	093	Warren County	US 	Federal	1.69	Rappahannock County Line	Rappahannock County Line	650	O							X						2008
787387	  SR	00048	     	VA 48	Skyline Dr	078	Rappahannock County	US 	Federal	3.87	Warren County Line	Warren County Line	650	O							X						2008
787388	  SR	00048	     	VA 48	Skyline Dr	093	Warren County	US 	Federal	10.47	Rappahannock County Line	US 340; Front Royal	650	O							X						2008
636017	  SR	00143	     	VA 143	Ingalls Rd	114	City of Hampton	US 	Federal	0.28	US 258 Mercury Blvd	Begin State Maintenance	4700	G	99%	1%	0%	0%	0%	0%	C	0.1381	F	0.8890	5100	G	2008
787247	  SR	90003	     	VA 90003	Colonial Parkway	047	James City County	US 	Federal	8.05	Jamestown Visitor Center	Williamsburg Corporate Limit	2400	O							X						2008
580001	  SR	90003	     	VA 90003	Colonial Parkway	137	City of Williamsburg	US 	Federal	3.20	James City County Line	York County Line	4700	O							X						2008
787389	  SR	90003	     	VA 90003	Colonial Parkway	099	York County	US 	Federal	10.77	Williamsburg Corporate Limit	US 17	6000	O							X						2008
796562	  SR	90003	     	VA 90003	Colonial Parkway	099	York County	US 	Federal	0.59	US 17	99-1020, Moore House Rd; Yorktown Visitor Center	2200	O							X						2008
787248	  SR	90004	     	VA 90004	Dulles Access Rd	053	Loudoun County	US 	Federal	0.71	Washington Dulles International Airport	Fairfax County Line	44000	O							X						2008
787390	  SR	90004	     	VA 90004	Dulles Access Rd	029	Fairfax County	US 	Federal	12.94	Loudoun County Line	SR 267 Dulles Toll Road, McLean	44000	O							X						2008
787249	  SR	90005	     	VA 90005	George Washington Memorial Parkway	029	Fairfax County	US 	Federal	8.44	SR 235 Mount Vernon Memorial Hwy	SCL Alexandria	16000	O							X						2008
787391	  SR	90005	     	VA 90005	George Washington Memorial Parkway	100	City of Alexandria	US 	Federal	1.81	1st Street	NCL Alexandria	49000	O							X						2008
787392	  SR	90005	     	VA 90005	George Washington Memorial Parkway	000	Arlington County	US 	Federal	5.56	NCL Alexandria	00-6741 Spout Run Parkway	62000	O							X						2008
789772	  SR	90005	     	VA 90005	George Washington Memorial Parkway	000	Arlington County	US 	Federal	3.10	00-6741 Spout Run Parkway	Fairfax County Line	71000	O							X						2008
787393	  SR	90005	     	VA 90005	George Washington Memorial Parkway	029	Fairfax County	US 	Federal	4.62	Arlington County Line	I-495 Capital Beltway	53000	O							X						2008
- - - - - - - - - - - - - - - - - - - - - - - - - - - - End of Report - - - - - - - - - - - - - - - - - - - - - - - - - - - - 																																									
