ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011	Prepared	8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction, with Towns Combined into Counties																														
Public Road Segments within the Commonwealth of Virginia																														
Road Length values temporarilly not included in this report pending publication of official road length values																														
2011																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
										Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
										Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction							DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
 		096	Westmoreland County					              	143,840	0.22%	0.06%				271,211	0.30%	0.12%				0	0.00%	0.00%				415,051	0.19%		
 		097	Wise County					              	365,314	0.56%	0.16%				814,369	0.90%	0.37%				0	0.00%	0.00%				1,179,683	0.53%		
 		098	Wythe County					              	242,808	0.37%	0.11%				314,515	0.35%	0.14%				1,430,355	2.17%	0.64%				1,987,679	0.90%		
 		099	York County					              	400,643	0.62%	0.18%				985,507	1.08%	0.44%				737,030	1.12%	0.33%				2,123,180	0.96%		
 		100	City of Alexandria					              	549,509	0.85%	0.25%				774,752	0.85%	0.35%				803,497	1.22%	0.36%				2,127,758	0.96%		
 		141	City of Bedford					              	21,083	0.03%	0.01%				121,042	0.13%	0.05%				0	0.00%	0.00%				142,124	0.06%		
 		102	City of Bristol					              	131,781	0.20%	0.06%				133,465	0.15%	0.06%				350,693	0.53%	0.16%				615,939	0.28%		
 		103	City of Buena Vista					              	21,980	0.03%	0.01%				33,842	0.04%	0.02%				0	0.00%	0.00%				55,822	0.03%		
 		104	City of Charlottesville					              	295,261	0.45%	0.13%				293,241	0.32%	0.13%				6,892	0.01%	0.00%				595,395	0.27%		
 		131	City of Chesapeake					              	1,843,258	2.84%	0.83%				2,314,140	2.54%	1.04%				1,852,448	2.81%	0.84%				6,009,846	2.71%		
 		106	City of Colonial Heights					              	133,951	0.21%	0.06%				123,392	0.14%	0.06%				326,152	0.49%	0.15%				583,494	0.26%		
 		107	City of Covington					              	21,525	0.03%	0.01%				58,212	0.06%	0.03%				18,473	0.03%	0.01%				98,210	0.04%		
 		108	City of Danville					              	257,643	0.40%	0.12%				698,656	0.77%	0.31%				0	0.00%	0.00%				956,299	0.43%		
 		109	City of Emporia					              	42,037	0.06%	0.02%				89,486	0.10%	0.04%				60,451	0.09%	0.03%				191,973	0.09%		
 		151	City of Fairfax					              	105,574	0.16%	0.05%				395,764	0.44%	0.18%				0	0.00%	0.00%				501,338	0.23%		
